modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
140,STR-CD79CC9C7019F8216147,C=CC(=O)NC1CN(S(=O)(=O)c2ccc(N3CC(CN4CCN(c5ncncc5Nc5ccc(F)cc5C(=O)N(CC)C(C)C)CC4)C3)cc2)C1,7.094378772177361,IC50,in_vivo,PubChem,2026.0,STR-CD79CC9C7019F8216147,O=S(=O)(c1ccc(N2CC(CN3CCN(c4ncncc4Nc4ccccc4)CC3)C2)cc1)N1CCC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
141,STR-CE20B85B4A250EC35961,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)CC2CCCC2)CC1,7.2441251443275085,IC50,in_vivo,PubChem,2020.0,STR-CE20B85B4A250EC35961,O=C(CC1CCCC1)N1CCN(CCn2ccc3cc(CN4CCC(Nc5ncnc6sccc56)CC4)ccc32)CC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
142,STR-CE5E53FBE3F642E4404C,CN(C)CCN(C)C1CCN(c2cc3c(NC4CCN(CC5CN(c6ccc(C#N)cc6)C5)CC4)ncnc3cn2)CC1,5.996766978875384,IC50,in_vivo,PubChem,2023.0,STR-CE5E53FBE3F642E4404C,c1ccc(N2CC(CN3CCC(Nc4ncnc5cnc(N6CCCCC6)cc45)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
143,STR-CF67B557AEF7A52E1152,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)c(O)cc2c1cc(C#N)n2CCO,7.568636235841012,IC50,in_vivo,PubChem,2018.0,STR-CF67B557AEF7A52E1152,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
144,STR-CFD47A4A9C12D7F7E3C6,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C)CC1,7.886056647693163,IC50,in_vivo,PubChem,2020.0,STR-CFD47A4A9C12D7F7E3C6,c1nc(NC2CCN(Cc3ccc4c(ccn4CCN4CCNCC4)c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
145,STR-D086BDB43F5655E8D565,COc1cc2c(cc(C#N)n2Cc2cn[nH]n2)c(C)c1CN1CCC(Nc2ncnc3sc(CC(F)(F)F)cc23)CC1,7.795880017344075,IC50,in_vivo,PubChem,2018.0,STR-D086BDB43F5655E8D565,c1nc(NC2CCN(Cc3ccc4c(ccn4Cc4cn[nH]n4)c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
146,STR-D0B8BF4F498D9AADEF0E,N#Cc1ccc(N2CC(CN3CCC(Nc4ncnc5cnc(N6CCCCC6)cc45)CC3)C2)cc1,6.229147988357855,IC50,in_vivo,PubChem,2023.0,STR-D0B8BF4F498D9AADEF0E,c1ccc(N2CC(CN3CCC(Nc4ncnc5cnc(N6CCCCC6)cc45)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
147,STR-D1933351E0881330907E,C=CC(=O)N[C@H]1CCN(S(=O)(=O)c2ccc(N3CC(CN4CCN(c5ncncc5Nc5ccc(F)cc5C(=O)N(CC)C(C)C)CC4)C3)cc2)C1,6.753008604497207,IC50,in_vivo,PubChem,2026.0,STR-D1933351E0881330907E,O=S(=O)(c1ccc(N2CC(CN3CCN(c4ncncc4Nc4ccccc4)CC3)C2)cc1)N1CCCC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
148,STR-D294CA925BADF351BAE7,C=CC(=O)N1CCC[C@@H](S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](CN5CCC5)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)(OC)C3)cc2)C1,7.130768280269024,IC50,in_vivo,PubChem,2023.0,STR-D294CA925BADF351BAE7,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CCCNC1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,test
149,STR-D2BC684720671DF0B62A,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCO,7.356547323513812,IC50,in_vivo,PubChem,2018.0,STR-D2BC684720671DF0B62A,c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1,bemis_murcko,scaffold,scaffold,c32196fbbb37de259e8f3f055bf097c6addfc230248802c469a4fd283c997426,741371e680f04f66e231ed2758dc96ef80ef9e9be4a615e012b30465809606b1,train
