layer,evidence_domain,endpoint,document_decade,evidence_stage,development_stage,rows
source,pk_adme,Vd,<missing_or_invalid>,<missing>,unknown,31
source,pk_adme,Vd/F,2000s,<missing>,unknown,32
source,pk_adme,Vd/F,2010s,<missing>,unknown,6
source,pk_adme,Vd/F,2020s,<missing>,unknown,6
source,pk_adme,Vdss,1980s,<missing>,unknown,6
source,pk_adme,Vdss,1990s,<missing>,unknown,114
source,pk_adme,Vdss,2000s,<missing>,unknown,4456
source,pk_adme,Vdss,2000s,preclinical_in_vivo,unknown,7
source,pk_adme,Vdss,2010s,<missing>,unknown,7724
source,pk_adme,Vdss,2020s,<missing>,unknown,4325
source,pk_adme,Vdss,<missing_or_invalid>,<missing>,unknown,12
source,pk_adme,Vdss/F,2000s,<missing>,unknown,6
source,pk_adme,Viability,1990s,preclinical_ex_vivo,unknown,4
source,pk_adme,Vmax,1970s,<missing>,unknown,12
source,pk_adme,Vmax,1980s,<missing>,unknown,65
source,pk_adme,Vmax,1990s,<missing>,unknown,7
source,pk_adme,Vmax,2000s,<missing>,unknown,19
source,pk_adme,Vmax,2010s,<missing>,unknown,264
source,pk_adme,Vmax,2010s,preclinical_in_vitro,unknown,11
source,pk_adme,Vmax,2020s,<missing>,unknown,10
source,pk_adme,Vmax,<missing_or_invalid>,<missing>,unknown,10
source,pk_adme,Vmax(app),2010s,<missing>,unknown,15
source,pk_adme,Vmax/Km,2010s,<missing>,unknown,61
source,pk_adme,VmaxH,2010s,<missing>,unknown,10
source,pk_adme,VmaxL,2010s,<missing>,unknown,10
source,pk_adme,Vp/F,2000s,<missing>,unknown,4
source,pk_adme,Vss/F,2000s,<missing>,unknown,8
source,pk_adme,Weight,1990s,<missing>,unknown,6
source,pk_adme,[A],1990s,<missing>,unknown,11
source,pk_adme,[EA],1990s,<missing>,unknown,11
source,pk_adme,[GSH],1980s,<missing>,unknown,18
source,pk_adme,deltaA,2020s,<missing>,unknown,14
source,pk_adme,fEC50,2010s,<missing>,unknown,5
source,pk_adme,k_off,2010s,<missing>,unknown,2745
source,pk_adme,k_off,2010s,preclinical_in_vitro,unknown,4992
source,pk_adme,k_off,2020s,<missing>,unknown,1935
source,pk_adme,k_off,2020s,preclinical_in_vitro,unknown,3586
source,pk_adme,k_off,2020s,preclinical_in_vivo,unknown,126
source,pk_adme,kin,1990s,<missing>,unknown,20
source,pk_adme,kin,2000s,<missing>,unknown,24
source,pk_adme,kinact,2000s,<missing>,unknown,1
source,pk_adme,kon,2010s,<missing>,unknown,2745
source,pk_adme,kon,2010s,preclinical_in_vitro,unknown,4992
source,pk_adme,kon,2020s,<missing>,unknown,1935
source,pk_adme,kon,2020s,preclinical_in_vitro,unknown,3586
source,pk_adme,kon,2020s,preclinical_in_vivo,unknown,126
source,pk_adme,log K,2020s,<missing>,unknown,2
source,pk_adme,log Kp,2000s,<missing>,unknown,189
source,pk_adme,log Kp,2010s,<missing>,unknown,11
source,pk_adme,log Pe,2000s,<missing>,unknown,171
source,pk_adme,log Pe,2010s,<missing>,unknown,650
source,pk_adme,log Pe,2020s,<missing>,unknown,380
source,pk_adme,log(activity),2020s,<missing>,unknown,1
source,pk_adme,log(permeability),2010s,<missing>,unknown,87
source,pk_adme,log(permeability),2020s,<missing>,unknown,76
source,pk_adme,log(ratio),2020s,<missing>,unknown,31
source,pk_adme,logBB,2020s,<missing>,unknown,15
source,pk_adme,logCL,2000s,<missing>,unknown,50
source,pk_adme,logD,2000s,<missing>,unknown,7
source,pk_adme,logP,2000s,<missing>,unknown,1
source,pk_adme,logP,2010s,<missing>,unknown,1
source,pk_adme,logPapp,2000s,<missing>,unknown,102
source,pk_adme,logPapp,2010s,<missing>,unknown,649
source,pk_adme,logPapp,2020s,<missing>,unknown,199
source,pk_adme,logPeff,2010s,<missing>,unknown,138
source,pk_adme,logPeff,2020s,<missing>,unknown,47
source,pk_adme,logPm,2000s,<missing>,unknown,37
source,pk_adme,logPm,2010s,<missing>,unknown,11
source,pk_adme,max activation,2020s,<missing>,unknown,8
source,pk_adme,pBBB,2010s,<missing>,unknown,16
source,pk_adme,pBBB,2020s,<missing>,unknown,6
source,pk_adme,pCC50,2020s,<missing>,unknown,5
source,pk_adme,pKa,2000s,<missing>,unknown,25
source,pk_adme,permeability,2000s,<missing>,unknown,1722
source,pk_adme,permeability,2000s,preclinical_in_vitro,unknown,1
source,pk_adme,permeability,2010s,<missing>,unknown,10455
source,pk_adme,permeability,2010s,preclinical_ex_vivo,unknown,24
source,pk_adme,permeability,2010s,preclinical_in_vitro,unknown,21
source,pk_adme,permeability,2020s,<missing>,unknown,5718
source,pk_adme,solubility,1970s,<missing>,unknown,65
source,pk_adme,solubility,1980s,<missing>,unknown,2
source,pk_adme,solubility,1990s,<missing>,unknown,21
source,pk_adme,solubility,2000s,<missing>,unknown,558
source,pk_adme,solubility,2010s,<missing>,unknown,6273
source,pk_adme,solubility,2020s,<missing>,unknown,1587
source,qt,APD,1980s,<missing>,unknown,1
source,qt,APD,1990s,<missing>,unknown,92
source,qt,APD50,1980s,<missing>,unknown,9
source,qt,APD50,1990s,<missing>,unknown,18
source,qt,APD50,2000s,<missing>,unknown,1
source,qt,APD50,2020s,<missing>,unknown,3
source,qt,APD90,1980s,<missing>,unknown,9
source,qt,APD90,1990s,<missing>,unknown,10
source,qt,APD90,2000s,<missing>,unknown,1
source,qt,APD90,2020s,<missing>,unknown,3
source,qt,Activity,2000s,<missing>,unknown,65
source,qt,Activity,2010s,<missing>,unknown,220
source,qt,Activity,2020s,<missing>,unknown,36
source,qt,Activity,2020s,preclinical_in_vivo,unknown,3
source,qt,Change,2000s,<missing>,unknown,3
source,qt,Cp,2010s,<missing>,unknown,3
source,qt,Cp(f),2010s,<missing>,unknown,3
source,qt,DOSE,2000s,<missing>,unknown,20
source,qt,Delta APD90,1990s,<missing>,unknown,54
source,qt,EC10,2000s,<missing>,unknown,3
source,qt,EC10,2020s,<missing>,unknown,2
source,qt,EC50,2000s,<missing>,unknown,22
source,qt,Emax,2000s,<missing>,unknown,13
source,qt,IC50,2010s,<missing>,unknown,2
source,qt,IC50,2010s,preclinical_in_vitro,unknown,59
source,qt,IC50,2010s,preclinical_in_vivo,unknown,21
source,qt,IC50,2020s,<missing>,unknown,4
source,qt,IC50,2020s,preclinical_in_vitro,unknown,23
source,qt,Inhibition,2010s,<missing>,unknown,2
source,qt,Inhibition,2010s,preclinical_in_vivo,unknown,2
source,qt,Inhibition,2020s,preclinical_in_vivo,unknown,6
source,qt,Ki,2020s,preclinical_in_vitro,unknown,7
source,qt,LOAEL,2010s,<missing>,unknown,2
source,qt,MED,2000s,<missing>,unknown,8
source,qt,Max delta APD95,1990s,<missing>,unknown,30
source,qt,NOAEL,2010s,<missing>,unknown,2
source,qt,Prolonged QT,2000s,<missing>,unknown,1
source,qt,QT,1990s,<missing>,unknown,18
source,qt,QT interval,1990s,<missing>,unknown,4
source,qt,QT interval,2000s,<missing>,unknown,17
source,qt,QTc Interval,2000s,preclinical_in_vivo,unknown,3
source,qt,QTc delta,1990s,<missing>,unknown,12
source,qt,QTc interval,2000s,preclinical_in_vivo,unknown,20
source,qt,Ratio,2000s,<missing>,unknown,1
source,qt,Ratio,2010s,<missing>,unknown,4
source,qt,T1/2,2000s,<missing>,unknown,1
source,qt,TI,2010s,<missing>,unknown,2
source,qt,TIME,2000s,<missing>,unknown,5
source,qt,TIME,2010s,<missing>,unknown,177
source,qt,TIME,2020s,<missing>,unknown,21
source,qt,fLOAEL,2010s,<missing>,unknown,2
source,qt,fNOAEL,2010s,<missing>,unknown,2
source,qt,k_off,2010s,preclinical_in_vitro,unknown,23
source,qt,k_off,2010s,preclinical_in_vivo,unknown,21
source,qt,k_off,2020s,preclinical_in_vitro,unknown,30
source,qt,kon,2010s,preclinical_in_vitro,unknown,23
source,qt,kon,2010s,preclinical_in_vivo,unknown,21
source,qt,kon,2020s,preclinical_in_vitro,unknown,30
