layer,evidence_domain,endpoint,document_decade,evidence_stage,development_stage,rows
source,herg,Potency,<missing_or_invalid>,<missing>,unknown,679
source,herg,Ratio,2010s,<missing>,unknown,22
source,herg,Ratio,2010s,preclinical_in_vitro,unknown,7
source,herg,Ratio,2020s,<missing>,unknown,2
source,herg,Ratio IC50,2010s,<missing>,unknown,11
source,herg,Ratio IC50,2020s,<missing>,unknown,23
source,herg,Ratio Ki,2000s,<missing>,unknown,6
source,herg,TIME,2010s,<missing>,unknown,50
source,herg,Time,2010s,<missing>,unknown,1
source,herg,V1/2,2010s,<missing>,unknown,2
source,herg,XC50,2010s,<missing>,unknown,4
source,herg,delta pIC50 wt-mutant,2000s,preclinical_in_vitro,unknown,200
source,herg,effect,2020s,<missing>,unknown,1
source,herg,k_off,2010s,<missing>,unknown,353
source,herg,k_off,2010s,preclinical_in_vitro,unknown,1495
source,herg,k_off,2020s,<missing>,unknown,359
source,herg,k_off,2020s,preclinical_in_vitro,unknown,665
source,herg,kon,2010s,<missing>,unknown,353
source,herg,kon,2010s,preclinical_in_vitro,unknown,1495
source,herg,kon,2020s,<missing>,unknown,359
source,herg,kon,2020s,preclinical_in_vitro,unknown,665
source,herg,pIC50,2000s,<missing>,unknown,5
source,herg,pIC50,2010s,<missing>,unknown,125
source,herg,pKi,2010s,<missing>,unknown,31
source,herg,pXC50,2020s,<missing>,unknown,2
source,other,APD30,2020s,<missing>,unknown,3
source,other,APD60,1990s,<missing>,unknown,42
source,other,APD70,1980s,<missing>,unknown,9
source,other,APD75,1990s,<missing>,unknown,69
source,other,APD95,1980s,<missing>,unknown,291
source,other,APD95,1990s,<missing>,unknown,8
source,other,APDc,2010s,preclinical_in_vitro,unknown,98
source,other,Absorption,<missing_or_invalid>,<missing>,unknown,1
source,other,Activity,1980s,<missing>,unknown,27
source,other,Activity,2000s,<missing>,unknown,49
source,other,Activity,2010s,<missing>,unknown,63
source,other,Activity,2020s,<missing>,unknown,15
source,other,C,<missing_or_invalid>,<missing>,unknown,4
source,other,C ss,<missing_or_invalid>,<missing>,unknown,3
source,other,C(24h),<missing_or_invalid>,<missing>,unknown,1
source,other,C10APD90,1990s,<missing>,unknown,5
source,other,C20,1980s,<missing>,unknown,27
source,other,C20,1990s,<missing>,unknown,27
source,other,C20 APD95,1980s,<missing>,unknown,29
source,other,C20 APD95,1990s,<missing>,unknown,9
source,other,CL(app),<missing_or_invalid>,<missing>,unknown,2
source,other,CL/F,<missing_or_invalid>,<missing>,unknown,43
source,other,Cavg,<missing_or_invalid>,<missing>,unknown,10
source,other,Cmin,<missing_or_invalid>,<missing>,unknown,2
source,other,Cmin ss,<missing_or_invalid>,<missing>,unknown,5
source,other,Cmin(80hr),<missing_or_invalid>,<missing>,unknown,1
source,other,Cmin(84hr),<missing_or_invalid>,<missing>,unknown,4
source,other,Compound Recovery,<missing_or_invalid>,<missing>,unknown,2
source,other,Creatinine_CL,<missing_or_invalid>,<missing>,unknown,4
source,other,Css,<missing_or_invalid>,<missing>,unknown,3
source,other,Css min,<missing_or_invalid>,<missing>,unknown,2
source,other,Css-12w,<missing_or_invalid>,<missing>,unknown,2
source,other,Css-48h,<missing_or_invalid>,<missing>,unknown,2
source,other,Css-4w,<missing_or_invalid>,<missing>,unknown,2
source,other,D10,2000s,<missing>,unknown,142
source,other,Delta APD95,1990s,<missing>,unknown,19
source,other,E2:E1,<missing_or_invalid>,<missing>,unknown,3
source,other,EC50,1980s,<missing>,unknown,50
source,other,EC50,1990s,<missing>,unknown,3353
source,other,EC50,1990s,preclinical_in_vitro,unknown,133
source,other,EC50,1990s,preclinical_in_vivo,unknown,6
source,other,EC50,2000s,<missing>,unknown,22949
source,other,EC50,2000s,preclinical_in_vitro,unknown,3152
source,other,EC50,2000s,preclinical_in_vivo,unknown,4
source,other,EC50,2010s,<missing>,unknown,41140
source,other,EC50,2010s,preclinical_in_vitro,unknown,7510
source,other,EC50,2020s,<missing>,unknown,16943
source,other,EC50,2020s,preclinical_in_vitro,unknown,529
source,other,EC50,2020s,preclinical_in_vivo,unknown,5
source,other,EC50,<missing_or_invalid>,<missing>,unknown,18207
source,other,EC50,<missing_or_invalid>,preclinical_in_vitro,unknown,12222
source,other,EC50,<missing_or_invalid>,preclinical_in_vivo,unknown,4
source,other,Excretion,2000s,<missing>,unknown,2
source,other,Excretion,2010s,<missing>,unknown,6
source,other,Excretion,<missing_or_invalid>,<missing>,unknown,33
source,other,FC,2020s,<missing>,unknown,61
source,other,IC50,1980s,<missing>,unknown,1551
source,other,IC50,1980s,preclinical_in_vivo,unknown,29
source,other,IC50,1990s,<missing>,unknown,7148
source,other,IC50,1990s,preclinical_in_vitro,unknown,472
source,other,IC50,2000s,<missing>,unknown,26248
source,other,IC50,2000s,preclinical_in_vitro,unknown,3972
source,other,IC50,2010s,<missing>,unknown,45792
source,other,IC50,2010s,preclinical_in_vitro,unknown,7709
source,other,IC50,2010s,preclinical_in_vivo,unknown,8
source,other,IC50,2020s,<missing>,unknown,31323
source,other,IC50,2020s,preclinical_in_vitro,unknown,3783
source,other,IC50,2020s,preclinical_in_vivo,unknown,36
source,other,IC50,<missing_or_invalid>,<missing>,unknown,59258
source,other,IC50,<missing_or_invalid>,preclinical_in_vitro,unknown,11113
source,other,Inhibition,2000s,<missing>,unknown,1
source,other,Inhibition,2010s,<missing>,unknown,1
source,other,Inhibition,<missing_or_invalid>,<missing>,unknown,2
source,other,MAPD90,2000s,<missing>,unknown,20
source,other,Protein bound,<missing_or_invalid>,<missing>,unknown,1
source,other,Ratio AUC,<missing_or_invalid>,<missing>,unknown,19
source,other,Ratio AUC(inf),<missing_or_invalid>,<missing>,unknown,2
source,other,Ratio Cmax,<missing_or_invalid>,<missing>,unknown,18
source,other,Ratio EC50,2020s,<missing>,unknown,5
source,other,Recovery,<missing_or_invalid>,<missing>,unknown,1
source,other,TIME,2010s,<missing>,unknown,74
source,other,Total CL,<missing_or_invalid>,<missing>,unknown,2
source,other,Vd app,<missing_or_invalid>,<missing>,unknown,1
source,other,Vd(app),<missing_or_invalid>,<missing>,unknown,1
source,other,Vd/F,<missing_or_invalid>,<missing>,unknown,25
source,other,Vss,<missing_or_invalid>,<missing>,unknown,8
source,other,Vss/F,<missing_or_invalid>,<missing>,unknown,1
source,pk_adme,%,2000s,<missing>,unknown,1
source,pk_adme,% bound,<missing_or_invalid>,<missing>,unknown,10
source,pk_adme,% remaining,<missing_or_invalid>,<missing>,unknown,19
source,pk_adme,% turnover,2000s,<missing>,unknown,24
source,pk_adme,%R,2000s,<missing>,unknown,2
source,pk_adme,-log(RatioIC50),2010s,<missing>,unknown,4
source,pk_adme,A,2000s,<missing>,unknown,1
source,pk_adme,AC50,2000s,<missing>,unknown,5
source,pk_adme,AC50,2020s,<missing>,unknown,1
source,pk_adme,AUC,1970s,<missing>,unknown,14
source,pk_adme,AUC,1980s,<missing>,unknown,103
source,pk_adme,AUC,1980s,preclinical_in_vivo,unknown,9
source,pk_adme,AUC,1990s,<missing>,unknown,1432
source,pk_adme,AUC,1990s,preclinical_in_vivo,unknown,90
source,pk_adme,AUC,2000s,<missing>,unknown,8352
source,pk_adme,AUC,2000s,preclinical_in_vivo,unknown,67
source,pk_adme,AUC,2010s,<missing>,unknown,20025
source,pk_adme,AUC,2010s,preclinical_in_vivo,unknown,4
source,pk_adme,AUC,2020s,<missing>,unknown,14427
source,pk_adme,AUC,2020s,preclinical_in_vitro,unknown,61
source,pk_adme,AUC,2020s,preclinical_in_vivo,unknown,5
source,pk_adme,AUC,<missing_or_invalid>,<missing>,unknown,339
source,pk_adme,AUC c,1990s,<missing>,unknown,4
source,pk_adme,AUC p,1990s,<missing>,unknown,4
source,pk_adme,AUClast,2000s,<missing>,unknown,2
source,pk_adme,AUClast,2010s,<missing>,unknown,107
source,pk_adme,AUClast,2020s,<missing>,unknown,146
source,pk_adme,AUCt,2010s,<missing>,unknown,2
source,pk_adme,Absoption,2000s,<missing>,unknown,2
source,pk_adme,Absorption,1990s,<missing>,unknown,30
source,pk_adme,Absorption,2000s,<missing>,unknown,1
source,pk_adme,Activity,1970s,<missing>,unknown,82
source,pk_adme,Activity,1980s,<missing>,unknown,211
source,pk_adme,Activity,1980s,preclinical_in_vivo,unknown,6
source,pk_adme,Activity,1990s,<missing>,unknown,176
source,pk_adme,Activity,1990s,preclinical_in_vivo,unknown,16
source,pk_adme,Activity,2000s,<missing>,unknown,2255
source,pk_adme,Activity,2000s,preclinical_in_vitro,unknown,17
source,pk_adme,Activity,2010s,<missing>,unknown,4636
source,pk_adme,Activity,2010s,preclinical_ex_vivo,unknown,3
source,pk_adme,Activity,2010s,preclinical_in_vitro,unknown,27
source,pk_adme,Activity,2010s,preclinical_in_vivo,unknown,6
source,pk_adme,Activity,2020s,<missing>,unknown,2988
source,pk_adme,Activity,2020s,preclinical_in_vitro,unknown,35
source,pk_adme,Activity,2020s,preclinical_in_vivo,unknown,9
source,pk_adme,Activity,<missing_or_invalid>,preclinical_in_vitro,unknown,5
source,pk_adme,Activity_index,2010s,<missing>,unknown,5
source,pk_adme,Activity_index,2020s,<missing>,unknown,4
source,pk_adme,Alpha Ki,1980s,<missing>,unknown,14
source,pk_adme,Amount,1990s,<missing>,unknown,6
source,pk_adme,Amount of metabolite,1980s,<missing>,unknown,10
source,pk_adme,Augmentation,1980s,<missing>,unknown,4
source,pk_adme,B-A/A-B,<missing_or_invalid>,<missing>,unknown,5
source,pk_adme,BA,1990s,<missing>,unknown,33
source,pk_adme,BA,2000s,<missing>,unknown,46
source,pk_adme,BAV,2000s,<missing>,unknown,6
source,pk_adme,BBB,2010s,<missing>,unknown,1
source,pk_adme,BBB,2020s,<missing>,unknown,4
source,pk_adme,BBR,2000s,<missing>,unknown,1
source,pk_adme,BBR,2020s,<missing>,unknown,2
source,pk_adme,BPR,2020s,<missing>,unknown,5
source,pk_adme,Ba,2000s,<missing>,unknown,7
source,pk_adme,Binding,1990s,<missing>,unknown,18
source,pk_adme,Binding,2000s,<missing>,unknown,49
