dimension,level,model,n,mae,rmse,median_absolute_error,within_0p5,within_1p0,p95_absolute_error
measurement_modality,functional_electrophysiology,V8,492,0.38135155940328874,0.5020684414860247,0.2827684757910971,0.7215447154471545,0.9491869918699187,0.997486730894361
measurement_modality,functional_electrophysiology,V9 honest stack,492,0.37820351883764325,0.510075987586566,0.275044620192364,0.717479674796748,0.9512195121951219,0.962659254503595
measurement_modality,high_throughput_thallium_flux,V8,26,0.39471790332111006,0.5169981591432896,0.3469110740730539,0.6923076923076923,0.9230769230769231,1.0209125154158425
measurement_modality,high_throughput_thallium_flux,V9 honest stack,26,0.38728791048681327,0.5287748170171095,0.2966558973266147,0.7307692307692307,0.8846153846153846,1.1783284222035586
measurement_modality,functional_ion_flux,V8,4,0.39196010096531686,0.5201833197651746,0.2264363179233051,0.75,1.0,0.8723214591416301
measurement_modality,functional_ion_flux,V9 honest stack,4,0.4435577472718508,0.5749796874751443,0.3670060754934412,0.75,0.75,0.9333358900425668
measurement_modality,functional_unspecified,V8,1,1.0926897518267076,1.0926897518267076,1.0926897518267076,0.0,0.0,1.0926897518267076
measurement_modality,functional_unspecified,V9 honest stack,1,1.0900513641580547,1.0900513641580547,1.0900513641580547,0.0,0.0,1.0900513641580547
source_family,quantitative_pic50_release,V8,11110,0.4102828181266022,0.5786995615632553,0.2971475124359131,0.7128712871287128,0.9247524752475248,1.1568239409496952
source_family,quantitative_pic50_release,V9 honest stack,11110,0.39994243105930233,0.5662596922049966,0.28845100478460495,0.7187218721872187,0.9310531053105311,1.1257395485434187
source_family,chembl_herg_specialized_view,V8,7691,0.49303594059718225,0.7315466480003812,0.3398016702961648,0.6577818229098947,0.8916915875698869,1.4793218914207085
source_family,chembl_herg_specialized_view,V9 honest stack,7691,0.4801683153388143,0.7144828335265626,0.3330862735558,0.6689637238330516,0.8985827590690417,1.4395492682459174
