modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
422,STR-7C604423619052A15AC8,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,8.154901959985743,IC50,biochemical_inhibition,BindingDB,,STR-7C604423619052A15AC8,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
423,STR-7CB5FC4DF2338F3CCE69,CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,7.198596289982645,IC50,biochemical_inhibition,PubChem,2013.0,STR-7CB5FC4DF2338F3CCE69,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,test
424,STR-7CFBCFB6478602919F29,CC1(C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC1=O,6.645891560852599,IC50,biochemical_inhibition,PubChem,2013.0,STR-7CFBCFB6478602919F29,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CCCCCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
425,STR-7D0031746A963BBE8268,Cc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]3CCCN3C2=O)c1,5.939302159646388,IC50,biochemical_inhibition,BindingDB,,STR-7D0031746A963BBE8268,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,test
426,STR-7D5339DF90BF6BBC7650,NC(=O)Cc1nc(-c2ccc(F)cc2)cs1,3.668621084159213,IC50,biochemical_inhibition,BindingDB,,STR-7D5339DF90BF6BBC7650,c1ccc(-c2cscn2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
427,STR-7E1F0EE1EE4F776E8704,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCCNCCOC)C(C)C)C2)C(C)C,10.002182402701226,IC50,biochemical_inhibition,BindingDB,,STR-7E1F0EE1EE4F776E8704,c1ccc(Oc2nncnc2N2CCC3(CNC3)C2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
428,STR-7E4ED37C470579BF6D9F,NC(N)=NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(-c3ccccc3)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,4.404503778174426,IC50,biochemical_inhibition,PubChem,2013.0,STR-7E4ED37C470579BF6D9F,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2cccc(-c3ccccc3)c2)N1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
429,STR-7EBB82C6BCAEFA5254DA,O=C(Cc1ccc(S(=O)(=O)C2CC2)cc1)N1CCc2cc(C3(C4CCCC4)NCCc4ccccc43)ccc2C1,5.327902142064282,IC50,biochemical_inhibition,BindingDB,,STR-7EBB82C6BCAEFA5254DA,O=C(Cc1ccc(S(=O)(=O)C2CC2)cc1)N1CCc2cc(C3(C4CCCC4)NCCc4ccccc43)ccc2C1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,test
430,STR-7F0EE35F1AAF9EE0E75E,N#Cc1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cn1,6.0835460514500745,IC50,biochemical_inhibition,BindingDB,,STR-7F0EE35F1AAF9EE0E75E,c1cncc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)c1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
431,STR-7F50B57FFABE6350EAF5,N#Cc1ccc(OCCCN2CCC([C@](N)(c3ccccc3)C3CCCC3)CC2)cc1,7.0915149811213505,IC50,biochemical_inhibition,BindingDB;PubChem,,STR-7F50B57FFABE6350EAF5,c1ccc(OCCCN2CCC(C(c3ccccc3)C3CCCC3)CC2)cc1,bemis_murcko,scaffold,scaffold,c36cc6a6a29b1791359d66e339db904e9899da2a2a2046618bec3642c0e4170d,41f692ef5e00f424d3c76d5979e2efaf471c9d2f559bda07bd17e8a4e42fb2b5,train
