smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cccc(NC(=O)C=C)c2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506337,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cccc(NC(=O)\C=C\CN(C)C)c2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506354,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)C=C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511902,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CC(F)C2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511898,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCC(F)(F)CC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511910,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511903,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCCC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511908,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511901,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCCCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511912,Menin,,high_potency_<=100nM,True,True
COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5864844,Menin,2021,high_potency_<=100nM,True,True
