smiles,n_measurements,n_sources,p_herg_median,p_herg_best,herg_value_nm_median,herg_value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,herg_blocker_label,herg_label_policy
COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL1090175,hERG / KCNH2,2010.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
C[C@@H](NC(=O)[C@H]1CN(C2CCCCC2)CC[C@@H]1NC(=O)c1cc(-c2ccc(F)cc2F)on1)c1ccccn1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4755755,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1c2c(n3c1CCCN1CCC[C@@H](C1)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL1779547,hERG / KCNH2,2011.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cc(-c2cnc(OCC34CCC(N)(CC3)CC4)c(C)c2)c2cnn(C)c2n1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4762866,hERG / KCNH2,2023.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccc(-c2cc3nc(NC(C)(C)C)nc(NCCN(C)C)c3s2)cc1.Cl.Cl,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL5435831,hERG / KCNH2,2023.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1ccc2c(c1)OC1(CCOCC1)CC2=O,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL5206780,hERG / KCNH2,2022.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1cn(-c2ccc(-c3cn(CC(=O)Nc4cccc(Cl)c4Cl)nn3)cc2F)cn1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL3903475,hERG / KCNH2,2016.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cc1nc(-n2cnnn2)ccc1C(C)C(=O)N1CCN(CCc2ccc3c(c2C)COC3=O)CC1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL3794533,hERG / KCNH2,2016.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(N[C@H](C4CC4)C(F)(F)F)c23)cn1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL1835142,hERG / KCNH2,2011.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Fc1ccc(-c2nc3c(N4CCNCC4)nccc3[nH]2)cc1F,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4743530,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Fc1ccc(C2(c3ccc(F)cc3)CNC(c3cnccn3)=N2)cc1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL490937,hERG / KCNH2,2009.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Fc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL1935442,hERG / KCNH2,2012.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1/N=C1\S/C(=C2\SC(C(=O)Nc3ccccc3)=NN2c2ccccc2)C(=O)N1c1ccccc1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL3408396,hERG / KCNH2,2015.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(N2CCC3(CC2)CNC(=O)O3)nc1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,Ki,ChEMBL,CHEMBL3286735,hERG / KCNH2,2014.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
Nc1nc(N2CCC(N(CCc3ccc(Cl)cc3)Cc3cc(F)ccc3F)CC2)n[nH]1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL4646247,hERG / KCNH2,2020.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
O=C1CCc2cc(F)ccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,1,1,5.468521082957745,5.468521082957745,3400.0,3400.0,IC50,ChEMBL,CHEMBL2059318,hERG / KCNH2,2012.0,weak_1uM_to_10uM,False,False,1.0,"<=10 uM blocker, >=30 uM non-blocker, 10-30 uM omitted"
