similarity_cluster_id,cluster_size,representative_structure_id,member_structure_ids,n_scaffold_series,median_p_activity,maximum_p_activity
CLU-BB96640599B39BC3,1,STR-CBD434F7064DC5235A11,STR-CBD434F7064DC5235A11,1,7.173925197299173,7.173925197299173
CLU-BF2D183C7D5B632F,1,STR-7B5EB163620F94C0875D,STR-7B5EB163620F94C0875D,1,6.096910013008056,6.096910013008056
CLU-BF752C34538FDF3B,1,STR-5B2781FAFA3F33CB6B32,STR-5B2781FAFA3F33CB6B32,1,4.568636235841013,4.568636235841013
CLU-C70CEE3FF4575D02,1,STR-5F49DD17C62232E08D24,STR-5F49DD17C62232E08D24,1,8.045757490560675,8.045757490560675
CLU-CC925F5BD35808AB,1,STR-4E85A23F835ECEAE6207,STR-4E85A23F835ECEAE6207,1,3.267606240177032,3.267606240177032
CLU-CEF86B5E9A0835D2,1,STR-682700030C1645FC8057,STR-682700030C1645FC8057,1,4.113509274827518,4.113509274827518
CLU-CFB588FFDF7723BC,1,STR-1208A8B445C263EA876B,STR-1208A8B445C263EA876B,1,2.850165303284215,2.850165303284215
CLU-D2029A3121A57858,1,STR-8C145BCDAF9049DB2CD5,STR-8C145BCDAF9049DB2CD5,1,3.903089986991944,3.903089986991944
CLU-D827569746058977,1,STR-161DEB8746E0069E7832,STR-161DEB8746E0069E7832,1,2.920818753952375,2.920818753952375
CLU-DEC38C79778B3189,1,STR-F5DA1E0A219F4E851CAA,STR-F5DA1E0A219F4E851CAA,1,5.886056647693163,5.886056647693163
CLU-DFF6EB8CE47634CC,1,STR-BBDEE229539FC0F65C83,STR-BBDEE229539FC0F65C83,1,2.5238932831598087,2.5238932831598087
CLU-EBBA158899387C81,1,STR-E00A2A65334250E6910B,STR-E00A2A65334250E6910B,1,4.375717904164332,4.375717904164332
CLU-F2533F5276BBEB18,1,STR-E57E8CADFAE7EC8E946F,STR-E57E8CADFAE7EC8E946F,1,6.09799710864927,6.09799710864927
CLU-F37C0787DB6C8F12,1,STR-9125B3088394B1E7CAA4,STR-9125B3088394B1E7CAA4,1,5.568636235841012,5.568636235841012
CLU-F4CF92191F3E3B16,1,STR-9F7531856423F982C41A,STR-9F7531856423F982C41A,1,4.096910013008056,4.096910013008056
CLU-F6FF152D0F26B3C4,1,STR-5DB466958DBD29E03FB2,STR-5DB466958DBD29E03FB2,1,3.7644715530924513,3.7644715530924513
CLU-F7B7AB21DA5A58CA,1,STR-D5272C0C8993C36787C1,STR-D5272C0C8993C36787C1,1,5.721246399047171,5.721246399047171
CLU-F9D6BCB2D7B5C258,1,STR-9BCADA557E72EE3CB9BA,STR-9BCADA557E72EE3CB9BA,1,8.522878745280337,8.522878745280337
CLU-FA0EB403971B266C,1,STR-D4B27E39EABBED1674BA,STR-D4B27E39EABBED1674BA,1,3.9706162223147903,3.9706162223147903
