structure_id,smiles,sources,endpoints,assay_families,document_year,observed_p_activity_median,predicted_p_activity_median,residual_observed_minus_predicted,absolute_error,prediction_interval_lower_0.90,prediction_interval_upper_0.90,max_training_tanimoto,nearest_training_smiles,inside_applicability_domain,_inside_domain
STR-4B497AB49DA0E85C14C0,CCc1cc2c(N3CCN(C)CC3)ncnc2s1,PubChem,IC50,biochemical_binding,2023.0,3.612741517135725,4.615370911424995,-1.0026293942892694,1.0026293942892694,3.114676914405247,6.116064908444742,0.6808510422706604,CCc1cc2c(N3CCN(c4ccccn4)CC3)ncnc2s1,True,True
STR-A5490A895830A71903B2,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2(C(=O)OC)CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,ChEMBL,IC50,biochemical_binding,2021.0,7.372634143407267,8.35698059827255,-0.9843464548652828,0.9843464548652828,6.856286601252802,9.857674595292298,0.7473683953285217,C=CC(=O)N1CCC(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](CN5CCC5)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)(OC)C3)cc2)CC1,True,True
STR-4C19F00ABA775539C82E,N#Cc1ccc(OCCCN2CCC(C3(c4ccccc4)NCCc4ccccc43)CC2)cc1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.448550002027125,5.41687867473515,-0.9683286727080248,0.9683286727080248,3.9161846777154024,6.917572671754898,0.725806474685669,N#Cc1ccc(OCCCN2CCC(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,True,True
STR-AD35C124559ACD44BE3E,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C(F)(F)F)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,8.096910013008056,7.128838323699178,0.9680716893088784,0.9680716893088784,5.62814432667943,8.629532320718926,0.8513513803482056,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-C3AB20114EC3D149B3FF,CC(=O)N[C@@H]1CCC[C@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)c5cnn(C)c5)cc4)C3)CC2)CNCc2ccccc21,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,6.607303046740334,7.5740976737321395,-0.9667946269918052,0.9667946269918052,6.073403676712392,9.074791670751887,0.6888889074325562,CNC(=O)N[C@H]1CCC[C@@H]1C1(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)CNCc2ccccc21,True,True
STR-E06BC321EF0DF7985DE6,CC(c1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1)S(N)(=O)=O,ChEMBL,IC50,biochemical_binding,2018.0,8.0,7.04079394196117,0.9592060580388296,0.9592060580388296,5.5400999449414225,8.541487938980918,0.6202531456947327,NS(=O)(=O)Cc1ccc(CN2CCC3(CCN(c4ncnc5cc(CC(F)(F)F)sc45)C3)C2)cc1,False,False
STR-FBAAC5A0D7488D667D40,CNC(=O)O[C@H]1CCC[C@@H]1C(Cn1ccnc1C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,8.522878745280337,7.570147736489022,0.9527310087913152,0.9527310087913152,6.0694537394692745,9.07084173350877,0.7765957713127136,CNC(=O)O[C@@H]1CCC[C@H]1C(Cn1ccnc1C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(Cl)cc3)C2)CC1,True,True
STR-6CA56A9373037E1AABA1,CC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.6020599913279625,6.5432376906135845,-0.941177699285622,0.941177699285622,5.042543693593837,8.043931687633332,0.8028169274330139,CC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-514E377E1ED7B27533EB,CC(C)(C#N)c1ccc(CN2CCC3(CCN(c4ncnc5sc(CC(F)(F)F)cc45)C3)C2)cc1,ChEMBL,IC50,biochemical_binding,2018.0,7.698970004336019,6.76114037720315,0.937829627132869,0.937829627132869,5.260446380183402,8.261834374222897,0.5696202516555786,FC(F)Cc1cc2c(N3CCC4(CCN(Cc5ccc(N6CCOCC6)cc5)C4)C3)ncnc2s1,False,False
STR-38D78133670C2C6A5AEA,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(C(F)(F)F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.79317412396815,6.719457975607729,-0.926283851639579,0.926283851639579,5.218763978587981,8.220151972627477,0.6987951993942261,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-072FE59E687806FA7B3E,CCc1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,ChEMBL,IC50,biochemical_binding,2015.0,5.920818753952375,4.995355600746067,0.9254631532063078,0.9254631532063078,3.4946616037263194,6.496049597765815,0.9375,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True,True
STR-291A8BDD78332CB7AA65,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,ChEMBL,IC50,biochemical_binding,2013.0,7.602059991327963,6.687219643809907,0.914840347518056,0.914840347518056,5.18652564679016,8.187913640829656,1.0,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,True,True
STR-C6579F1285FA63B28E81,N#Cc1ccc(OCCCN2CCC([C@](O)(c3ccccn3)C3CCCC3)CC2)cc1,ChEMBL,IC50,biochemical_binding,2014.0,6.709965388637482,5.795764093827836,0.9142012948096454,0.9142012948096454,4.295070096808089,7.296458090847584,0.75,N#Cc1ccc(OCCCN2CCC([C@@](O)(c3ccccc3)C3CCCC3)CC2)cc1,True,True
STR-24E8A686F24A9B2B9CC8,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)COCc5ccccc54)CC3)C2)cc1)C1CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,6.517126416391246,7.411786757250979,-0.8946603408597325,0.8946603408597325,5.911092760231231,8.912480754270726,0.7164179086685181,CN1Cc2ccccc2C(C2CCCC2)(C2CCN(CC3CN(c4ccc(S(=O)(=O)C5CC5)cc4)C3)CC2)C1,True,True
STR-571CCDCD3D693D6D5618,C=CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,8.154901959985743,7.283156777356445,0.8717451826292981,0.8717451826292981,5.782462780336697,8.783850774376193,0.699999988079071,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)cc1,True,True
STR-751B5DB988139837BDDA,CCc1cc2c(NCC3CCN(Cc4cccc(C)c4)CC3)ncnc2s1,ChEMBL,IC50,biochemical_binding,2015.0,4.3979400086720375,5.2686683062624695,-0.870728297590432,0.870728297590432,3.767974309242722,6.769362303282217,0.625,CCc1cc2c(NC3CCN(Cc4ccccc4)CC3)ncnc2s1,True,True
STR-FC134713F6D36D29BA09,CO[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.7423214251308154,5.604007917277508,-0.8616864921466929,0.8616864921466929,4.103313920257761,7.104701914297256,0.7162162065505981,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-7A2E8FB7325B12C5539B,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(F)(F)F)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,6.2958494831602,7.157069399913731,-0.861219916753531,0.861219916753531,5.656375402893984,8.657763396933479,0.8082191944122314,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-C7F0E76CC5EC752D86FB,CCC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL,IC50,biochemical_binding,2019.0,7.481486060122112,6.627395467908206,0.8540905922139057,0.8540905922139057,5.126701470888459,8.128089464927953,0.7662337422370911,CCC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,True,True
STR-CE7B584631A9BA01C68A,CCO[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.688246138944246,5.535569195325287,-0.8473230563810414,0.8473230563810414,4.0348751983055395,7.036263192345035,0.8194444179534912,CCO[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,True,True
STR-6B28BBE0B01A6E185ED9,CC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,7.136677139879544,6.304010366066357,0.8326667738131874,0.8326667738131874,4.803316369046609,7.804704363086104,0.8714285492897034,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-78E8321E984DFAA6EEF2,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C(C#N)(c4ccccc4)[C@H]4CCC[C@H]4S(C)(=O)=O)CC3)C2)cc1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,4.6252516539898965,5.455272747349934,-0.8300210933600374,0.8300210933600374,3.954578750330186,6.9559667443696815,0.7101449370384216,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C(C#N)(c4ccccc4)C4CCC(=O)C4)CC3)C2)cc1,True,True
STR-D456C0F5B6DBFC7C04B5,N#Cc1ccc(N2CC(CN3CCC([C@@](C#N)(c4cccc(F)c4)[C@H]4CCC[C@@H]4NC(=O)CCl)CC3)C2)cc1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,8.045757490560675,7.215855026934618,0.8299024636260564,0.8299024636260564,5.715161029914871,8.716549023954366,0.8227847814559937,N#C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)CCl,True,True
STR-E91B6B648646B754AD1D,NS(=O)(=O)c1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)c3ccccn3)CC2)cc1,ChEMBL,IC50,biochemical_binding,2014.0,6.8297382846050425,6.0001809582791426,0.8295573263259,0.8295573263259,4.499486961259395,7.50087495529889,0.5199999809265137,N#Cc1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)C3CCCC3)CC2)cc1,False,False
STR-23383202A04EDA946CD9,CC1(C)CN=C(N2CCN(c3ncnc4sc(C(F)(F)C(F)(F)F)cc34)CC2)S1,ChEMBL,IC50,biochemical_binding,2015.0,6.17134010346468,5.342985831227818,0.8283542722368624,0.8283542722368624,3.84229183420807,6.8436798282475655,0.6379310488700867,CC(C)c1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True,True
