structure_id,endpoint,assay_family,measurements,sources,median_p_activity,min_p_activity,max_p_activity,sd_p_activity,range_log10
STR-751E14E3FB418B1577CE,IC50,biochemical_inhibition,2,1,5.6807553715226815,5.537602002101044,5.823908740944319,0.20244943653548517,0.2863067388432743
STR-751E14E3FB418B1577CE,IC50,biochemical_binding,4,2,5.6807553715226815,5.537602002101044,5.823908740944319,0.1652992727419683,0.2863067388432743
STR-5D9D18A659624B9D4D9E,IC50,biochemical_binding,3,2,7.721246399047171,7.721246399047171,8.0,0.16093846654769325,0.27875360095282886
STR-5D9D18A659624B9D4D9E,IC50,biochemical_inhibition,2,1,7.860623199523586,7.721246399047171,8.0,0.19710856151391415,0.27875360095282886
STR-9C6F5F9AE1FD0341471B,IC50,biochemical_inhibition,2,1,6.979086618681228,6.844663962534938,7.113509274827518,0.19010234341229842,0.26884531229258
STR-E64E90F663FA85F37778,IC50,biochemical_inhibition,2,1,5.020479303839453,4.886056647693163,5.154901959985743,0.19010234341229842,0.26884531229258
STR-E64E90F663FA85F37778,IC50,biochemical_binding,4,2,5.020479303839453,4.886056647693163,5.154901959985743,0.15521791342249008,0.26884531229258
STR-9C6F5F9AE1FD0341471B,IC50,biochemical_binding,3,2,7.113509274827518,6.844663962534938,7.113509274827518,0.15521791342249003,0.26884531229258
STR-CAD50D46562C0D29D331,IC50,biochemical_inhibition,2,1,9.8767507096021,9.744727494896694,10.008773924307503,0.18670902078447912,0.2640464294108096
STR-35790CE0C27A0709B3BB,IC50,biochemical_inhibition,4,2,7.624260367736677,7.498940737782249,7.7495799976911055,0.144706644177867,0.2506392599088567
STR-42E31A098E57D11F920E,IC50,biochemical_inhibition,2,1,6.839926856944473,6.721246399047171,6.958607314841775,0.16783951314701323,0.2373609157946035
STR-37F5739D847AD6A8207C,IC50,biochemical_inhibition,4,2,7.467359564448623,7.349692476868063,7.585026652029182,0.13587024937879008,0.23533417516111843
STR-FF095523952A15300267,IC50,cellular_functional,2,1,5.291380439266309,5.180456064458131,5.402304814074488,0.15687075525148286,0.22184874961635703
STR-718AB1E455060CA519A1,IC50,biochemical_binding,3,2,7.920818753952375,7.698970004336019,7.920818753952375,0.12808443531038505,0.22184874961635614
STR-718AB1E455060CA519A1,IC50,biochemical_inhibition,2,1,7.809894379144197,7.698970004336019,7.920818753952375,0.15687075525148192,0.22184874961635614
STR-FF095523952A15300267,IC50,biochemical_binding,3,2,5.3979400086720375,5.180456064458131,5.3979400086720375,0.12556441373632057,0.2174839442139067
STR-FF095523952A15300267,IC50,biochemical_inhibition,2,1,5.289198036565084,5.180456064458131,5.3979400086720375,0.15378437175285023,0.2174839442139067
STR-1887E5F4BD19EFABAFA8,IC50,biochemical_inhibition,2,1,6.74892305356432,6.6439741428068775,6.853871964321762,0.14842017294945833,0.20989782151488434
STR-D5272C0C8993C36787C1,IC50,biochemical_inhibition,7,2,5.721246399047171,5.721246399047171,5.920818753952375,0.07543125994895569,0.19957235490520375
STR-D5272C0C8993C36787C1,IC50,biochemical_binding,5,2,5.721246399047171,5.721246399047171,5.920818753952375,0.1093102806360068,0.19957235490520375
STR-80AA618DD9FA90E3C7FC,Kd,biochemical_binding,4,2,8.093543321678572,8.0,8.187086643357144,0.10801452390403078,0.1870866433571443
STR-6F1C926A5BCCC888A7D5,IC50,cellular_functional,2,1,4.901235672238615,4.815308569182402,4.987162775294828,0.12151927451752734,0.1718542061124264
STR-0A56438F09B3E75AAE8B,IC50,biochemical_binding,2,1,6.2941901470183845,6.221848749616356,6.366531544420413,0.10230618532697032,0.14468279480405677
STR-1EFBCA4F76B383B42706,IC50,cellular_functional,2,1,4.363592322881885,4.294563953414749,4.432620692349022,0.09762085628892501,0.13805673893427262
STR-841FC2EFD5AAF36FB504,IC50,biochemical_binding,3,2,7.173925197299173,7.055517327849831,7.173925197299173,0.06836281530074786,0.11840786944934223
STR-841FC2EFD5AAF36FB504,IC50,biochemical_inhibition,2,1,7.114721262574502,7.055517327849831,7.173925197299173,0.08372700743348133,0.11840786944934223
STR-213F84F38B4A2B9413E0,IC50,biochemical_binding,3,2,7.886056647693163,7.769551078621726,7.886056647693163,0.06726452166548479,0.11650556907143717
STR-213F84F38B4A2B9413E0,IC50,biochemical_inhibition,2,1,7.8278038631574445,7.769551078621726,7.886056647693163,0.08238187793641091,0.11650556907143717
STR-13602A865FEABB9329F4,IC50,cellular_functional,2,1,5.317068892298722,5.267606240177031,5.366531544420413,0.06995075346143774,0.09892530424338197
STR-7E1F0EE1EE4F776E8704,IC50,biochemical_inhibition,2,1,10.002182402701226,9.958607314841776,10.045757490560677,0.061624480232433505,0.08715017571890016
STR-DC0F93BC28332B505B19,IC50,biochemical_inhibition,2,1,7.578695380194719,7.537602002101044,7.619788758288394,0.05811481262380011,0.08218675618734927
STR-DC0F93BC28332B505B19,IC50,biochemical_binding,4,2,7.578695380194719,7.537602002101044,7.619788758288394,0.04745054580858824,0.08218675618734927
STR-282D943879193C965050,IC50,biochemical_binding,4,2,5.182258126592544,5.142667503568731,5.221848749616356,0.04571531372036635,0.07918124604762511
