structure_id,endpoint,assay_family,measurements,sources,median_p_activity,min_p_activity,max_p_activity,sd_p_activity,range_log10
STR-27A7903BB4E38754D8CE,IC50,biochemical_binding,2,1,5.6338031200885155,4.823908740944319,6.443697499232712,1.1453636150754607,1.6197887582883936
STR-715AAC076E28244157A2,IC50,in_vivo,2,1,6.6990827330096945,5.90031935889075,7.497846107128639,1.1296219968059062,1.5975267482378896
STR-E06A004C382394357B0F,IC50,in_vivo,2,1,6.983549660633662,6.1911141326401875,7.775985188627136,1.1206730709946555,1.584871055986948
STR-607EE12240E722EC08AE,IC50,cellular_functional,2,1,6.200167610605791,5.4089353929735005,6.991399828238082,1.118971333162126,1.5824644352645816
STR-057D3FCC1D3A4F62ECE4,IC50,in_vivo,2,1,6.431278142534429,5.649945906420969,7.21261037864789,1.1049706450309529,1.5626644722269205
STR-F4D7C79F147C9691D2EE,IC50,cellular_functional,2,1,6.664877073462938,5.886056647693163,7.443697499232712,1.1014184087768035,1.5576408515395492
STR-9C6F5F9AE1FD0341471B,IC50,cellular_functional,2,1,6.099130118155934,5.3535962737769305,6.844663962534938,1.0543440739289391,1.4910676887580072
STR-367ECDD87D72DA357113,IC50,in_vivo,2,1,6.557464486020555,5.832682665251824,7.282246306789284,1.024996280692604,1.44956364153746
STR-E6C9DB27889E0D91BF2B,IC50,cellular_functional,2,1,6.81725600755455,6.096910013008056,7.537602002101044,1.0187230750887875,1.4406919890929881
STR-841FC2EFD5AAF36FB504,IC50,cellular_functional,2,1,6.337653043069112,5.619788758288394,7.055517327849831,1.0152134074801542,1.4357285695614372
STR-B56EF6AC340F28C175E6,IC50,cellular_functional,2,1,7.240743030061056,6.522878745280337,7.958607314841775,1.0152134074801542,1.4357285695614372
STR-38BBD51311D74F91B35C,IC50,in_vivo,2,1,6.761855970886303,6.057991946977687,7.465719994794918,0.9954140486780649,1.4077280478172316
STR-AA961ADF07B3F8F3D6F1,IC50,in_vivo,2,1,6.522878745280337,5.823908740944319,7.221848749616356,0.9884928598239788,1.3979400086720375
STR-718AB1E455060CA519A1,IC50,cellular_functional,2,1,7.0,6.301029995663981,7.698970004336019,0.9884928598239788,1.3979400086720375
STR-834117D96EE9FE3ABB93,IC50,in_vivo,2,1,7.230870898604233,6.55129368009492,7.910448117113546,0.9610673190956547,1.359154437018626
STR-B55D3FD73A77678E9E44,IC50,biochemical_inhibition,2,1,7.623975776090281,6.94692155651658,8.301029995663981,0.9574992597830588,1.3541084391474012
STR-B55D3FD73A77678E9E44,IC50,biochemical_binding,4,2,7.623975776090281,6.94692155651658,8.301029995663981,0.781794871853696,1.3541084391474012
STR-A814A4A72CF8681234C9,IC50,in_vivo,3,1,8.568636235841012,7.303643611266668,8.638272163982407,0.7512532724764787,1.3346285527157393
STR-36584B3033D9C455D195,IC50,cellular_functional,2,1,6.501306807801344,5.853871964321762,7.1487416512809245,0.9156111364017263,1.2948696869591627
STR-2427F8EACDBEB2183A48,IC50,cellular_functional,2,1,6.088262885414849,5.443697499232712,6.732828271596986,0.9115531109750297,1.289130772364274
STR-1E1ED32C7DBBD679031C,IC50,in_vivo,2,1,6.279545458967391,5.638272163982407,6.920818753952375,0.9068973909554469,1.282546589969968
STR-5D9B9F812F4F4752FF1B,IC50,in_vivo,2,1,6.583563599410887,5.958607314841775,7.208519883979999,0.8838216535279381,1.2499125691382247
STR-0FC172F4903F344CAD3C,IC50,cellular_functional,2,1,6.566266256070474,5.958607314841775,7.173925197299173,0.859359515982902,1.2153178824573985
STR-E49D89B6198794AA3844,IC50,in_vivo,2,1,6.420282580215366,5.821023052706831,7.0195421077239,0.8474809511838625,1.1985190550170692
STR-0A56438F09B3E75AAE8B,IC50,in_vivo,4,1,5.09380271694685,5.036212172654444,6.221848749616356,0.5746045491810226,1.1856365769619117
STR-382C932AE09375510FDE,IC50,in_vivo,2,1,5.588132505800634,5.008773924307505,6.167491087293763,0.8193367634248214,1.1587171629862585
STR-CD79CC9C7019F8216147,IC50,in_vivo,2,1,7.094378772177361,6.548213564475709,7.640543979879014,0.7723942440279945,1.0923304154033042
STR-6F2F0078B4ED2C2981C8,IC50,in_vivo,2,1,6.039938336854638,5.494850021680094,6.585026652029182,0.7708712880109404,1.090176630349088
STR-B996C6C126CB7E148CA2,IC50,in_vivo,2,1,6.2011524070372435,5.657577319177793,6.7447274948966935,0.768731261418981,1.0871501757189002
STR-CE5E53FBE3F642E4404C,IC50,in_vivo,2,1,5.996766978875384,5.455931955649724,6.537602002101044,0.7648562248520963,1.08167004645132
STR-D1933351E0881330907E,IC50,in_vivo,2,1,6.753008604497207,6.2168113089247425,7.289205900069673,0.7582974875063551,1.0723945911449304
STR-1ED81EB6526D0C332327,IC50,cellular_functional,2,1,5.209195816983971,4.673664139071248,5.7447274948966935,0.7573561619845921,1.0710633558254452
STR-6FC572CFD54A8BD3A4A2,IC50,in_vivo,3,1,5.376750709602099,5.022276394711152,6.086186147616283,0.5417340434435886,1.063909752905131
STR-7F2A74ABC824071AE710,IC50,in_vivo,2,1,6.210108201691595,5.698970004336019,6.721246399047171,0.7228585709471915,1.0222763947111524
STR-69053F730BD004EFA19C,IC50,biochemical_inhibition,2,1,6.688127328228166,6.18243463044022,7.1938200260161125,0.7151574716047526,1.0113853955758927
