structure_id_a,structure_id_b,core_smiles,variable_fragment_a,variable_fragment_b,transformation,core_heavy_atoms,variable_heavy_atoms_a,variable_heavy_atoms_b,p_activity_a,p_activity_b,absolute_delta_pactivity,achiral_morgan_tanimoto,is_activity_cliff,shared_assay_id,shared_document_id,evidence_context_grade
STR-3187B729C5A86F22C447,STR-7C604423619052A15AC8,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCO[C@@H]1CCC[C@H]1[*:1],CC(=O)O[C@H]1CCC[C@@H]1[*:1],CCO[C@@H]1CCC[C@H]1[*:1]>>CC(=O)O[C@H]1CCC[C@@H]1[*:1],35,8,9,5.045757490560675,8.154901959985743,3.1091444694250683,0.8157894736842105,True,True,True,same_assay
STR-695C2B9D19FE30A6368D,STR-F4D7C79F147C9691D2EE,c1ccc2c(c1)CCNC2(C1CCCC1)C1CCN(CC2CN([*:1])C2)CC1,c1cnc([*:1])nc1,N#Cc1ccc([*:1])cc1,c1cnc([*:1])nc1>>N#Cc1ccc([*:1])cc1,26,6,8,4.335358024443875,7.443697499232712,3.1083394747888375,0.6935483870967742,True,True,True,same_assay
STR-2CFC8301293C2B82E4A6,STR-BA4B8BF78E2F3EDB8F63,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(=O)NCCC[C@@H](C(C)C)[*:1],CC(C)[C@@H](CCNCCC(N)=O)[*:1],CC(=O)NCCC[C@@H](C(C)C)[*:1]>>CC(C)[C@@H](CCNCCC(N)=O)[*:1],30,11,12,4.064492734175287,7.167491087293763,3.102998353118476,0.7865168539325843,True,True,True,same_assay
STR-20D5B5F6CCFE315C6A44,STR-7C604423619052A15AC8,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],c1cc(C[*:1])ccn1,CC(=O)O[C@H]1CCC[C@@H]1[*:1],c1cc(C[*:1])ccn1>>CC(=O)O[C@H]1CCC[C@@H]1[*:1],35,7,9,5.055517327849831,8.154901959985743,3.099384632135912,0.6538461538461539,True,True,True,same_assay
STR-06E53FF33324D9B1A44A,STR-40E0E7043CC563C31D2B,N#Cc1ccc(OCCCN2CCC(C(C#N)(c3ccccc3)[C@H]3CCC[C@@H]3[*:1])CC2)cc1,CNC(=O)O[*:1],CO[*:1],CNC(=O)O[*:1]>>CO[*:1],32,5,2,7.698970004336019,4.609064892896621,3.089905111439398,0.7611940298507462,True,True,True,same_assay
STR-80B7C819E96F09B4FE2E,STR-A1381CEB41898F753D78,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CN(S(C)(=O)=O)[*:1],COC(=O)N[*:1],CN(S(C)(=O)=O)[*:1]>>COC(=O)N[*:1],37,6,5,4.424812155072339,7.508638306165727,3.083826151093388,0.6835443037974683,True,True,True,same_assay
STR-54ED728D29C775C2EEED,STR-FB20DDC3426AF551283B,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CS(=O)(=O)CO[*:1],CN(C)C(=O)N[*:1],CS(=O)(=O)CO[*:1]>>CN(C)C(=O)N[*:1],40,6,6,4.841637507904751,7.920818753952375,3.079181246047624,0.6823529411764706,True,True,True,same_assay
STR-06E53FF33324D9B1A44A,STR-84B9176A329FC508D11B,N#Cc1ccc(OCCCN2CCC(C(C#N)(c3ccccc3)[*:1])CC2)cc1,CNC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(=O)N1CCC[C@@H]1[*:1],CNC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(=O)N1CCC[C@@H]1[*:1],27,10,8,7.698970004336019,4.632644078973981,3.0663259253620376,0.6486486486486487,True,True,True,same_assay
STR-5B65D30F2628A312D8CA,STR-E15050249B2D732BD2E2,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],CNC(=O)N[*:1],CSC[*:1],CNC(=O)N[*:1]>>CSC[*:1],40,5,3,8.045757490560675,4.987162775294828,3.058594715265847,0.7073170731707317,True,True,True,same_assay
STR-990708AC2AD0842F3BCB,STR-E15050249B2D732BD2E2,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1[*:1],NC(=O)O[*:1],CSC[*:1],NC(=O)O[*:1]>>CSC[*:1],40,4,3,8.045757490560675,4.987162775294828,3.058594715265847,0.7037037037037037,True,True,True,same_assay
STR-42FABA990848887F9FDB,STR-5B65D30F2628A312D8CA,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCC1CCCC1[*:1],CNC(=O)N[C@H]1CCC[C@@H]1[*:1],CCC1CCCC1[*:1]>>CNC(=O)N[C@H]1CCC[C@@H]1[*:1],35,7,10,4.991399828238082,8.045757490560675,3.0543576623225928,0.7341772151898734,True,True,True,same_assay
STR-42FABA990848887F9FDB,STR-990708AC2AD0842F3BCB,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCC1CCCC1[*:1],NC(=O)O[C@H]1CCC[C@@H]1[*:1],CCC1CCCC1[*:1]>>NC(=O)O[C@H]1CCC[C@@H]1[*:1],35,7,9,4.991399828238082,8.045757490560675,3.0543576623225928,0.7307692307692307,True,True,True,same_assay
STR-8BAA965F9B38F093E239,STR-E971954B90C3DF1122E8,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1)[*:1],CN([C@@H]1CCC[C@H]1[*:1])S(C)(=O)=O,CC(=O)O[C@H]1CCC[C@@H]1[*:1],CN([C@@H]1CCC[C@H]1[*:1])S(C)(=O)=O>>CC(=O)O[C@H]1CCC[C@@H]1[*:1],32,11,9,4.716698771296451,7.744727494896693,3.028028723600242,0.7236842105263158,True,True,True,same_assay
STR-85CC09FA46180DEFBF79,STR-F3E4FB7B2DAC6DD0B0EA,N#CC(c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1)[*:1],CC(=O)O[C@H]1CCC[C@@H]1[*:1],CC(=O)O[C@@H]1CCC[C@H]1[*:1],CC(=O)O[C@H]1CCC[C@@H]1[*:1]>>CC(=O)O[C@@H]1CCC[C@H]1[*:1],36,9,9,7.886056647693163,4.860120913598763,3.0259357340944,1.0,True,True,True,same_assay
STR-3BD3AAFB21D6F0AE245A,STR-B42C6A96CD90C7D4D5BD,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CC(C)[C@H](CCCO)[*:1],CC(C)[C@@H](CCC(C)(C)N)[*:1],CC(C)[C@H](CCCO)[*:1]>>CC(C)[C@@H](CCC(C)(C)N)[*:1],30,8,10,4.152489034796752,7.173925197299173,3.021436162502421,0.8192771084337349,True,True,True,same_assay
