PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Total_Fluorescence-Curve_Description,Total_Fluorescence-Fit_LogAC50,Total_Fluorescence-Fit_HillSlope,Total_Fluorescence-Fit_R2,Total_Fluorescence-Fit_InfiniteActivity,Total_Fluorescence-Fit_ZeroActivity,Total_Fluorescence-Fit_CurveClass,Total_Fluorescence-Excluded_Points,Total_Fluorescence-Max_Response,Total_Fluorescence-Activity at 0.0000080105 uM,Total_Fluorescence-Activity at 0.0000240316 uM,Total_Fluorescence-Activity at 0.0000720949 uM,Total_Fluorescence-Activity at 0.0002162846 uM,Total_Fluorescence-Activity at 0.0006488539 uM,Total_Fluorescence-Activity at 0.00195 uM,Total_Fluorescence-Activity at 0.00584 uM,Total_Fluorescence-Activity at 0.011 uM,Total_Fluorescence-Activity at 0.024 uM,Total_Fluorescence-Activity at 0.056 uM,Total_Fluorescence-Activity at 0.112 uM,Total_Fluorescence-Activity at 0.196 uM,Total_Fluorescence-Activity at 0.391 uM,Total_Fluorescence-Activity at 0.783 uM,Total_Fluorescence-Activity at 1.565 uM,Total_Fluorescence-Activity at 3.131 uM,Total_Fluorescence-Activity at 6.261 uM,Total_Fluorescence-Activity at 12.52 uM,Total_Fluorescence-Activity at 25.04 uM,Total_Fluorescence-Activity at 50.09 uM,Total_Fluorescence-Activity at 100.2 uM,Total_Fluorescence-Activity at 181.8 uM,Total_Fluorescence-Activity at 287.5 uM,FP-Curve_Description,FP-Fit_LogAC50,FP-Fit_HillSlope,FP-Fit_R2,FP-Fit_InfiniteActivity,FP-Fit_ZeroActivity,FP-Fit_CurveClass,FP-Excluded_Points,FP-Max_Response,FP-Activity at 0.0000080105 uM,FP-Activity at 0.0000240316 uM,FP-Activity at 0.0000720949 uM,FP-Activity at 0.0002162846 uM,FP-Activity at 0.0006488539 uM,FP-Activity at 0.00195 uM,FP-Activity at 0.00584 uM,FP-Activity at 0.011 uM,FP-Activity at 0.024 uM,FP-Activity at 0.056 uM,FP-Activity at 0.112 uM,FP-Activity at 0.196 uM,FP-Activity at 0.391 uM,FP-Activity at 0.783 uM,FP-Activity at 1.565 uM,FP-Activity at 3.131 uM,FP-Activity at 6.261 uM,FP-Activity at 12.52 uM,FP-Activity at 25.04 uM,FP-Activity at 50.09 uM,FP-Activity at 100.2 uM,FP-Activity at 181.8 uM,FP-Activity at 287.5 uM,Compound QC
75,24793233,893158,CC1=CC=CC=C1C2=NNC(=S)N2C,Inactive,0,,,Inactive,,,,,,,,,,4,,1.2278,,,,,,,,,,-1.6,1.5721,2.1411,1.9684,0.9244,2.8138,0.9165,2.0963,1.7796,0.3117,0.7517,1.2278,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-8.3744,,,,,,,,,,-0.821,0.3284,1.8883,1.8883,0.2463,1.3136,0.9852,-2.7094,1.4778,-2.6273,-11.1658,-8.3744,,,QC'd by ChemBridge
76,49675101,2333509,C1=CC=C(C=C1)C2=CC=C(C=C2)/C(=C/C3=CC=C(C=C3)F)/C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-5.9762,,,,,,,,,,-10.3496,-9.1852,-8.2401,-6.462,-5.5963,-4.7976,-2.927,-2.6738,-2.5209,-1.9311,-2.1288,-5.9762,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1,5.9113,,,,,,,,,,6.8966,8.867,10.8374,10.8374,9.1954,7.5534,7.7176,6.3218,6.3218,5.5829,1.9704,5.9113,,,QC'd by Enamine
77,26665545,765305,C1CNC2=C(C1=O)C=C(C=C2Cl)Cl,Inconclusive,10,,,Fluorescent,141.254,84.006,,Partial curve; partial efficacy,-3.85,2.4064,0.9528,77.0704,-6.9356,2.2,0 0 0 0 0 0 0 0 0 0 0 0,75.7313,,,,,,,,,,,,-11.3192,-7.1012,-8.3183,-8.5411,-7.5022,-5.6815,-6.5827,-1.3359,-0.7206,7.8652,25.0343,75.7313,Partial curve; high efficacy,-3.8,2.4064,0.9207,-143.53,9.1158,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-149.511,,,,,,,,,,,,16.2316,12.5612,11.0114,9.6248,6.77,9.2985,8.075,4.8124,0.8157,-17.7814,-36.7047,-149.511,QC'd by null
78,865591,666850,CC1=C(C(=O)N2C(=N1)N=C(N2)C3=CC=C(C=C3)OC)CC(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,1.2537,,,,,,,,,,,,-4.296,-5.4178,-6.0644,-3.3183,-3.6549,0.1251,-1.8648,-1.823,0.2696,-0.0351,0.8855,1.2537,,,,,,,4,0 1 0 0 0 0 0 0 0 0 1 0,-3.0869,,,,,,,,,,,,-0.8936,-2.762,0.8936,0.1625,-3.7368,-5.1178,-4.4679,-4.0617,-3.7368,-2.762,-6.2551,-3.0869,QC'd by DPISMR
79,17409014,1207591,C1=CC(=CN=C1)C(=O)NC(=S)NC2=NC(=CS2)C3=CC=C(C=C3)Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 1,-10.5909,,,,,,,,,,-8.6351,-7.4112,-5.4597,-1.7671,-0.6573,-1.3175,-0.0176,-1.1621,-1.0395,-4.698,-0.4242,-10.5909,,,,,,,,,4,,-1.0673,,,,,,,,,,1.3957,6.5681,1.0673,1.8062,3.5304,1.9704,2.5452,1.0673,2.1346,1.642,0.4926,-1.0673,,,QC'd by DPISMR
80,29215493,10291556,CC1=CN=C(S1)NC(=O)C2C(=O)C3=CC=CC=C3S(=O)(=O)N2C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-0.61,,,,,,,,,,,,-10.2171,-7.8432,-6.9025,-6.7891,-5.8304,-3.457,-3.8922,-1.3819,-2.3888,-0.8091,-1.0415,-0.61,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0,6.6613,,,,,,,,,,,,13.16,10.723,12.3477,10.3168,8.4484,13.8099,10.8855,10.723,6.4175,5.2803,3.7368,6.6613,QC'd by Bionet
81,29215400,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 0,2.2698,,,,,,,,,,,,-7.9338,-7.1099,-6.6994,-5.725,-5.0685,-1.1543,-0.0082,1.4728,0.7134,1.2876,-3.5718,2.2698,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,3.818,,,,,,,,,,,,9.7482,11.6978,9.9106,6.905,8.3672,1.9496,1.7872,4.6304,0.8123,2.3558,3.0869,3.818,QC'd by AKos
82,17515774,4641538,CC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C54,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-1.3017,,,,,,,,,,-5.857,-4.2456,-2.0821,-2.0706,-2.3146,-1.0858,-0.8309,0.4414,0.9238,-0.0301,0.0688,-1.3017,,,,,,,,,4,,-0.4854,,,,,,,,,,-2.9935,-4.4498,-1.4563,-2.7508,-1.2136,-1.699,-2.1036,-2.7508,-2.7508,-3.5599,-4.2071,-0.4854,,,QC'd by Life Chemicals
83,49675777,3791920,CCN1C=NC2=C1C(=O)N(C(=O)N2CC3=CC=CC=C3)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,3.1688,,,,,,,,,,,,-8.0413,-8.8471,-4.0271,-3.0898,-0.4077,0.3231,-0.972,0.2599,-1.6187,3.2084,2.3375,3.1688,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-2.3558,,,,,,,,,,,,2.437,2.5183,-0.0812,-0.3249,-1.9496,-1.8684,-1.2998,-1.7059,-1.1373,-4.143,-3.4119,-2.3558,QC'd by Enamine
84,49679362,24762035,CCOC(=O)N1CCN(CC1)CCC(=O)C2=CC=C(C=C2)Br.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.3859,,,,,,,,,,-1.8743,-0.5951,0.7485,-1.3406,0.1353,-0.9973,1.4539,0.3504,-3.5482,-1.4621,1.0059,-1.3859,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-16.092,,,,,,,,,,2.2989,3.6125,1.1494,1.8062,3.6125,1.1494,2.7915,1.8062,4.023,2.2989,-12.6437,-16.092,,,QC'd by Chem Div
