modeling_row,structure_id,standard_inchi_key,smiles,herg_blocker_label,endpoints,assay_families,document_year,document_years,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
2174,STR-C8E22166F48F5EBAF7A4,FUPLMCDALVVROC-QEIWAGNOSA-N,CC(C)Cc1ccc2nn(C)cc2c1NS(=O)(=O)c1ccc(CCCO[C@@H]2C[C@H]3CC[C@@H](C2)N3C)cc1,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-C8E22166F48F5EBAF7A4,O=S(=O)(Nc1cccc2n[nH]cc12)c1ccc(CCCOC2CC3CCC(C2)N3)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2175,STR-C8F3F79859677011A370,CEUORZQYGODEFX-UHFFFAOYSA-N,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1,IC50,electrophysiology_functional,2020.0,2020.0,STR-C8F3F79859677011A370,O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2176,STR-C90328E0E643AC9D37DA,JIRLCHVAMIDNRT-UHFFFAOYSA-N,O=C(NCC1CCOCC1)c1n[nH]c2ccc(-c3cnccc3CO)cc12,0,IC50,electrophysiology_functional,2020.0,2020.0,STR-C90328E0E643AC9D37DA,O=C(NCC1CCOCC1)c1n[nH]c2ccc(-c3cccnc3)cc12,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
2177,STR-C90B2CF75AA315AC0FDF,UCRSYBKADUKGLT-CYBMUJFWSA-N,CCc1nn(CCOCC(F)(F)F)c2c(Nc3ccncn3)nc(N3CCN[C@H](C)C3)nc12,1,IC50,electrophysiology_functional,2010.0,2010.0,STR-C90B2CF75AA315AC0FDF,c1cc(Nc2nc(N3CCNCC3)nc3cn[nH]c23)ncn1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2178,STR-C914DAFB4B27FA0DEC7B,RSZGIFQDUIROGN-VQTJNVASSA-N,CNC[C@@H](c1ccc2ccccc2c1)[C@H](O)c1ccccc1,0,IC50,electrophysiology_functional,2018.0,2018.0,STR-C914DAFB4B27FA0DEC7B,c1ccc(CCc2ccc3ccccc3c2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2179,STR-C93804360D92A6E00B0D,DCHROQCNJDJPGN-UHFFFAOYSA-N,CS(=O)(=O)c1cc(CNC(=O)c2cncc3c2cnn3-c2ccc(F)cc2)ccn1,0,IC50,electrophysiology_functional,2019.0,2019.0,STR-C93804360D92A6E00B0D,O=C(NCc1ccncc1)c1cncc2c1cnn2-c1ccccc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,test
2180,STR-C93DC384C5E9C543A360,RFWVETIZUQEJEF-UHFFFAOYSA-N,O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,1,IC50,electrophysiology_functional,2014.0,2014.0,STR-C93DC384C5E9C543A360,c1ccc(Nc2cccc3cncn23)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2181,STR-C94F168B6BF013B117DC,NHDSYXZEDKBTPN-MLGOLLRUSA-N,CNC[C@H](c1ccc(Cl)c(Cl)c1)[C@H](O)c1ccccc1I,1,IC50,electrophysiology_functional,2018.0,2018.0,STR-C94F168B6BF013B117DC,c1ccc(CCc2ccccc2)cc1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2182,STR-C989F9181300F21F2673,ZHCZMQFTDTVWLU-UHFFFAOYSA-N,CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1)C(F)(F)F,1,IC50,electrophysiology_functional,2010.0,2010.0,STR-C989F9181300F21F2673,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
2183,STR-C9A819AA30B28FF5F57C,RVCDGNPKKGACSU-UHFFFAOYSA-N,Nc1ncc(-c2ccc(C(=O)N3CCNCC3)cc2)cc1-c1ccc(C(F)(F)F)cc1,1,IC50,electrophysiology_functional,2012.0,2012.0,STR-C9A819AA30B28FF5F57C,O=C(c1ccc(-c2cncc(-c3ccccc3)c2)cc1)N1CCNCC1,bemis_murcko,random,random,29aec7c662550151b135c11369ad89a2f642fdd02a5992be976aa2e2d3a15828,104c87207414336a1129c21ea7bc41b7dc964fd0045cd8d35a88962d35ddf3eb,train
