table,field,evidence_domain,missing_rows,denominator_rows,missing_rate
task_registry,intended_use,<all>,0,28,0.0
task_registry,label_kind,<all>,0,28,0.0
task_registry,label_unit,<all>,0,28,0.0
task_registry,observation_kind,<all>,0,28,0.0
task_registry,policy_version,<all>,0,28,0.0
task_registry,prohibited_claim,<all>,0,28,0.0
task_registry,relation_counts_json,<all>,0,28,0.0
task_registry,required_modalities,<all>,0,28,0.0
task_registry,row_count,<all>,0,28,0.0
task_registry,sensitivity_task_eligible,<all>,0,28,0.0
task_registry,task_id,<all>,0,28,0.0
task_registry,task_type,<all>,0,28,0.0
tasks,access_class,binding,0,2315134,0.0
tasks,access_class,herg,0,310,0.0
tasks,access_class,other,0,300593,0.0
tasks,activity_origin_id,binding,0,2315134,0.0
tasks,activity_origin_id,herg,0,310,0.0
tasks,activity_origin_id,other,0,300593,0.0
tasks,activity_origin_name,binding,0,2315134,0.0
tasks,activity_origin_name,herg,0,310,0.0
tasks,activity_origin_name,other,0,300593,0.0
tasks,assay_family,binding,0,2315134,0.0
tasks,assay_family,herg,0,310,0.0
tasks,assay_family,other,0,300593,0.0
tasks,assay_id,binding,0,2315134,0.0
tasks,assay_id,herg,0,310,0.0
tasks,assay_id,other,0,300593,0.0
tasks,canonical_smiles,binding,0,2315134,0.0
tasks,canonical_smiles,herg,0,310,0.0
tasks,canonical_smiles,other,0,300593,0.0
tasks,canonical_target_id,binding,0,2315134,0.0
tasks,canonical_target_id,herg,0,310,0.0
tasks,canonical_target_id,other,0,300593,0.0
tasks,default_task_eligible,binding,0,2315134,0.0
tasks,default_task_eligible,herg,0,310,0.0
tasks,default_task_eligible,other,0,300593,0.0
tasks,description,binding,0,2315134,0.0
tasks,description,herg,0,310,0.0
tasks,description,other,0,300593,0.0
tasks,document_doi,binding,855709,2315134,0.3696153224824135
tasks,document_doi,herg,11,310,0.035483870967741936
tasks,document_doi,other,101327,300593,0.3370903514053887
tasks,document_id,binding,0,2315134,0.0
tasks,document_id,herg,0,310,0.0
tasks,document_id,other,0,300593,0.0
tasks,document_patent_id,binding,1588135,2315134,0.6859797316267654
tasks,document_patent_id,herg,310,310,1.0
tasks,document_patent_id,other,285417,300593,0.9495131290482479
tasks,document_pubmed_id,binding,903866,2315134,0.3904162782802205
tasks,document_pubmed_id,herg,13,310,0.041935483870967745
tasks,document_pubmed_id,other,126851,300593,0.4220025083751119
tasks,document_year,binding,133650,2315134,0.05772883988572584
tasks,document_year,herg,13,310,0.041935483870967745
tasks,document_year,other,92279,300593,0.3069898500630421
tasks,endpoint,binding,0,2315134,0.0
tasks,endpoint,herg,0,310,0.0
tasks,endpoint,other,0,300593,0.0
tasks,endpoint_family,binding,0,2315134,0.0
tasks,endpoint_family,herg,0,310,0.0
tasks,endpoint_family,other,0,300593,0.0
tasks,evidence_domain,binding,0,2315134,0.0
tasks,evidence_domain,herg,0,310,0.0
tasks,evidence_domain,other,0,300593,0.0
tasks,inclusion_status,binding,0,2315134,0.0
tasks,inclusion_status,herg,0,310,0.0
tasks,inclusion_status,other,0,300593,0.0
tasks,label_kind,binding,0,2315134,0.0
tasks,label_kind,herg,0,310,0.0
tasks,label_kind,other,0,300593,0.0
tasks,label_lineage_digest,binding,2247340,2315134,0.970717029770199
tasks,label_lineage_digest,herg,265,310,0.8548387096774194
tasks,label_lineage_digest,other,300593,300593,1.0
tasks,label_lower_bound,binding,116054,2315134,0.050128415892989345
tasks,label_lower_bound,herg,120,310,0.3870967741935484
tasks,label_lower_bound,other,3250,300593,0.010811961689061289
tasks,label_relation,binding,0,2315134,0.0
tasks,label_relation,herg,0,310,0.0
tasks,label_relation,other,0,300593,0.0
tasks,label_text,binding,2315134,2315134,1.0
tasks,label_text,herg,190,310,0.6129032258064516
tasks,label_text,other,300593,300593,1.0
tasks,label_unit,binding,0,2315134,0.0
tasks,label_unit,herg,0,310,0.0
tasks,label_unit,other,0,300593,0.0
tasks,label_upper_bound,binding,402783,2315134,0.17397826648479095
tasks,label_upper_bound,herg,128,310,0.4129032258064516
tasks,label_upper_bound,other,75016,300593,0.24956003632819126
tasks,label_value,binding,524982,2315134,0.22676095638524596
tasks,label_value,herg,8,310,0.025806451612903226
tasks,label_value,other,78737,300593,0.26193890077280574
tasks,matrix,binding,2315134,2315134,1.0
tasks,matrix,herg,310,310,1.0
tasks,matrix,other,300593,300593,1.0
tasks,molecule_id,binding,0,2315134,0.0
tasks,molecule_id,herg,0,310,0.0
