evidence_domain,endpoint,canonical_unit,sampled_numeric_rows,min,p01,median,p99,max,sampling_note
herg,pKi,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
herg,pXC50,M,2,4.5,4.507,4.85,5.1930000000000005,5.2,exact when group <=200000; deterministic first-200000 otherwise
herg,standard_binding_free_energy,kcal/mol,45,-12.764641738417216,-12.632660552254746,-9.54972909123967,-6.967859074394738,-6.89181272017247,exact when group <=200000; deterministic first-200000 otherwise
other,APD30,%,3,0.72,0.7918,4.31,9.3962,9.5,exact when group <=200000; deterministic first-200000 otherwise
other,APD60,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,APD70,ms,9,-37.0,-35.32,244.0,357.32,363.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD75,%,63,0.0,0.0,11.0,43.0,43.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD75,ms,6,313.0,314.35,400.0,526.8,529.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,%,280,-53.0,-43.0,14.0,78.0,84.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,ms,17,-24.0,-22.88,5.0,415.92,426.0,exact when group <=200000; deterministic first-200000 otherwise
other,APD95,uM,1,23.0,23.0,23.0,23.0,23.0,exact when group <=200000; deterministic first-200000 otherwise
other,APDc,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Absorption,%,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,%,52,-5.4,-4.686,21.65,95.937,96.6,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,ms,41,107.7,121.02000000000001,180.9,259.7200000000001,275.0,exact when group <=200000; deterministic first-200000 otherwise
other,Activity,uM,19,0.26,0.2672,6.2,65.47200000000001,69.0,exact when group <=200000; deterministic first-200000 otherwise
other,C,ng/mL,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,C ss,ng/mL,3,0.4,0.40800000000000003,0.8,1.094,1.1,exact when group <=200000; deterministic first-200000 otherwise
other,C(24h),mcg/ml,1,0.03,0.03,0.03,0.03,0.03,exact when group <=200000; deterministic first-200000 otherwise
other,C10APD90,uM,5,0.13,0.13240000000000002,1.0,15.708400000000001,16.3,exact when group <=200000; deterministic first-200000 otherwise
other,C20,uM,51,0.01,0.030000000000000002,1.4,32.85,42.0,exact when group <=200000; deterministic first-200000 otherwise
other,C20 APD95,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,C20 APD95,uM,33,0.02,0.0776,2.0,38.727999999999994,46.6,exact when group <=200000; deterministic first-200000 otherwise
other,CL(app),l/hr,2,4.5,4.705,14.75,24.794999999999998,25.0,exact when group <=200000; deterministic first-200000 otherwise
other,CL/F,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,CL/F,l/hr,13,2.85,2.8548,11.4,62.14799999999997,66.9,exact when group <=200000; deterministic first-200000 otherwise
other,CL/F,ml/min,24,33.0,36.565,148.5,323.13999999999993,365.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cavg,ng/dl,2,365.0,367.47,488.5,609.53,612.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cavg,pg/ml,8,9.8,10.584000000000001,45.5,102.94999999999999,104.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin,ng/dl,2,223.0,224.71,308.5,392.29,394.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin ss,nM,3,0.5,0.53,2.0,6.9,7.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin ss,ng/mL,2,25.7,25.747,28.049999999999997,30.352999999999998,30.4,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin(80hr),pg/ml,1,41.0,41.0,41.0,41.0,41.0,exact when group <=200000; deterministic first-200000 otherwise
other,Cmin(84hr),pg/ml,4,30.0,30.9,72.5,89.85,90.0,exact when group <=200000; deterministic first-200000 otherwise
other,Compound Recovery,%,2,60.0,60.245,72.25,84.255,84.5,exact when group <=200000; deterministic first-200000 otherwise
other,Creatinine_CL,ml/min,4,12.7,13.113999999999999,37.9,86.93599999999998,88.1,exact when group <=200000; deterministic first-200000 otherwise
other,Css,mcg/ml,3,8.939,10.12022,68.0,68.0,68.0,exact when group <=200000; deterministic first-200000 otherwise
other,Css min,mcg/ml,1,57.4,57.4,57.4,57.4,57.4,exact when group <=200000; deterministic first-200000 otherwise
other,Css min,ng/mL,1,352.32,352.32,352.32,352.32,352.32,exact when group <=200000; deterministic first-200000 otherwise
other,Css-12w,pg/ml,2,0.4,0.47600000000000003,4.2,7.9239999999999995,8.0,exact when group <=200000; deterministic first-200000 otherwise
other,Css-48h,pg/ml,2,3.6,3.676,7.3999999999999995,11.123999999999999,11.2,exact when group <=200000; deterministic first-200000 otherwise
other,Css-4w,pg/ml,2,2.0,2.075,5.75,9.425,9.5,exact when group <=200000; deterministic first-200000 otherwise
other,D10,mgkg-1,142,5.5,5.5,5.5,5.5,5.5,exact when group <=200000; deterministic first-200000 otherwise
other,Delta APD95,%,19,1.0,1.54,31.0,73.2,75.0,exact when group <=200000; deterministic first-200000 otherwise
other,E2:E1,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,EC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,EC50,nM,125808,1.4e-07,0.03720249999999996,776.25,380000.0,870963589956083.2,exact when group <=200000; deterministic first-200000 otherwise
other,Excretion,%,39,1.0,1.38,40.0,90.62,91.0,exact when group <=200000; deterministic first-200000 otherwise
other,FC,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,IC50,nM,198336,2.037e-11,0.6,7200.0,268877.49999999796,66000000000.0,exact when group <=200000; deterministic first-200000 otherwise
other,Inhibition,%,4,50.0,50.0,57.5,81.49,82.0,exact when group <=200000; deterministic first-200000 otherwise
other,MAPD90,ms,20,48.0,48.76,90.0,171.34999999999997,178.0,exact when group <=200000; deterministic first-200000 otherwise
other,Protein bound,%,1,99.0,99.0,99.0,99.0,99.0,exact when group <=200000; deterministic first-200000 otherwise
other,Ratio AUC,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Ratio AUC(inf),,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Ratio Cmax,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Ratio EC50,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Recovery,%,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,TIME,h,74,1.111e-06,2.32791e-06,1.7959999999999997e-05,4.4400299999999996e-05,4.578e-05,exact when group <=200000; deterministic first-200000 otherwise
other,Total CL,l/hr,2,7.0,7.45,29.5,51.55,52.0,exact when group <=200000; deterministic first-200000 otherwise
other,Vd app,l,1,197.0,197.0,197.0,197.0,197.0,exact when group <=200000; deterministic first-200000 otherwise
other,Vd(app),l,1,49.0,49.0,49.0,49.0,49.0,exact when group <=200000; deterministic first-200000 otherwise
other,Vd/F,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Vd/F,l,18,19.8,20.14,86.0,111.83,112.0,exact when group <=200000; deterministic first-200000 otherwise
other,Vss,l,7,17.0,17.18,105.0,392.2399999999999,404.0,exact when group <=200000; deterministic first-200000 otherwise
other,Vss,l/m2,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
other,Vss/F,l,1,70.0,70.0,70.0,70.0,70.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,%,,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,% bound,none,10,35.6,36.689,59.8,95.63600000000001,97.4,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,% remaining,%,19,0.0,0.0,1.05,110.9494,112.33,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,% turnover,%,24,3.5,4.558,43.8,98.908,99.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,%R,%,2,97.0,97.17,105.5,113.83,114.0,exact when group <=200000; deterministic first-200000 otherwise
pk_adme,-log(RatioIC50),,0,,,,,,exact when group <=200000; deterministic first-200000 otherwise
