structure_id,standard_inchi_key,smiles,compound_ids,endpoint,assay_family,p_activity_median,value_nm_median,n_measurements,sources,activity_range_log10
STR-4A902F7AC5A334C3F331,REIRIUGWHFIUEL-BVPJJHLOSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,CHEMBL5076146,IC50,biochemical_binding,8.769551078621726,1.7,1,ChEMBL,0.0
STR-4A902F7AC5A334C3F331,REIRIUGWHFIUEL-BVPJJHLOSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN(C)C)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,50582737,IC50,biochemical_inhibition,8.769551078621726,1.7,1,BindingDB,0.0
STR-5A6612853CA9F9DCEA91,KJANBCLSZKUJAW-UHFFFAOYSA-N,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,CHEMBL4449199,Ki,biochemical_binding,8.769551078621726,1.7,1,BindingDB;ChEMBL,0.0
STR-5A6612853CA9F9DCEA91,KJANBCLSZKUJAW-UHFFFAOYSA-N,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,132104737,Ki,cellular_functional,8.769551078621726,1.7,1,PubChem,0.0
STR-BD5E8CD3F04E20EF2036,VTXKKSADZLUBMC-RXLAIJPWSA-N,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CHEMBL4457657,IC50,biochemical_binding,8.734260541478871,1.85,2,ChEMBL;PubChem,0.0705810742857071
STR-BD5E8CD3F04E20EF2036,VTXKKSADZLUBMC-RXLAIJPWSA-N,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,50511899,IC50,biochemical_inhibition,8.734260541478871,1.85,2,BindingDB,0.0705810742857071
STR-BD5E8CD3F04E20EF2036,VTXKKSADZLUBMC-RXLAIJPWSA-N,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,153315442,IC50,in_vivo,8.698970004336019,2.0,3,PubChem,0.8109437637799513
STR-E4F36A98E00A8B27E8BD,UDCCIJLZCSLTOS-ANCAAGCLSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](Cn1ccnn1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,50511900,IC50,biochemical_inhibition,8.698970004336019,2.0,2,BindingDB,0.0
STR-0AF48A7398AE4A10DB6D,OWQDQPAHRNQUBK-DIHFWZERSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,CHEMBL5864844,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
STR-0AF48A7398AE4A10DB6D,OWQDQPAHRNQUBK-DIHFWZERSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,506354,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-1336D74CEEF07820B1AB,TYMDSYUCUHFHCP-IJGIHWNJSA-N,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,CHEMBL5817522,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
STR-1336D74CEEF07820B1AB,TYMDSYUCUHFHCP-IJGIHWNJSA-N,CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,506364,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-22ABADFB64D91C6FE7F1,LOWYBCWMGXXERT-XUTGVCKDSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,CHEMBL4450979,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL,0.0
STR-22ABADFB64D91C6FE7F1,LOWYBCWMGXXERT-XUTGVCKDSA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,50511910,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-33EC56FC5D9EE8140CC4,VDJTWLOLAUELBT-YFTHYISFSA-N,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,CHEMBL5794245,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL;PubChem,0.0
STR-33EC56FC5D9EE8140CC4,VDJTWLOLAUELBT-YFTHYISFSA-N,C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,506342,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
STR-37892E2865C156499B87,OVNRZDIJJMMESW-ICECFENASA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,CHEMBL4528467,IC50,biochemical_binding,8.698970004336019,2.0,1,ChEMBL,0.0
STR-37892E2865C156499B87,OVNRZDIJJMMESW-ICECFENASA-N,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,50511901,IC50,biochemical_inhibition,8.698970004336019,2.0,1,BindingDB,0.0
