structure_id,smiles,sources,endpoints,assay_families,document_year,observed_p_activity_median,predicted_p_activity_median,residual_observed_minus_predicted,absolute_error,prediction_interval_lower_0.90,prediction_interval_upper_0.90,max_training_tanimoto,nearest_training_smiles,inside_applicability_domain,_inside_domain
STR-E71EA49855240EBB6F7C,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.508638306165727,7.1453618898083775,-1.6367235836426506,1.6367235836426506,5.657900975604667,8.632822804012088,0.8358209133148193,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-6B0BEC7CA952AA3F373C,N#Cc1ccc(N2CCC(N3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)CC2)cc1,ChEMBL;PubChem,IC50,biochemical_binding,2019.0,6.180830262794661,4.568649312389672,1.6121809504049889,1.6121809504049889,3.0811883981859616,6.056110226593383,0.8461538553237915,N#Cc1ccc(-c2ccc(N3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)cc2)cc1,True,True
STR-B9B055BBCE39C09309A4,CN(C)C(=O)N[C@@H]1CCC[C@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.947306058075032,7.555531818458239,-1.608225760383207,1.608225760383207,6.068070904254529,9.04299273266195,0.773809552192688,CC(=O)N[C@H]1CCC[C@@H]1C(Cn1ccnc1)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-17FFA0BF8D560B02685C,COC(=O)Cc1nc(C2CCCCC2)cs1,PubChem,IC50,biochemical_binding,2023.0,2.721246399047171,4.291886950918994,-1.570640551871823,1.570640551871823,2.8044260367152836,5.779347865122705,0.4375,COc1ccc(-c2csc(CC(N)=O)n2)cc1,False,False
STR-CF723552A81BEA7EC32F,CNC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2(F)CN(c3ccc(S(=O)(=O)c4cnn(C)c4)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.443697499232712,6.975053701757722,-1.5313562025250098,1.5313562025250098,5.487592787554012,8.462514615961432,0.6785714030265808,CNC(=O)O[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccccc4)cc3)C2)CC1,True,True
STR-B1B50BB9C2198BA2F3F2,C=CS(=O)(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.97061622231479,7.47901699551581,-1.5084007732010196,1.5084007732010196,5.991556081312099,8.96647790971952,0.6707317233085632,COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-EABF9B602E7C57DDC695,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C(=O)O)cc3)C2)CC1,ChEMBL;PubChem,IC50,biochemical_binding,2021.0,5.187086643357144,6.675080612308751,-1.4879939689516064,1.4879939689516064,5.18761969810504,8.162541526512461,0.8208954930305481,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-74AB0C5D40C92C89D385,CO[C@@H]1CCC[C@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,ChEMBL,IC50,biochemical_binding,2019.0,4.718966632752273,6.202508276726419,-1.4835416439741458,1.4835416439741458,4.715047362522708,7.689969190930129,0.6901408433914185,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,True,True
STR-CCECBC8279B18ADB4096,CC1(C)CN=C(N2CCN(c3ncnc4sc(CCF)cc34)CC2)S1,ChEMBL,IC50,biochemical_binding,2015.0,6.585026652029182,5.136749967164134,1.448276684865048,1.448276684865048,3.649289052960423,6.624210881367844,0.7454545497894287,CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,True,True
STR-684B7A6ABD719561B71F,FC(F)c1nnc(N2CCN(c3ncnc4sc(CC(F)(F)F)cc34)CC2)s1,ChEMBL,IC50,biochemical_binding,2015.0,7.086186147616283,5.6391960234500615,1.4469901241662215,1.4469901241662215,4.151735109246351,7.126656937653772,0.4354838728904724,CCc1cc2c(N3CCN(c4ccccn4)CC3)ncnc2s1,False,False
