modeling_row,structure_id,smiles,p_activity_median,endpoints,assay_families,sources,document_year,structure_group_key,bemis_murcko_group,scaffold_grouping_method,requested_split_strategy,actual_split_strategy,split_sha256,dataset_sha256,split
71,STR-902D8ADA6CBEE2C12A53,CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,7.371611069949688,Ki,biochemical_binding,PubChem,2013.0,STR-902D8ADA6CBEE2C12A53,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
72,STR-904EC5EDA40AA8AB23C1,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,8.327902142064282,Ki,biochemical_binding,BindingDB;ChEMBL,2013.0,STR-904EC5EDA40AA8AB23C1,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
73,STR-90ABF7B952EBBE79876C,NC(N)=NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2Cl)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,7.522878745280337,Ki,biochemical_binding,PubChem,2013.0,STR-90ABF7B952EBBE79876C,O=C1CCCCCCCCCNC(=O)C2CCCN2C(=O)CNC(=O)C2(CCC2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)N1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
74,STR-93B1E6E77462AC33263F,CC(=O)O[C@@H]1CCC[C@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,5.958607314841775,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-93B1E6E77462AC33263F,c1ccc(C(C2CCCC2)C2CCN(CC3CN(c4ccccc4)C3)CC2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
75,STR-94E1D88307C1CEF006D5,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,7.621605900615941,Ki,biochemical_binding,BindingDB;ChEMBL,2013.0,STR-94E1D88307C1CEF006D5,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
76,STR-972288F8D4D50B5E44FE,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,8.337242168318426,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-972288F8D4D50B5E44FE,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
77,STR-9C21B526ECF8556A69F3,C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC1=O,5.735182176990463,Ki,biochemical_binding,PubChem,2013.0,STR-9C21B526ECF8556A69F3,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CCCCCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,test
78,STR-9C6F5F9AE1FD0341471B,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.346787486224656,Ki,biochemical_binding,BindingDB;ChEMBL,2019.0,STR-9C6F5F9AE1FD0341471B,c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
79,STR-9D93FFBCABFD3A54A569,CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,4.5934598195660445,Ki,biochemical_binding,PubChem,2013.0,STR-9D93FFBCABFD3A54A569,O=C(CCc1c[nH]c2ccccc12)NCC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
80,STR-9E9C8374C40CC4C64C60,CCCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC,5.66354026615147,Ki,biochemical_binding,BindingDB;ChEMBL,2013.0,STR-9E9C8374C40CC4C64C60,O=C(CCc1c[nH]c2ccccc12)NCC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)N1CCCC1,bemis_murcko,scaffold,scaffold,49c653f1152474d5f1a6f7fe27c953c1d0f1f47382663d12aa3a38cd0523e711,728a37384487650eb89322beb7443906a8dcb7cff78ae7113b2e8ec5a60a51d2,train
