smiles,n_measurements,n_sources,p_activity_median,p_activity_best,value_nm_median,value_nm_best,endpoints,sources,compound_ids,target_names,document_years,potency_class,active_100nM,active_1uM,predicted_herg_blocker_probability,predicted_herg_risk
C=CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5OC(=O)NC)CC4)C3)cc2)cc1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5794245,Menin,2021,high_potency_<=100nM,True,True,0.5780555940467074,medium
C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(CN4CCC([C@@](C#N)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5884894,Menin,2021,high_potency_<=100nM,True,True,0.5568001315365558,medium
C=CC(=O)Nc1cccc(S(=O)(=O)c2ccc(N3CC(F)(CN4CCC([C@@](Cn5ccnc5CC)(c5cccc(F)c5)[C@H]5CCC[C@@H]5NC(=O)OC)CC4)C3)cc2)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5983807,Menin,2021,high_potency_<=100nM,True,True,0.7072005841227361,high
CCc1nccn1C[C@@](c1cccc(F)c1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1)[C@H]1CCC[C@@H]1NC(=O)OC,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5817522,Menin,2021,high_potency_<=100nM,True,True,0.7293664015541003,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2(F)CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)C=C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506346,Menin,,high_potency_<=100nM,True,True,0.7516921085341293,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2(F)CN(C2)c2ccc(cc2)S(=O)(=O)c2cccc(NC(=O)C=C)c2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506341,Menin,,high_potency_<=100nM,True,True,0.8050881797210997,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)C=C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506340,Menin,,high_potency_<=100nM,True,True,0.7818707396872572,high
CCc1nccn1C[C@]([C@H]1CCC[C@@H]1NC(=O)OC)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCCCC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506364,Menin,,high_potency_<=100nM,True,True,0.8318347025271013,high
CNC(=O)O[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(NC(=O)C=C)cc2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506342,Menin,,high_potency_<=100nM,True,True,0.7543281603049545,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cccc(NC(=O)C=C)c2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506337,Menin,,high_potency_<=100nM,True,True,0.8352440610648765,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2cccc(NC(=O)\C=C\CN(C)C)c2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,506354,Menin,,high_potency_<=100nM,True,True,0.8518939690892671,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)C=C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511902,Menin,,high_potency_<=100nM,True,True,0.8319109144928449,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CC(F)C2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511898,Menin,,high_potency_<=100nM,True,True,0.8699421187448525,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCC(F)(F)CC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511910,Menin,,high_potency_<=100nM,True,True,0.8844881522153343,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511903,Menin,,high_potency_<=100nM,True,True,0.8472289282223131,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCCC2)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511908,Menin,,high_potency_<=100nM,True,True,0.8569498513832906,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511901,Menin,,high_potency_<=100nM,True,True,0.8560136175035276,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCCCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)CC1)c1cccc(F)c1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,BindingDB,50511912,Menin,,high_potency_<=100nM,True,True,0.8647945676851593,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4cccc(NC(=O)/C=C/CN(C)C)c4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL5864844,Menin,2021,high_potency_<=100nM,True,True,0.8269247098687273,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CC(F)C5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4456868,Menin,2020,high_potency_<=100nM,True,True,0.7710969283050964,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC(F)(F)CC5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4450979,Menin,2020,high_potency_<=100nM,True,True,0.8279344220089258,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCC5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4588924,Menin,2020,high_potency_<=100nM,True,True,0.7749090676051381,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCC5)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4456003,Menin,2020,high_potency_<=100nM,True,True,0.7891756246085907,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4528467,Menin,2020,high_potency_<=100nM,True,True,0.7856548912340676,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCCCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN(C)C)C4)cc3)C2)CC1,1,1,8.698970004336019,8.698970004336019,2.0,2.0,IC50,ChEMBL,CHEMBL4571451,Menin,2020,high_potency_<=100nM,True,True,0.798989076477249,high
C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H]3C/C=C\C[C@H](NC(=O)C4(CCC4)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](NC3=O)CC6=CC(=CC=C6)F)C(=O)N7CCC[C@H]7C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)C,1,1,8.628932137728263,8.628932137728263,2.35,2.35,IC50,PubChem,162670123.0,,,high_potency_<=100nM,True,True,0.7472551586744289,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CC(C7)F)C8=CC(=CC=C8)F,4,1,8.610924374808178,9.0,2.5,1.0,IC50,PubChem,155525699.0,,,high_potency_<=100nM,True,True,0.8688600908630789,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN2CCC2)(C3CCN(CC3)CC4CN(C4)C5=CC=C(C=C5)S(=O)(=O)C6CN(C6)C(=O)/C=C/CN7CCC7)C8=CC(=CC=C8)F,4,1,8.610924374808178,8.698970004336019,2.5,2.0,IC50,PubChem,155567300.0,,,high_potency_<=100nM,True,True,0.8436260111486649,high
CC(C)N(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(C(=O)C6)C(C)(C)O,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,PubChem,176456329.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True,0.6031745452137706,medium
CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CC4(C3)CCN(CC4)CC5CCC6(CC5)CC(=O)C7(C6)CCOCC7,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,PubChem,176456307.0,Histone-lysine N-methyltransferase 2A,,high_potency_<=100nM,True,True,0.7154706743284821,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2(CN(C2)c2ccc(cc2)S(=O)(=O)C2CC2)OC)CC1)c1cccc(F)c1,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,BindingDB,50582744,Menin,,high_potency_<=100nM,True,True,0.8275367311874008,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2(OC)CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,1,1,8.602059991327963,8.602059991327963,2.5,2.5,IC50,ChEMBL,CHEMBL5085940,Menin,2021,high_potency_<=100nM,True,True,0.8101072238251373,high
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN2CCCCC2)CC1)c1cccc(F)c1,1,1,8.585026652029182,8.585026652029182,2.6,2.6,IC50,BindingDB,50511904,Menin,,high_potency_<=100nM,True,True,0.8658519886693653,high
COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CN(C(=O)/C=C/CN5CCCCC5)C4)cc3)C2)CC1,1,1,8.585026652029182,8.585026652029182,2.6,2.6,IC50,ChEMBL,CHEMBL4438797,Menin,2020,high_potency_<=100nM,True,True,0.8024138468892402,high
CN(C)C/C=C/C(=O)N1CC(C1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)(CN4CCC(CC4)[C@](CN5CCC5)([C@H]6CCC[C@@H]6NC(=O)OC)C7=CC(=CC=C7)F)OC,3,1,8.568636235841012,8.638272163982407,2.7,2.3,IC50,PubChem,166628336.0,,,high_potency_<=100nM,True,True,0.6215749078465996,medium
C=CC(=O)N1C[C@@H]2C[C@H]1CN2S(=O)(=O)c1ccc(N2CC(CN3CCC([C@@](CN4CCC4)(c4cccc(F)c4)[C@H]4CCC[C@@H]4NC(=O)OC)CC3)(OC)C2)cc1,1,1,8.568636235841012,8.568636235841012,2.7,2.7,IC50,ChEMBL,CHEMBL5094183,Menin,2021,high_potency_<=100nM,True,True,0.6112810057716654,medium
COC(=O)N[C@H]1CCC[C@@H]1[C@@](CN1CCC1)(C1CCN(CC2(CN(C2)c2ccc(cc2)S(=O)(=O)C2CN(C2)C(=O)\C=C\CN(C)C)OC)CC1)c1cccc(F)c1,1,1,8.568636235841012,8.568636235841012,2.7,2.7,IC50,BindingDB,50582746,Menin,,high_potency_<=100nM,True,True,0.8184514740154156,high
