dataset,field,rows,missing_rows,present_rows,missing_fraction
task_exclusions/default,protein_id,54,0,54,0
task_exclusions/default,required_modalities,54,0,54,0
task_exclusions/default,snapshot_id,54,0,54,0
task_exclusions/default,source_id,54,0,54,0
task_exclusions/default,source_record_id,54,0,54,0
task_exclusions/default,task_id,54,0,54,0
task_exclusions/default,task_scope,54,0,54,0
task_exclusions/default,task_type,54,0,54,0
task_exclusions/derived_sensitivity,assay_id,9,0,9,0
task_exclusions/derived_sensitivity,canonical_target_id,9,0,9,0
task_exclusions/derived_sensitivity,missing_protein_sequence,9,0,9,0
task_exclusions/derived_sensitivity,missing_standard_inchi_key,9,0,9,0
task_exclusions/derived_sensitivity,missing_standardized_smiles,9,0,9,0
task_exclusions/derived_sensitivity,model_readiness_exclusion_reason,9,0,9,0
task_exclusions/derived_sensitivity,molecule_id,9,0,9,0
task_exclusions/derived_sensitivity,observation_id,9,0,9,0
task_exclusions/derived_sensitivity,protein_id,9,0,9,0
task_exclusions/derived_sensitivity,required_modalities,9,0,9,0
task_exclusions/derived_sensitivity,snapshot_id,9,0,9,0
task_exclusions/derived_sensitivity,source_id,9,0,9,0
task_exclusions/derived_sensitivity,source_record_id,9,0,9,0
task_exclusions/derived_sensitivity,task_id,9,0,9,0
task_exclusions/derived_sensitivity,task_scope,9,0,9,0
task_exclusions/derived_sensitivity,task_type,9,0,9,0
tasks/default,access_class,2548198,0,2548198,0
tasks/default,activity_origin_id,2548198,0,2548198,0
tasks/default,activity_origin_name,2548198,0,2548198,0
tasks/default,assay_family,2548198,0,2548198,0
tasks/default,assay_id,2548198,0,2548198,0
tasks/default,canonical_smiles,2548198,0,2548198,0
tasks/default,canonical_target_id,2548198,0,2548198,0
tasks/default,default_task_eligible,2548198,0,2548198,0
tasks/default,description,2548198,0,2548198,0
tasks/default,document_doi,2548198,947353,1600845,0.37177370047382502
tasks/default,document_id,2548198,0,2548198,0
tasks/default,document_patent_id,2548198,1815704,732494,0.71254431563010412
tasks/default,document_pubmed_id,2548198,1018749,1529449,0.39979193139622587
tasks/default,document_year,2548198,225523,2322675,0.088502934230385549
tasks/default,endpoint,2548198,0,2548198,0
tasks/default,endpoint_family,2548198,0,2548198,0
tasks/default,evidence_domain,2548198,0,2548198,0
tasks/default,inclusion_status,2548198,0,2548198,0
tasks/default,label_kind,2548198,0,2548198,0
tasks/default,label_lineage_digest,2548198,2548198,0,1
tasks/default,label_lower_bound,2548198,119424,2428774,0.046866059858770785
tasks/default,label_relation,2548198,0,2548198,0
tasks/default,label_text,2548198,2548078,120,0.99995290789805191
tasks/default,label_unit,2548198,0,2548198,0
tasks/default,label_upper_bound,2548198,477927,2070271,0.18755489173133327
tasks/default,label_value,2548198,603727,1944471,0.23692311194028093
tasks/default,matrix,2548198,2548198,0,1
tasks/default,molecule_id,2548198,0,2548198,0
tasks/default,observation_id,2548198,0,2548198,0
tasks/default,observation_kind,2548198,0,2548198,0
tasks/default,protein_id,2548198,0,2548198,0
tasks/default,quality_grade,2548198,0,2548198,0
tasks/default,required_modalities,2548198,0,2548198,0
tasks/default,route,2548198,2548198,0,1
tasks/default,sensitivity_task_eligible,2548198,0,2548198,0
tasks/default,sequence,2548198,0,2548198,0
tasks/default,snapshot_id,2548198,0,2548198,0
tasks/default,source_id,2548198,0,2548198,0
tasks/default,source_record_id,2548198,0,2548198,0
tasks/default,species,2548198,0,2548198,0
tasks/default,standard_inchi_key,2548198,0,2548198,0
tasks/default,standardized_smiles,2548198,0,2548198,0
tasks/default,structure_id,2548198,0,2548198,0
tasks/default,target_name,2548198,0,2548198,0
tasks/default,task_id,2548198,0,2548198,0
tasks/default,task_type,2548198,0,2548198,0
tasks/default,threshold_high_nM,2548198,2548078,120,0.99995290789805191
tasks/default,threshold_low_nM,2548198,2548078,120,0.99995290789805191
tasks/default,threshold_policy,2548198,2548078,120,0.99995290789805191
tasks/default,threshold_source_value_nM,2548198,2548078,120,0.99995290789805191
tasks/default,value_provenance,2548198,0,2548198,0
tasks/derived_sensitivity,access_class,67839,0,67839,0
tasks/derived_sensitivity,activity_origin_id,67839,0,67839,0
tasks/derived_sensitivity,activity_origin_name,67839,0,67839,0
tasks/derived_sensitivity,assay_family,67839,0,67839,0
tasks/derived_sensitivity,assay_id,67839,0,67839,0
tasks/derived_sensitivity,canonical_smiles,67839,0,67839,0
tasks/derived_sensitivity,canonical_target_id,67839,0,67839,0
tasks/derived_sensitivity,default_task_eligible,67839,0,67839,0
tasks/derived_sensitivity,description,67839,0,67839,0
tasks/derived_sensitivity,document_doi,67839,9694,58145,0.14289715355473989
tasks/derived_sensitivity,document_id,67839,0,67839,0
tasks/derived_sensitivity,document_patent_id,67839,58158,9681,0.85729447662848801
tasks/derived_sensitivity,document_pubmed_id,67839,11981,55858,0.17660932501953153
tasks/derived_sensitivity,document_year,67839,419,67420,0.0061763882132696533
tasks/derived_sensitivity,endpoint,67839,0,67839,0
tasks/derived_sensitivity,endpoint_family,67839,0,67839,0
tasks/derived_sensitivity,evidence_domain,67839,0,67839,0
tasks/derived_sensitivity,inclusion_status,67839,0,67839,0
tasks/derived_sensitivity,label_kind,67839,0,67839,0
tasks/derived_sensitivity,label_lineage_digest,67839,0,67839,0
tasks/derived_sensitivity,label_lower_bound,67839,0,67839,0
tasks/derived_sensitivity,label_relation,67839,0,67839,0
tasks/derived_sensitivity,label_text,67839,67839,0,1
tasks/derived_sensitivity,label_unit,67839,0,67839,0
tasks/derived_sensitivity,label_upper_bound,67839,0,67839,0
tasks/derived_sensitivity,label_value,67839,0,67839,0
tasks/derived_sensitivity,matrix,67839,67839,0,1
tasks/derived_sensitivity,molecule_id,67839,0,67839,0
tasks/derived_sensitivity,observation_id,67839,0,67839,0
tasks/derived_sensitivity,observation_kind,67839,0,67839,0
tasks/derived_sensitivity,protein_id,67839,0,67839,0
tasks/derived_sensitivity,quality_grade,67839,0,67839,0
tasks/derived_sensitivity,required_modalities,67839,0,67839,0
tasks/derived_sensitivity,route,67839,67839,0,1
tasks/derived_sensitivity,sensitivity_task_eligible,67839,0,67839,0
tasks/derived_sensitivity,sequence,67839,0,67839,0
tasks/derived_sensitivity,snapshot_id,67839,0,67839,0
tasks/derived_sensitivity,source_id,67839,0,67839,0
tasks/derived_sensitivity,source_record_id,67839,0,67839,0
tasks/derived_sensitivity,species,67839,0,67839,0
tasks/derived_sensitivity,standard_inchi_key,67839,0,67839,0
tasks/derived_sensitivity,standardized_smiles,67839,0,67839,0
tasks/derived_sensitivity,structure_id,67839,0,67839,0
tasks/derived_sensitivity,target_name,67839,0,67839,0
tasks/derived_sensitivity,task_id,67839,0,67839,0
tasks/derived_sensitivity,task_type,67839,0,67839,0
tasks/derived_sensitivity,threshold_high_nM,67839,67839,0,1
tasks/derived_sensitivity,threshold_low_nM,67839,67839,0,1
tasks/derived_sensitivity,threshold_policy,67839,67839,0,1
tasks/derived_sensitivity,threshold_source_value_nM,67839,67839,0,1
tasks/derived_sensitivity,value_provenance,67839,0,67839,0
