dataset,dimension,value,rows
observations,endpoint,Prolonged QT,1
observations,endpoint,Propioaldehyde generated,9
observations,endpoint,Protein bound,1
observations,endpoint,Pt,9
observations,endpoint,QH,299
observations,endpoint,QT,18
observations,endpoint,QT interval,21
observations,endpoint,QTc Interval,3
observations,endpoint,QTc delta,12
observations,endpoint,QTc interval,20
observations,endpoint,Quantity,3
observations,endpoint,R,8
observations,endpoint,R%,240
observations,endpoint,RBA,6
observations,endpoint,RHA,37
observations,endpoint,RPF,40
observations,endpoint,Rate,39
observations,endpoint,Rate of formation,26
observations,endpoint,Rate of hydrolysis,27
observations,endpoint,Rate of metabolism,1
observations,endpoint,Rate of oxidation,18
observations,endpoint,Ratio,13353
observations,endpoint,Ratio AUC,25
observations,endpoint,Ratio AUC(inf),2
observations,endpoint,Ratio CC50/EC50,24
observations,endpoint,Ratio CC50/IC50,16
observations,endpoint,Ratio Cmax,18
observations,endpoint,Ratio EC50,28
observations,endpoint,Ratio IC50,1887
observations,endpoint,Ratio Ki,54
observations,endpoint,Ratio LC50/IC50,1
observations,endpoint,Ratio LD50/IC50,1
observations,endpoint,Ratio_Papp,66
observations,endpoint,Recovered,89
observations,endpoint,Recovery,29
observations,endpoint,Recovery A to B (mean),274
observations,endpoint,Recovery A to B plus inhibitor (mean),30
observations,endpoint,Recovery B to A (mean),94
observations,endpoint,Recovery B to A plus inhibitor (mean),30
observations,endpoint,Relative Bioavailability,16
observations,endpoint,Relative F%,45
observations,endpoint,Relative Potency,11
observations,endpoint,Relative activity,6
observations,endpoint,Relative bioavailability,13
observations,endpoint,Relative metabolic rate,8
observations,endpoint,Relative oncentration,1
observations,endpoint,Relative permiability,6
observations,endpoint,Relative peroxidation,1
observations,endpoint,Relative potency,90
observations,endpoint,Relative protection,19
observations,endpoint,Relative rate metabolism,11
observations,endpoint,Relative rate of hydrolysis,41
observations,endpoint,Remaining,538
observations,endpoint,Remaining (without cofactor),427
observations,endpoint,Remaining compound,15
observations,endpoint,Remaining rate,18
observations,endpoint,Remaining ratio,16
observations,endpoint,Retention_index,1
observations,endpoint,Retention_time,495
observations,endpoint,Rmax,3
observations,endpoint,S50,4
observations,endpoint,SUV,1
observations,endpoint,SUVmax,3
observations,endpoint,Selectivity,9
observations,endpoint,Selectivity Index,241
observations,endpoint,Selectivity ratio,25
observations,endpoint,Solubility,62193
observations,endpoint,Stability,35344
observations,endpoint,Stabilty,183
observations,endpoint,Stimulation,1
observations,endpoint,Substrate metabolized at 1hr,4
observations,endpoint,Survival,55
observations,endpoint,T,1
observations,endpoint,T1/2,98991
observations,endpoint,T1/29,11
observations,endpoint,T50,12
observations,endpoint,TC50,39
observations,endpoint,TDI,736
observations,endpoint,TI,6
observations,endpoint,TIME,360
observations,endpoint,Time,1
observations,endpoint,Tlag,11
observations,endpoint,Tmax,15142
observations,endpoint,Total CL,2
observations,endpoint,Turnover,4
observations,endpoint,Unchanged,3
observations,endpoint,V0,10
observations,endpoint,V1/2,2
observations,endpoint,Vc/F,21
observations,endpoint,Vd,5351
observations,endpoint,Vd app,1
observations,endpoint,Vd(app),1
observations,endpoint,Vd/F,69
observations,endpoint,Vdss,16644
observations,endpoint,Vdss/F,6
observations,endpoint,Viability,4
observations,endpoint,Vmax,398
observations,endpoint,Vmax(app),15
observations,endpoint,Vmax/Km,61
observations,endpoint,VmaxH,10
observations,endpoint,VmaxL,10
observations,endpoint,Vp/F,4
observations,endpoint,Vss,8
observations,endpoint,Vss/F,9
observations,endpoint,Weight,6
observations,endpoint,XC50,4
observations,endpoint,[A],11
observations,endpoint,[EA],11
observations,endpoint,[GSH],18
observations,endpoint,delta pIC50 wt-mutant,200
observations,endpoint,deltaA,14
observations,endpoint,effect,1
observations,endpoint,fEC50,5
observations,endpoint,fLOAEL,2
observations,endpoint,fNOAEL,2
observations,endpoint,k_off,16337
observations,endpoint,kin,44
observations,endpoint,kinact,1
observations,endpoint,kon,16337
observations,endpoint,log K,2
observations,endpoint,log Kp,200
observations,endpoint,log Pe,1201
observations,endpoint,log(activity),1
observations,endpoint,log(permeability),163
observations,endpoint,log(ratio),31
observations,endpoint,logBB,15
observations,endpoint,logCL,50
observations,endpoint,logD,7
observations,endpoint,logP,2
observations,endpoint,logPapp,950
observations,endpoint,logPeff,185
observations,endpoint,logPm,48
observations,endpoint,max activation,8
observations,endpoint,pBBB,22
observations,endpoint,pCC50,5
observations,endpoint,pIC50,130
observations,endpoint,pKa,25
observations,endpoint,pKi,31
observations,endpoint,pXC50,2
observations,endpoint,permeability,17941
observations,endpoint,solubility,8506
observations,endpoint,standard_binding_free_energy,67848
observations,evidence_domain,binding,2706128
observations,evidence_domain,herg,40860
observations,evidence_domain,other,325961
observations,evidence_domain,pk_adme,864223
observations,evidence_domain,qt,1200
observations,evidence_stage,<missing>,3323508
observations,evidence_stage,preclinical_ex_vivo,541
observations,evidence_stage,preclinical_in_vitro,608853
observations,evidence_stage,preclinical_in_vivo,5470
observations,inclusion_status,included,2758395
observations,inclusion_status,quarantined,734448
observations,inclusion_status,review,445529
observations,observation_kind,derived,67848
observations,observation_kind,experimental_summary,3870524
observations,relation,<,177773
observations,relation,<=,7536
observations,relation,=,3016483
observations,relation,>,656326
observations,relation,>=,6320
observations,relation,interval,9586
observations,relation,not_reported,63522
observations,relation,~,826
observations,result_status,reported,3938372
observations,source,SRC-AF728821208AC735AEE2E0D1,3938372
observations,unit,%,128723
observations,unit,%.hr,2
observations,unit,%/hr,61
observations,unit,%/min/pmol,16
observations,unit,%id,9
observations,unit,%id/cc,4
observations,unit,%id/g,75
observations,unit,%id/g/hr,24
observations,unit,(mg/kg)/(ng/ml)/hr,3
observations,unit,(mg/kg)/(ug/ml),1
observations,unit,(mg/kg)/(ug/ml)/min,1
observations,unit,(ml/min)/kg,1
observations,unit,(umol/l).min,2
observations,unit,-60mv,92
observations,unit,/hr,33
observations,unit,/m/min,2
observations,unit,/min,259
observations,unit,/min/nm,4
observations,unit,/min/ul,2
observations,unit,/ml,1
observations,unit,/mm,4
observations,unit,/nm/min,25
observations,unit,/nmol,7
observations,unit,/s,2
observations,unit,/um/min,22
observations,unit,0-24hr,8
observations,unit,0-infinity,2
observations,unit,0-tidc,2
observations,unit,0-tldc,1
observations,unit,10'-1/min,4
observations,unit,10'-1mg/ml,1
observations,unit,10'-1mol/l,1
observations,unit,10'-2cm/s,11
observations,unit,10'-2g,1
observations,unit,10'-2no_unit,1
observations,unit,10'-3cm/min,14
observations,unit,10'-3cm/s,2
observations,unit,10'-3mol/dm3,28
observations,unit,10'-4/min,18
observations,unit,10'-4/nm/min,12
observations,unit,10'-4cm/min,6
observations,unit,10'-4cm/s,119
observations,unit,10'-4m,2
observations,unit,10'-4mg/ml,2
observations,unit,10'-5/nm/min,7
observations,unit,10'-5/s,4
observations,unit,10'-5cm/hr,3
observations,unit,10'-5cm/min,8
observations,unit,10'-5cm/s,261
observations,unit,10'-5m,2
observations,unit,10'-5no_unit,2
observations,unit,10'-6/cm,45
observations,unit,10'-6/s,2
observations,unit,10'-6cm,2
observations,unit,10'-6cm/min,22
observations,unit,10'-6cm/s,9673
observations,unit,10'-6cm/s2,8
observations,unit,10'-6cm2/s,2
observations,unit,10'-6m/s,2
observations,unit,10'-6nanometer/s,16
observations,unit,10'-6ul/min,9
observations,unit,10'-7/nm/min,1
observations,unit,10'-7/s,4
observations,unit,10'-7cm/s,320
observations,unit,10'-7cm2/sec,2
observations,unit,10'-7m,5
observations,unit,10'-7mol,1
observations,unit,10'-7nmol/cm2/min,8
observations,unit,10'-8cm/s,42
observations,unit,10'-8m,8
observations,unit,10'-8m/s,4
observations,unit,10'-8mol,1
observations,unit,10'-9cm/s,1
observations,unit,10'-9meter/s,30
observations,unit,10'2no_unit,4
observations,unit,10'3nm,3
observations,unit,10'3no_unit,22
observations,unit,10'3ug/ml,1
observations,unit,10'4nm,10
observations,unit,10'5nm,6
observations,unit,10'6cm/s,370
observations,unit,10-6cm/s,11
observations,unit,10-6cms-1,3
observations,unit,10^-10cm/s,6
observations,unit,10^-3cm/min,31
observations,unit,10^-3mg/ml,2
observations,unit,10^-3no_unit,1
observations,unit,10^-4(mg/kg)/(ng/ml),1
observations,unit,10^-4(mg/kg)/(ng/ml)/hr,1
observations,unit,10^-4cm/hr,2
observations,unit,10^-4l/hr/kg,1
observations,unit,10^-5cm/hr,1
observations,unit,10^-5cm/min,54
observations,unit,10^-5cm/s,91
observations,unit,10^-6/cm,4
observations,unit,10^-6cm/min,1
observations,unit,10^-6cm/s,9982
observations,unit,10^-6cm2/s,1
observations,unit,10^-6m/s,1
observations,unit,10^-6ml/hr/kg,1
observations,unit,10^-6nanometer/s,5
observations,unit,10^-6ul/min,36
observations,unit,10^-7cm/s,115
observations,unit,10^-8cm/s,57
observations,unit,10^-9cm/s,12
observations,unit,10^3ul/min,11
observations,unit,10^3ul/min/mg,15
observations,unit,10^4cm2/sec,2
observations,unit,10^4nm.min,4
observations,unit,10^4ul/min/mg,1
observations,unit,10^6cm/s,89
observations,unit,10^6m/s,3
observations,unit,10^6nm,1
observations,unit,10^6no_unit,8
observations,unit,10^7cm/s,50
observations,unit,10e-5*cm/min,6
observations,unit,10e-6*scm-1,4
observations,unit,10e-6cm/s,120
observations,unit,10e-6cms-1,34
observations,unit,10e4*cmmin-1,4
observations,unit,1e-6cm/s,308
observations,unit,<missing>,123417
observations,unit,L/kg,21268
observations,unit,M,38
observations,unit,M^-1*s^-1,16337
observations,unit,a.u,6
observations,unit,a.u.,10
observations,unit,abcm/s,4
observations,unit,au.min,22
observations,unit,c.p.m.,1
observations,unit,cm'-6/s,4
observations,unit,cm(10e3*hr)-1,3
observations,unit,cm/hr,2
observations,unit,cm/min,1
observations,unit,cm/s,342
observations,unit,cm/s*10e6,119
observations,unit,cm2,7
observations,unit,cm2/sec,9
observations,unit,cmhr-1,45
observations,unit,cmmin-1,8
observations,unit,cms-1,495
observations,unit,cpm,2
observations,unit,cps,30
observations,unit,day,1
observations,unit,day.ng/ml,2
observations,unit,dpm,9
observations,unit,fmol,4
observations,unit,fmol/mg,1
observations,unit,fmol/min,2
observations,unit,g,46
observations,unit,g.hr,12
observations,unit,g/hr,3
observations,unit,g/hr/kg,3
observations,unit,g/kg,3
observations,unit,g/ml/min,8
observations,unit,h,110431
observations,unit,h.fmol/millioncells,12
observations,unit,hr-1,112
observations,unit,hr.%id/ml,4
observations,unit,hr.fmol,17
observations,unit,hr.kg.ng/ml/mg,5
observations,unit,hr.kg/l,33
observations,unit,hr.mmol,2
observations,unit,hr.ng/g,179
observations,unit,hr.ng/l,4
observations,unit,hr.ng/ml,1
observations,unit,hr.nmol/g,5
observations,unit,hr.nmol/ml,11
