layer,evidence_domain,inclusion_status,reason,rows
source,pk_adme,quarantined,combination:missing_numeric_and_categorical_result,208
source,pk_adme,quarantined,combination:missing_or_invalid_structure,121
source,pk_adme,quarantined,combination:missing_or_invalid_structure;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted,9
source,pk_adme,quarantined,combination:missing_or_invalid_structure;missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,3
source,pk_adme,quarantined,combination:missing_or_invalid_structure;missing_or_unsupported_unit;pk_required_context_missing,175
source,pk_adme,quarantined,combination:missing_or_invalid_structure;pk_endpoint_unit_not_allowlisted,97
source,pk_adme,quarantined,combination:missing_or_invalid_structure;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,26
source,pk_adme,quarantined,combination:missing_or_invalid_structure;pk_endpoint_unit_not_allowlisted;unsupported_or_missing_relation,1
source,pk_adme,quarantined,combination:missing_or_invalid_structure;pk_required_context_missing,216
source,pk_adme,quarantined,combination:missing_or_unsupported_unit,55
source,pk_adme,quarantined,combination:missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted,4968
source,pk_adme,quarantined,combination:missing_or_unsupported_unit;pk_endpoint_unit_not_allowlisted;pk_required_context_missing,835
source,pk_adme,quarantined,combination:missing_or_unsupported_unit;pk_required_context_missing,50484
source,pk_adme,quarantined,combination:missing_or_unsupported_unit;pk_required_context_missing;unsupported_or_missing_relation,3
source,pk_adme,quarantined,combination:pk_endpoint_unit_not_allowlisted,90966
source,pk_adme,quarantined,combination:pk_endpoint_unit_not_allowlisted;pk_required_context_missing,40897
source,pk_adme,quarantined,combination:pk_endpoint_unit_not_allowlisted;pk_required_context_missing;unsupported_or_missing_relation,36
source,pk_adme,quarantined,combination:pk_endpoint_unit_not_allowlisted;unsupported_or_missing_relation,23
source,pk_adme,quarantined,combination:pk_required_context_missing,240718
source,pk_adme,quarantined,combination:pk_required_context_missing;unsupported_or_missing_relation,361
source,pk_adme,quarantined,combination:unsupported_or_missing_relation,29
source,pk_adme,quarantined,reason:approximate_relation,230
source,pk_adme,quarantined,reason:chembl_data_validity_comment,6502
source,pk_adme,quarantined,reason:chembl_nonstandard_activity,277700
source,pk_adme,quarantined,reason:chembl_potential_duplicate,3137
source,pk_adme,quarantined,reason:missing_numeric_and_categorical_result,616
source,pk_adme,quarantined,reason:missing_or_invalid_structure,61776
source,pk_adme,quarantined,reason:missing_or_unsupported_unit,79463
source,pk_adme,quarantined,reason:nonpositive_concentration,249
source,pk_adme,quarantined,reason:pk_endpoint_unit_not_allowlisted,369213
source,pk_adme,quarantined,reason:pk_required_context_missing,370463
source,pk_adme,quarantined,reason:unsupported_or_missing_relation,51337
source,pk_adme,review,<all>,30692
source,pk_adme,review,combination:approximate_relation,50
source,pk_adme,review,combination:chembl_data_validity_comment,775
source,pk_adme,review,combination:chembl_nonstandard_activity,29843
source,pk_adme,review,combination:chembl_potential_duplicate,24
source,pk_adme,review,reason:approximate_relation,50
source,pk_adme,review,reason:chembl_data_validity_comment,775
source,pk_adme,review,reason:chembl_nonstandard_activity,29843
source,pk_adme,review,reason:chembl_potential_duplicate,24
source,qt,quarantined,<all>,985
source,qt,quarantined,combination:chembl_data_validity_comment;qt_apd_context_or_unit_insufficient,10
source,qt,quarantined,combination:chembl_nonstandard_activity;missing_or_unsupported_unit;qt_apd_context_or_unit_insufficient,56
source,qt,quarantined,combination:chembl_nonstandard_activity;qt_apd_context_or_unit_insufficient,370
source,qt,quarantined,combination:chembl_nonstandard_activity;unsupported_or_missing_relation,206
source,qt,quarantined,combination:chembl_potential_duplicate;qt_apd_context_or_unit_insufficient,45
source,qt,quarantined,combination:qt_apd_context_or_unit_insufficient,298
source,qt,quarantined,reason:chembl_data_validity_comment,10
source,qt,quarantined,reason:chembl_nonstandard_activity,632
source,qt,quarantined,reason:chembl_potential_duplicate,45
source,qt,quarantined,reason:missing_or_unsupported_unit,56
source,qt,quarantined,reason:qt_apd_context_or_unit_insufficient,779
source,qt,quarantined,reason:unsupported_or_missing_relation,206
source,qt,review,<all>,215
source,qt,review,combination:chembl_nonstandard_activity,215
source,qt,review,reason:chembl_nonstandard_activity,215
