connectivity_key,connectivity_group_size,structure_id,standard_inchi_key,standardized_smiles,p_activity_median,series_id,sources,compound_ids
LPQSXRARPNKWLW,4,STR-5C1522C845914F088582,LPQSXRARPNKWLW-AZGAKELHSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@@H](CN(C)C)OC)C(C)C)C2)C(C)C,6.292429823902063,SER-F7B9115420359440,PubChem,156531803
LPQSXRARPNKWLW,4,STR-0C1D3CBEB06D4D0E10FA,LPQSXRARPNKWLW-AOYPEHQESA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@H](CN(C)C)OC)C(C)C)C2)C(C)C,5.815308569182401,SER-F7B9115420359440,PubChem,156531805
LPQSXRARPNKWLW,4,STR-B53DCF54F31F57F891A0,LPQSXRARPNKWLW-AHWVRZQESA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@@H](CN(C)C)OC)C(C)C)C2)C(C)C,4.812197361281581,SER-F7B9115420359440,PubChem,156531489
LPQSXRARPNKWLW,4,STR-28D764E3D7E6595F8FAA,LPQSXRARPNKWLW-RSXGOPAZSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](C[C@H](CN(C)C)OC)C(C)C)C2)C(C)C,4.564155634015559,SER-F7B9115420359440,PubChem,156531487
WZDYSMKHVNWSMO,4,STR-13DD6488A0AF0E3C9021,WZDYSMKHVNWSMO-XNMGPUDCSA-N,CCN(C)C[C@@H](C[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1)OC,5.995678626217357,SER-F7B9115420359440,PubChem,156531806
WZDYSMKHVNWSMO,4,STR-D863AF536402BD1BA1AF,WZDYSMKHVNWSMO-AHKZPQOWSA-N,CCN(C)C[C@H](C[C@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1)OC,5.701146923590294,SER-F7B9115420359440,PubChem,168720859
WZDYSMKHVNWSMO,4,STR-CB25E0AA22D6E282838A,WZDYSMKHVNWSMO-BDYUSTAISA-N,CCN(C)C[C@H](C[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1)OC,4.8474059220725305,SER-F7B9115420359440,PubChem,156531491
WZDYSMKHVNWSMO,4,STR-104DDD12D2A71EF11558,WZDYSMKHVNWSMO-VPUSJEBWSA-N,CCN(C)C[C@@H](C[C@@H](C(C)C)N1CC2(CCN(c3ncnnc3Oc3ccc(F)cc3C(=O)N(CC)C(C)C)C2)C1)OC,4.392009141452825,SER-F7B9115420359440,PubChem,156531620
XOMQNBYRAKVRPP,4,STR-F935C48B5CC4A6286518,XOMQNBYRAKVRPP-XNMGPUDCSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@@H](O)CN(C)CCOC)C(C)C)C2)C(C)C,7.275724130399211,SER-F7B9115420359440,PubChem,156531609
XOMQNBYRAKVRPP,4,STR-148B8C4077863A1C12AD,XOMQNBYRAKVRPP-AHKZPQOWSA-N,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](C[C@H](O)CN(C)CCOC)C(C)C)C2)C(C)C,7.113509274827518,SER-F7B9115420359440,PubChem,156531584
