structure_id,series_id,similarity_cluster_id,similarity_cluster_size,similarity_cluster_representative
STR-10E9D8E15102F968C01B,SER-6C31B263DFD01ADB,CLU-F428E64B95FBEB53,2,STR-10E9D8E15102F968C01B
STR-119E78597F506F0B6C75,SER-789386810AA6A1B8,CLU-83A65178F6C49DDF,2,STR-119E78597F506F0B6C75
STR-1208A8B445C263EA876B,SER-253494B3E5334E98,CLU-CFB588FFDF7723BC,1,STR-1208A8B445C263EA876B
STR-1223C39CACA1FF24271A,SER-0CFBA55DF63719F3,CLU-B67275E4621D323B,8,STR-4DD88D5839EF83BB667C
STR-12C3D4D6515C28A44080,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-12F4BE5B3B9958528331,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-1336D74CEEF07820B1AB,SER-57AD34D644CD4890,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-13418EBC6BF2EEA6DE7C,SER-EFE8DDCEA5E93C8D,CLU-3B4AF9A262953942,6,STR-15B6710D6EF043E829A9
STR-135D463A1137C39C5816,SER-FBD8412D03D2F209,CLU-C55C391A270249B9,2,STR-135D463A1137C39C5816
STR-13602A865FEABB9329F4,SER-FBD8412D03D2F209,CLU-C55C391A270249B9,2,STR-135D463A1137C39C5816
STR-1380FDB405A07D2654DB,SER-D71DF828C6360796,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-13DD6488A0AF0E3C9021,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-142DC3F04BDF2ABC0F0A,SER-D71646C8B89AF1C0,CLU-05771A03FDE37CAB,14,STR-142DC3F04BDF2ABC0F0A
STR-146E181369D6F6CAEBB4,SER-F711D2CF22F39578,CLU-9F7340B923C6C8AF,1,STR-146E181369D6F6CAEBB4
STR-147345C311E96CDE5202,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-148B8C4077863A1C12AD,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-14DBFF17DA73564FE5B6,SER-726F16AD19A1FFEA,CLU-EE35BC9038C2FF43,10,STR-ADD6623F7AD60FDD956E
STR-1574B99AB38B91861720,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-15A2DC000277D973D434,SER-6F3389DAFB00746E,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-15B6710D6EF043E829A9,SER-06A12C1AB182B12E,CLU-3B4AF9A262953942,6,STR-15B6710D6EF043E829A9
STR-161DEB8746E0069E7832,SER-BF278505F68AD0A8,CLU-D827569746058977,1,STR-161DEB8746E0069E7832
STR-1626E26FA9CDEFB597A0,SER-583E6F43269B3DBD,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-16763AE4A1795B0B0B2B,SER-78C124D2D3958F34,CLU-087886DC96278E22,2,STR-16763AE4A1795B0B0B2B
STR-171BAC86BCDD3AF9EF0F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-175E6B8A02C7A1A8161C,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-1764644935E711FBFE13,SER-8207B72B2003740B,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-17FFA0BF8D560B02685C,SER-2941DC416E74ECE2,CLU-3EE9B9680D826870,1,STR-17FFA0BF8D560B02685C
STR-1820741093C58A025EB7,SER-A5B5BDC855290F06,CLU-3F69D3AD245ADE81,12,STR-DA939D5F87D225304F92
STR-1855E3C88BD9E03511B5,SER-AABF4AB999A5F725,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-18936FD320AF3538594A,SER-1B4CE9EB9BB962A8,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-18A0CA3C76D3D31427DE,SER-6F3389DAFB00746E,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-19696E299ED51B516AAC,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-19873DB44217FEBF78AF,SER-6F3389DAFB00746E,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-19CC959BDEEEA861FDD9,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-1A02A52BF860C4D25F9A,SER-301D4A6F7EE2973B,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-1A6476E5CBA3E8CA3747,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-1A86078F0EC509427701,SER-78C4C9D455241A88,CLU-025D25B15DB44393,3,STR-8FD0357B1C250F490F7A
STR-1B889CE46B71B0168CDC,SER-6F3389DAFB00746E,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-1C195E0EFD40C42EDEE4,SER-6F3389DAFB00746E,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-1CBACEED34B9A4B3A117,SER-E4FF80EAA2D37B64,CLU-369E40B90B07000D,9,STR-B2BA33058BFAB9451C2F
STR-1D682839606D037B2843,SER-A5B5BDC855290F06,CLU-3F69D3AD245ADE81,12,STR-DA939D5F87D225304F92
STR-1D90C1470EBB9030FBBA,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-1DF62CB592FCCE0FC1BB,SER-6F3389DAFB00746E,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-1E16751A99CB4CD1A2D3,SER-221C55E04F6DAD86,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-1E3B65B659C49B92801F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-1E3BF4938C186E9DEDED,SER-725533906D2EDF46,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-1E41EA89AAF9C5AE998F,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-1E9D02C95D733A0CE623,SER-8207B72B2003740B,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-1ED81EB6526D0C332327,SER-131A273373554C95,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-1F39727F90F76C636B4B,SER-6F3389DAFB00746E,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-1F9028E2DF2F03204766,SER-B92687DE56E5CCCB,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-20D5B5F6CCFE315C6A44,SER-DCD7D9B0B6F88651,CLU-AF9A7727B04E32F9,9,STR-A50D555FBD2E6BE12E86
STR-21023797F115C4D325D4,SER-D0CCC78DDD1F06F9,CLU-6A0D5F80C394099F,2,STR-21023797F115C4D325D4
STR-213F84F38B4A2B9413E0,SER-8766DF06D1ECE89F,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-2159345A857E58155448,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-21AE2CAF6E5125C8BCF4,SER-FBD8412D03D2F209,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-21E735B2891431212E1A,SER-13C58FCF8A37F10D,CLU-6B75409E391AFF65,1,STR-21E735B2891431212E1A
STR-220071760E88DA3EF61F,SER-5E41D6E8FE36459C,CLU-32A9FC85C5E98335,1,STR-220071760E88DA3EF61F
STR-222AAD6024ECA7B1116F,SER-FBD8412D03D2F209,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-229990C98B9D4B27D490,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-22ABADFB64D91C6FE7F1,SER-2C608B76E00A996A,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-23383202A04EDA946CD9,SER-2C16C2D45BAC162E,CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E
STR-241F2E6DC7BEF8AE2212,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-2427F8EACDBEB2183A48,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-24BA8A5718C0F3749245,SER-C460737DCACEC827,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-24E8A686F24A9B2B9CC8,SER-4587D5BD8F3C3C18,CLU-369E40B90B07000D,9,STR-B2BA33058BFAB9451C2F
STR-25ACFB2C189546A8CDF4,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-25FD7B5E9510CCADC7E9,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-26DE89331A7438286FB0,SER-6DED64CF66CCE113,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-27A7903BB4E38754D8CE,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-27FF42BC0C71603EA440,SER-B87D7BA92F559552,CLU-11D54158112918E2,2,STR-27FF42BC0C71603EA440
STR-282D943879193C965050,SER-F2B42B46349F2ECB,CLU-60A0DE207ACB7CDF,1,STR-282D943879193C965050
STR-2849978768635A47ED8E,SER-B43CA4AD0B00D725,CLU-709DDC34D5916316,1,STR-2849978768635A47ED8E
STR-288DA5D629242E618088,SER-A1DEE028F1D5BB4A,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-28D764E3D7E6595F8FAA,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-28EBAE9BC55156C6772E,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-290979066F752EEEF93B,SER-10E99C4AFBE01DE9,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-291A8BDD78332CB7AA65,SER-F913A87DBA31B9C5,CLU-B7CF97F5F7173F6E,6,STR-291A8BDD78332CB7AA65
STR-298210A977B1E814E254,SER-7D8EB39B423AE666,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-29F00BB941CE28B9FDF5,SER-37297CCED8240F68,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-2A720D6641F50CDDC420,SER-0D1053D7501BF049,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-2AFD93E7E8064B3E49E2,SER-57237C691D760FE1,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-2BCFE9B3B04BB17781E9,SER-AABF4AB999A5F725,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-2BD8E1D3643B1EDA4E91,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-2C30E7D0A7F4E210317C,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-2C3FE5CA1858927467FA,SER-8B11BACADDC8B4B4,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-2CFC8301293C2B82E4A6,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-2D3ADB707F7A33308C6C,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-2D6C1263F87FC6A92E1C,SER-B210E620CAC4DB11,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-2E19648BD2890AA2BB83,SER-BF392468AE9FDA19,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-2E8A075F614E722CE8DF,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-2FF2DB436296505D61BF,SER-06A12C1AB182B12E,CLU-3B4AF9A262953942,6,STR-15B6710D6EF043E829A9
STR-3056BAB95CE288C931AB,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-30D1E5B8E9867EA8DE8A,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-30E7F50211EE28460DBB,SER-B92687DE56E5CCCB,CLU-61135314109238DB,23,STR-AB1714536DDACDAFACEC
STR-31013D2308E98B54F331,SER-AABF4AB999A5F725,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-312EF6BDB711E79D339B,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-3187B729C5A86F22C447,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-31D21D2CCB9374585486,SER-317158EDAD8598EE,CLU-EE35BC9038C2FF43,10,STR-ADD6623F7AD60FDD956E
STR-3253D8DC94A1BCB38E8F,SER-20F67B855744F824,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-3285E2BFD8068CB3A1DB,SER-F6306F8CC9FE45B4,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-329A1DF49F92EC5C8A64,SER-D26B28296D86E051,CLU-54C86C60B0A372CD,30,STR-CFD47A4A9C12D7F7E3C6
STR-32FEF1FCB73DC9ADA20D,SER-8B11BACADDC8B4B4,CLU-B51E94A231067934,5,STR-B714BC7381C3BA11A1BD
STR-33470FA3D63C6644B384,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-334A6D2F1631C6ED2448,SER-BA912CD03DBF5CE2,CLU-F0117CB494DDBB30,6,STR-E2BF2500F662553F3983
STR-338D75E25E61086DDEB0,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-33EC56FC5D9EE8140CC4,SER-D0CCC78DDD1F06F9,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-33ECA7BC02C166AF1729,SER-88BF110C8AC128BC,CLU-9850EA2764F0102A,27,STR-33ECA7BC02C166AF1729
STR-3456B22116DFBE0042D0,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-345899C1E6A28DAE7335,SER-4B543F3A83C6C0CA,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-34A22E8D07A7D066A07D,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-34DA364C524542BAF54B,SER-B212B95A94D293C5,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-34FE1D5BDCFE7B2EB7FE,SER-87DF4ACBBC600AE2,CLU-4F217024905A362A,1,STR-34FE1D5BDCFE7B2EB7FE
STR-357FF7F1EF112B333FD8,SER-B210E620CAC4DB11,CLU-21F81BBF17106F2B,37,STR-073AD85CF5EE1E9C87AB
STR-35F6D1EC02194FC314E7,SER-FBD8412D03D2F209,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-3601397C7850DBE7E578,SER-7D8EB39B423AE666,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-3635F302F926924A4F69,SER-A5B5BDC855290F06,CLU-3F69D3AD245ADE81,12,STR-DA939D5F87D225304F92
STR-36584B3033D9C455D195,SER-5E7D688CCCDE322E,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-36D06C665413C80AFB22,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-37683BE8AACC5BF07C17,SER-AD07806D7B72576D,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-377B42435916FCE77AA8,SER-B92687DE56E5CCCB,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-37892E2865C156499B87,SER-80D899E28BCE472C,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-380D6B8618081351E103,SER-BF278505F68AD0A8,CLU-A3362F60EB72B774,1,STR-380D6B8618081351E103
STR-3815BA4AEEA1DB9CE8BA,SER-2C608B76E00A996A,CLU-EFD949491EF7831E,43,STR-F32727EFAF81D38C7334
STR-387792503A9801B32A63,SER-9B2491B1566F9098,CLU-B7CF97F5F7173F6E,6,STR-291A8BDD78332CB7AA65
STR-38B1872E6995BD9A227F,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-38C10D94ABD1F231B9D1,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-38D78133670C2C6A5AEA,SER-FBD8412D03D2F209,CLU-5FD0DDB00E1E9375,12,STR-8A96AEE3549DB26F33DD
STR-38F6752F49BCD366F11A,SER-317158EDAD8598EE,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-39162221D259757C11ED,SER-D71646C8B89AF1C0,CLU-05771A03FDE37CAB,14,STR-142DC3F04BDF2ABC0F0A
STR-3941BFA7C86C7BEE8530,SER-6F3389DAFB00746E,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-394215D949D57850FC96,SER-BF392468AE9FDA19,CLU-8AC1194393FC15BF,21,STR-568E8A2EF6050316CA23
STR-39A915FABCDA41B4B311,SER-647213101879D186,CLU-D7D8CB9A550B55F0,6,STR-768449AFD0A1BD14A41D
STR-3A41597854480F3DF1D0,SER-0A8207C373DE3400,CLU-F428E64B95FBEB53,2,STR-10E9D8E15102F968C01B
STR-3A4916332CE912BE72A0,SER-1D8F6F9617EE8400,CLU-34BEF505D5AECBFE,4,STR-3A4916332CE912BE72A0
STR-3A6736117BA7E1895B14,SER-D0CCC78DDD1F06F9,CLU-4C66778D7AF47B56,9,STR-D4B228AA42C515EFF74F
STR-3A87DF5E12610CBFE604,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-3ACD95779D752A7D6CB7,SER-E5621C7084AB064E,CLU-3C95CFBE54C21666,2,STR-3ACD95779D752A7D6CB7
STR-3B0D0745EF6A1078CAD2,SER-E5621C7084AB064E,CLU-E6F293FD59FCAAE0,2,STR-3B0D0745EF6A1078CAD2
STR-3B3C5B252A05FD26B962,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-3B92CACCAFD90E1C78D4,SER-6DED64CF66CCE113,CLU-A083A0DB86163B1A,31,STR-B91B625C26AF1911063A
STR-3BD3AAFB21D6F0AE245A,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-3BF33E326381C0E9FE99,SER-B8F02B8021A8E099,CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E
STR-3C59D20673A9FF87E080,SER-022396F9DA354781,CLU-83E946FCC6EC0184,4,STR-3C59D20673A9FF87E080
STR-3CD476A8641FC18ED0B6,SER-B8F02B8021A8E099,CLU-D05EB6AB0B00E296,13,STR-072FE59E687806FA7B3E
STR-3D134EE83844240DFBF0,SER-57237C691D760FE1,CLU-C8AD6A63BE1D675A,36,STR-36584B3033D9C455D195
STR-3DC002932CE2E06E9BD6,SER-F7B9115420359440,CLU-3B3670B85667A6B8,184,STR-D7B6A133DED6C54A6E85
STR-3DF232D656AC9EFDA4D4,SER-D71DF828C6360796,CLU-09CD093C2B53B295,112,STR-09E54D8A9B952AC86D2A
STR-3E739B082DA4CF7390FB,SER-F843E7B691391957,CLU-696CF99EA002BEAD,1,STR-3E739B082DA4CF7390FB
