series_id,scaffold_key,scaffold_method,series_size,structure_id,standardized_smiles,p_activity_median,sources,compound_ids,qed,mol_wt,logp,tpsa
SER-3785502795C9E2E2,O=C(CN1CCC(C2(C3CCCC3)NCCc3ccccc32)CC1)N1Cc2ccccc2C1,bemis_murcko,1,STR-B86FFEAD38CDA23B5632,O=C(CN1CCC(C2(C3CCCC3)NCCc3ccccc32)CC1)N1Cc2ccccc2C1,5.207608310501746,ChEMBL;PubChem,CHEMBL6029206,0.7572450415531836,443.6350000000002,4.472200000000004,35.580000000000005
SER-37B90335DB0B258A,O=S(=O)(c1ccc(N2CC(CN3CCC(n4cc(-c5ccccc5)c5cncnc54)CC3)C2)cc1)C1CNC1,bemis_murcko,1,STR-9AC1D54F9BA0634D1A2E,CC(C)(C)OC(=O)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(n5cc(-c6ccc(F)cc6)c6c(N)ncnc65)CC4)C3)cc2)C1,5.943095148663527,ChEMBL,CHEMBL5562800,0.28851572303721124,675.8309999999998,4.9859000000000036,126.89
SER-3A25549E9CAA259F,O=C(c1ccc2cc[nH]c2c1)N1CCC(CC2(C3CCCC3)NCCc3ccccc32)CC1,bemis_murcko,1,STR-826ACF8B9EB407EBF5F3,N#Cc1cc2ccc(C(=O)N3CCC(CC4(C5CCCC5)NCCc5ccccc54)CC3)cc2[nH]1,4.661543506395395,ChEMBL;PubChem,CHEMBL5856058,0.5322812034612409,466.62900000000025,5.513280000000005,71.92
SER-3ACA3B6164BA0656,O=S(=O)(c1ccccc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,1,STR-718AB1E455060CA519A1,O=S(=O)(c1ccccc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.809894379144197,ChEMBL;PubChem,CHEMBL4436641,0.38413994315427424,569.8150000000002,5.899000000000006,52.650000000000006
SER-3AF0ABA926B94A58,O=C1CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2c[nH]c3ccccc23)CCCCCCNC(=O)C2CCCN2C(=O)CN1,bemis_murcko,1,STR-CF5201A5F0C9949F8EED,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,7.198596289982645,ChEMBL,CHEMBL2314830,0.046095167411711144,1109.3479999999995,-0.5094600000000049,383.90999999999985
SER-3B5B6881F3844E3A,c1ccc(N2CCCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,1,STR-FF095523952A15300267,N#Cc1ccc(N2CCCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,5.289198036565084,ChEMBL;PubChem,CHEMBL4528850,0.5920205886786304,482.71600000000035,5.718080000000006,42.300000000000004
SER-3BBBF6CEAC67F2A5,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,1,STR-972288F8D4D50B5E44FE,O=S(=O)(c1ccncc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.796729909783022,ChEMBL;PubChem,CHEMBL4476073,0.4163596540165264,570.8030000000002,5.294000000000006,65.54
SER-3C887B53965E3428,c1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,bemis_murcko,1,STR-841FC2EFD5AAF36FB504,N#Cc1ccc(N2CCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,7.114721262574502,ChEMBL;PubChem,CHEMBL4466955,0.6442283091934651,468.6890000000003,5.3279800000000055,42.300000000000004
SER-3DE3A00BD16043E0,O=S(=O)(c1ccc(N2CC(CN3CCC(n4cc(-c5ccccc5)c5cncnc54)CC3)C2)cc1)C1CCC1,bemis_murcko,1,STR-1098388DEC1F7C6AA87D,Nc1ncnc2c1c(-c1ccc(F)cc1)cn2C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CCC4)cc3)C2)CC1,6.275724130399211,ChEMBL,CHEMBL5557705,0.3347170977204828,574.7260000000002,4.919100000000005,97.35
SER-3EF48CA9249A86FC,O=S(=O)(c1ccc(N2CC(CN3CCC(C(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CC2CCC1C2,bemis_murcko,1,STR-0EB9DFE3F3CFA3016388,COC(=O)N[C@H]1CCC[C@@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)C4CC5CCC4C5)cc3)C2)CC1,7.920818753952375,ChEMBL;PubChem,CHEMBL5960140,0.36914257672119266,644.882,5.783380000000006,102.73999999999998
