structure_id_a,structure_id_b,core_smiles,variable_fragment_a,variable_fragment_b,transformation,core_heavy_atoms,variable_heavy_atoms_a,variable_heavy_atoms_b,p_activity_a,p_activity_b,absolute_delta_pactivity,achiral_morgan_tanimoto,is_activity_cliff,shared_assay_id,shared_document_id,evidence_context_grade
STR-65405A355B35D329B436,STR-6F0B243CDCAB8EEB6068,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CCC(=O)O[C@@H]1CCC[C@H]1[*:1],O=C(O[C@H]1CCC[C@@H]1[*:1])N1CCC1,CCC(=O)O[C@@H]1CCC[C@H]1[*:1]>>O=C(O[C@H]1CCC[C@@H]1[*:1])N1CCC1,35,10,12,6.0,7.1249387366083,1.1249387366083,0.8227848101265823,False,True,True,same_assay
STR-6F92DD97001CC1334310,STR-A5490A895830A71903B2,COC(=O)N[C@H]1CCC[C@@H]1[C@](CN1CCC1)(c1cccc(F)c1)C1CCN(CC2([*:1])CN(c3ccc(S(=O)(=O)C4CC4)cc3)C2)CC1,F[*:1],COC(=O)[*:1],F[*:1]>>COC(=O)[*:1],46,1,4,8.494850021680094,7.372634143407267,1.1222158782728267,0.8554216867469879,False,True,True,same_assay
STR-88BBF77299762B038C6D,STR-94C191645BE5B0A1978A,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@H]1CCC[C@@H]1OC(=O)[*:1],CC(C)[*:1],C1CC1[*:1],CC(C)[*:1]>>C1CC1[*:1],43,3,3,6.625251653989896,7.744727494896693,1.119475840906797,0.8227848101265823,False,True,True,same_assay
STR-B42C6A96CD90C7D4D5BD,STR-F2582153AFECCA17E433,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CC[*:1])C(C)C)C2)C(C)C,CC(C)(N)[*:1],NC(=O)CN[*:1],CC(C)(N)[*:1]>>NC(=O)CN[*:1],36,4,5,7.173925197299173,6.055517327849831,1.1184078694493422,0.7931034482758621,False,True,True,same_assay
STR-0C77A21AB4DE90C1EA09,STR-16763AE4A1795B0B0B2B,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C(C#N)(c4ccccc4)[*:1])CC3)C2)cc1,O[C@@H]1CCC[C@H]1[*:1],O=C1CCC([*:1])C1,O[C@@H]1CCC[C@H]1[*:1]>>O=C1CCC([*:1])C1,30,6,6,5.42021640338319,4.30189945437661,1.11831694900658,0.7101449275362319,False,True,True,same_assay
STR-4342C90FE7E456F909D0,STR-BFADD52B1F3CC9E98A32,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[C@@H]1CCC[C@H]1[*:1],CNC(=O)O[*:1],CNC(=O)C[*:1],CNC(=O)O[*:1]>>CNC(=O)C[*:1],40,5,5,6.402304814074488,5.2839966563652006,1.1183081577092873,0.7777777777777778,False,True,True,same_assay
STR-5A6D9F61D6C13A688B6F,STR-F6B3210B924167EFDCBB,N#CC(c1ccccc1)(C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)[*:1],CN(C)C(=O)O[C@H]1CCC[C@@H]1[*:1],CCNC(=O)O[C@@H]1CCC[C@H]1[*:1],CN(C)C(=O)O[C@H]1CCC[C@@H]1[*:1]>>CCNC(=O)O[C@@H]1CCC[C@H]1[*:1],35,11,11,6.583359492661719,5.468521082957745,1.1148384097039745,0.8148148148148148,False,True,True,same_assay
STR-6BDEB3BA85482F5765AF,STR-CC5B3077D44A183298E0,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CC[*:1],O=C(CF)N1CCN([*:1])CC1,CC(=O)N1CCC([*:1])CC1,O=C(CF)N1CCN([*:1])CC1>>CC(=O)N1CCC([*:1])CC1,36,10,9,8.0,6.886056647693163,1.113943352306837,0.7912087912087912,False,True,True,same_assay
STR-03825B6A51D0B0744A5D,STR-86534CE59FD1A258EC1F,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([*:1])C2)C(C)C,CNC(=O)NCCC[C@H](C(C)C)[*:1],CC(C)[C@H](CCCCN)[*:1],CNC(=O)NCCC[C@H](C(C)C)[*:1]>>CC(C)[C@H](CCCCN)[*:1],30,12,9,6.366531544420413,5.254144804826272,1.1123867395941405,0.8045977011494253,False,True,True,same_assay
STR-BA4B8BF78E2F3EDB8F63,STR-F2582153AFECCA17E433,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@H](CCNC[*:1])C(C)C)C2)C(C)C,NC(=O)C[*:1],NC(=O)[*:1],NC(=O)C[*:1]>>NC(=O)[*:1],38,4,3,7.167491087293763,6.055517327849831,1.1119737594439325,0.8928571428571429,False,True,True,same_assay
