structure_id,objective,desirability_column,desirability,weight,included_in_complete_score,weighted_contribution,missing_policy
STR-072FE59E687806FA7B3E,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-072FE59E687806FA7B3E,qed,qed_desirability,0.8214418011322927,0.15,True,0.1232162701698439,observed_or_in_domain
STR-072FE59E687806FA7B3E,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-072FE59E687806FA7B3E,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-072FE59E687806FA7B3E,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-073AD85CF5EE1E9C87AB,potency,potency_desirability,0.7406162498721187,0.35,True,0.25921568745524154,observed_or_in_domain
STR-073AD85CF5EE1E9C87AB,qed,qed_desirability,0.3159118703759911,0.15,True,0.04738678055639867,observed_or_in_domain
STR-073AD85CF5EE1E9C87AB,property,property_desirability,0.8333333333333334,0.15,True,0.125,observed_or_in_domain
STR-073AD85CF5EE1E9C87AB,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-073AD85CF5EE1E9C87AB,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0762484A1F8E76578E66,potency,potency_desirability,0.07885733547902103,0.35,True,0.02760006741765736,observed_or_in_domain
STR-0762484A1F8E76578E66,qed,qed_desirability,0.40018189179675423,0.15,True,0.060027283769513134,observed_or_in_domain
STR-0762484A1F8E76578E66,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0762484A1F8E76578E66,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0762484A1F8E76578E66,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-077D7D9C480B1958E4A3,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-077D7D9C480B1958E4A3,qed,qed_desirability,0.3901674069206251,0.15,True,0.05852511103809377,observed_or_in_domain
STR-077D7D9C480B1958E4A3,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-077D7D9C480B1958E4A3,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-077D7D9C480B1958E4A3,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-079F3F9421D0EFF32E86,potency,potency_desirability,0.12217718147347097,0.35,True,0.04276201351571483,observed_or_in_domain
STR-079F3F9421D0EFF32E86,qed,qed_desirability,0.2720248476815324,0.15,True,0.04080372715222986,observed_or_in_domain
STR-079F3F9421D0EFF32E86,property,property_desirability,0.6666666666666667,0.15,True,0.1,observed_or_in_domain
STR-079F3F9421D0EFF32E86,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-079F3F9421D0EFF32E86,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-07CEA1A415CFED11C760,potency,potency_desirability,0.18954541194700406,0.35,True,0.06634089418145142,observed_or_in_domain
STR-07CEA1A415CFED11C760,qed,qed_desirability,0.6048816175181486,0.15,True,0.0907322426277223,observed_or_in_domain
STR-07CEA1A415CFED11C760,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-07CEA1A415CFED11C760,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-07CEA1A415CFED11C760,herg,herg_desirability,0.03698492599685843,0.25,True,0.009246231499214608,observed_or_in_domain
STR-07E4D9678C4B52D2093A,potency,potency_desirability,0.598626672448025,0.35,True,0.20951933535680875,observed_or_in_domain
STR-07E4D9678C4B52D2093A,qed,qed_desirability,0.3979083006215225,0.15,True,0.05968624509322837,observed_or_in_domain
STR-07E4D9678C4B52D2093A,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-07E4D9678C4B52D2093A,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-07E4D9678C4B52D2093A,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-080A59F9B1BCF4DFA65B,potency,potency_desirability,0.10092355241342747,0.35,True,0.03532324334469961,observed_or_in_domain
STR-080A59F9B1BCF4DFA65B,qed,qed_desirability,0.4494202369735489,0.15,True,0.06741303554603233,observed_or_in_domain
STR-080A59F9B1BCF4DFA65B,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-080A59F9B1BCF4DFA65B,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-080A59F9B1BCF4DFA65B,herg,herg_desirability,0.18297217700644708,0.25,True,0.04574304425161177,observed_or_in_domain
STR-0855D8D007FB84375292,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-0855D8D007FB84375292,qed,qed_desirability,0.6547580770695428,0.15,True,0.09821371156043142,observed_or_in_domain
STR-0855D8D007FB84375292,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0855D8D007FB84375292,evidence,evidence_desirability,0.5609178288533738,0.1,True,0.056091782885337386,observed_or_in_domain
STR-0855D8D007FB84375292,herg,herg_desirability,0.050531905824975576,0.25,True,0.012632976456243894,observed_or_in_domain
STR-08A590BAA6ADDB004EDA,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-08A590BAA6ADDB004EDA,qed,qed_desirability,0.3514927575944596,0.15,True,0.05272391363916894,observed_or_in_domain
STR-08A590BAA6ADDB004EDA,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-08A590BAA6ADDB004EDA,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-08A590BAA6ADDB004EDA,herg,herg_desirability,0.12280058894370782,0.25,True,0.030700147235926956,observed_or_in_domain
STR-08F8459D1F8F16B6681D,potency,potency_desirability,0.13264666955734583,0.35,True,0.04642633434507104,observed_or_in_domain
STR-08F8459D1F8F16B6681D,qed,qed_desirability,0.3049900520119352,0.15,True,0.045748507801790274,observed_or_in_domain
STR-08F8459D1F8F16B6681D,property,property_desirability,0.8333333333333334,0.15,True,0.125,observed_or_in_domain
STR-08F8459D1F8F16B6681D,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-08F8459D1F8F16B6681D,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-09276AA2563E2F930001,potency,potency_desirability,0.17771079321529668,0.35,True,0.062198777625353835,observed_or_in_domain
STR-09276AA2563E2F930001,qed,qed_desirability,0.27616588227821287,0.15,True,0.04142488234173193,observed_or_in_domain
STR-09276AA2563E2F930001,property,property_desirability,0.8333333333333334,0.15,True,0.125,observed_or_in_domain
STR-09276AA2563E2F930001,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-09276AA2563E2F930001,herg,herg_desirability,0.1057367966026449,0.25,True,0.026434199150661225,observed_or_in_domain
STR-0929C2100723D6B883C0,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-0929C2100723D6B883C0,qed,qed_desirability,0.3437373467005417,0.15,True,0.05156060200508125,observed_or_in_domain
STR-0929C2100723D6B883C0,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0929C2100723D6B883C0,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0929C2100723D6B883C0,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-094C702ADD088489F553,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-094C702ADD088489F553,qed,qed_desirability,0.5197065773742517,0.15,True,0.07795598660613776,observed_or_in_domain
STR-094C702ADD088489F553,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-094C702ADD088489F553,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-094C702ADD088489F553,herg,herg_desirability,0.03841618097546118,0.25,True,0.009604045243865295,observed_or_in_domain
STR-094F554E2B0D3487D695,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-094F554E2B0D3487D695,qed,qed_desirability,0.2767714536476766,0.15,True,0.041515718047151484,observed_or_in_domain
STR-094F554E2B0D3487D695,property,property_desirability,0.8333333333333334,0.15,True,0.125,observed_or_in_domain
STR-094F554E2B0D3487D695,evidence,evidence_desirability,0.38888888888888884,0.1,True,0.03888888888888889,observed_or_in_domain
STR-094F554E2B0D3487D695,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-09808CFD40E7489BA72B,potency,potency_desirability,0.6179573214405872,0.35,True,0.2162850625042055,observed_or_in_domain
STR-09808CFD40E7489BA72B,qed,qed_desirability,0.34428099077314206,0.15,True,0.05164214861597131,observed_or_in_domain
STR-09808CFD40E7489BA72B,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-09808CFD40E7489BA72B,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-09808CFD40E7489BA72B,herg,herg_desirability,0.15239406357486274,0.25,True,0.038098515893715684,observed_or_in_domain
STR-09E54D8A9B952AC86D2A,potency,potency_desirability,0.7406162498721187,0.35,True,0.25921568745524154,observed_or_in_domain
STR-09E54D8A9B952AC86D2A,qed,qed_desirability,0.35067617285133945,0.15,True,0.052601425927700916,observed_or_in_domain
STR-09E54D8A9B952AC86D2A,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-09E54D8A9B952AC86D2A,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-09E54D8A9B952AC86D2A,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-09F928DB426380AF84D4,potency,potency_desirability,0.036154180775811895,0.35,True,0.012653963271534162,observed_or_in_domain
STR-09F928DB426380AF84D4,qed,qed_desirability,0.6725877073516854,0.15,True,0.1008881561027528,observed_or_in_domain
STR-09F928DB426380AF84D4,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-09F928DB426380AF84D4,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-09F928DB426380AF84D4,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0A56438F09B3E75AAE8B,potency,potency_desirability,0.07394958320545204,0.35,True,0.025882354121908212,observed_or_in_domain
STR-0A56438F09B3E75AAE8B,qed,qed_desirability,0.8193148264946966,0.15,True,0.12289722397420448,observed_or_in_domain
STR-0A56438F09B3E75AAE8B,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0A56438F09B3E75AAE8B,evidence,evidence_desirability,0.6739946239542033,0.1,True,0.06739946239542033,observed_or_in_domain
STR-0A56438F09B3E75AAE8B,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0AF48A7398AE4A10DB6D,potency,potency_desirability,0.8996566681120063,0.35,True,0.3148798338392022,observed_or_in_domain
STR-0AF48A7398AE4A10DB6D,qed,qed_desirability,0.2055000331056007,0.15,True,0.030825004965840102,observed_or_in_domain
STR-0AF48A7398AE4A10DB6D,property,property_desirability,0.8333333333333334,0.15,True,0.125,observed_or_in_domain
STR-0AF48A7398AE4A10DB6D,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-0AF48A7398AE4A10DB6D,herg,herg_desirability,0.1428664305976628,0.25,True,0.0357166076494157,observed_or_in_domain
STR-0B18427EF6CEB8CC075B,potency,potency_desirability,0.7993133362240125,0.35,True,0.2797596676784043,observed_or_in_domain
STR-0B18427EF6CEB8CC075B,qed,qed_desirability,0.5496426370008535,0.15,True,0.08244639555012802,observed_or_in_domain
STR-0B18427EF6CEB8CC075B,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0B18427EF6CEB8CC075B,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-0B18427EF6CEB8CC075B,herg,herg_desirability,0.10538626624078751,0.25,True,0.026346566560196877,observed_or_in_domain
STR-0B3A10F091CFA83F82BC,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-0B3A10F091CFA83F82BC,qed,qed_desirability,0.3592636070596034,0.15,True,0.05388954105894051,observed_or_in_domain
STR-0B3A10F091CFA83F82BC,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0B3A10F091CFA83F82BC,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0B3A10F091CFA83F82BC,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0B3BEA2BCB592D1DDA40,potency,potency_desirability,0.3021927716125881,0.35,True,0.10576747006440583,observed_or_in_domain
STR-0B3BEA2BCB592D1DDA40,qed,qed_desirability,0.5594703039967457,0.15,True,0.08392054559951186,observed_or_in_domain
STR-0B3BEA2BCB592D1DDA40,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0B3BEA2BCB592D1DDA40,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-0B3BEA2BCB592D1DDA40,herg,herg_desirability,0.038192521561391635,0.25,True,0.009548130390347909,observed_or_in_domain
STR-0B5E0ED39466F3487654,potency,potency_desirability,0.02697396920797542,0.35,True,0.009440889222791396,observed_or_in_domain
STR-0B5E0ED39466F3487654,qed,qed_desirability,0.6168518343918769,0.15,True,0.09252777515878152,observed_or_in_domain
STR-0B5E0ED39466F3487654,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0B5E0ED39466F3487654,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0B5E0ED39466F3487654,herg,herg_desirability,0.05037572263704959,0.25,True,0.012593930659262398,observed_or_in_domain
STR-0B6B013EF83E068B0788,potency,potency_desirability,0.23739942335659117,0.35,True,0.08308979817480691,observed_or_in_domain
STR-0B6B013EF83E068B0788,qed,qed_desirability,0.11254392180281579,0.15,True,0.016881588270422368,observed_or_in_domain
STR-0B6B013EF83E068B0788,property,property_desirability,0.5,0.15,True,0.075,observed_or_in_domain
STR-0B6B013EF83E068B0788,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0B6B013EF83E068B0788,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0BCBBE5537E8A8D227ED,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-0BCBBE5537E8A8D227ED,qed,qed_desirability,0.7510697518025856,0.15,True,0.11266046277038784,observed_or_in_domain
STR-0BCBBE5537E8A8D227ED,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0BCBBE5537E8A8D227ED,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0BCBBE5537E8A8D227ED,herg,herg_desirability,0.11274391360797831,0.25,True,0.028185978401994577,observed_or_in_domain
STR-0C136D4784FF4E1D4A7F,potency,potency_desirability,0.4072829165387854,0.35,True,0.14254902078857487,observed_or_in_domain
STR-0C136D4784FF4E1D4A7F,qed,qed_desirability,0.2936250620994578,0.15,True,0.04404375931491867,observed_or_in_domain
STR-0C136D4784FF4E1D4A7F,property,property_desirability,0.8333333333333334,0.15,True,0.125,observed_or_in_domain
STR-0C136D4784FF4E1D4A7F,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0C136D4784FF4E1D4A7F,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0C1A3C79DDA24756CB7A,potency,potency_desirability,0.6179573214405872,0.35,True,0.2162850625042055,observed_or_in_domain
STR-0C1A3C79DDA24756CB7A,qed,qed_desirability,0.3273676388668429,0.15,True,0.04910514583002643,observed_or_in_domain
STR-0C1A3C79DDA24756CB7A,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0C1A3C79DDA24756CB7A,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-0C1A3C79DDA24756CB7A,herg,herg_desirability,0.11799616369416066,0.25,True,0.029499040923540165,observed_or_in_domain
STR-0C1D3CBEB06D4D0E10FA,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-0C1D3CBEB06D4D0E10FA,qed,qed_desirability,0.34368932994050655,0.15,True,0.05155339949107598,observed_or_in_domain
STR-0C1D3CBEB06D4D0E10FA,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0C1D3CBEB06D4D0E10FA,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0C1D3CBEB06D4D0E10FA,herg,herg_desirability,,0.25,False,,unknown_no_credit
STR-0C41A5E0103FBE24922F,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-0C41A5E0103FBE24922F,qed,qed_desirability,0.27803538565237157,0.15,True,0.041705307847855734,observed_or_in_domain
STR-0C41A5E0103FBE24922F,property,property_desirability,0.8333333333333334,0.15,True,0.125,observed_or_in_domain
STR-0C41A5E0103FBE24922F,evidence,evidence_desirability,0.611111111111111,0.1,True,0.06111111111111111,observed_or_in_domain
STR-0C41A5E0103FBE24922F,herg,herg_desirability,0.12453738724185592,0.25,True,0.03113434681046398,observed_or_in_domain
STR-0C77A21AB4DE90C1EA09,potency,potency_desirability,0.0,0.35,True,0.0,observed_or_in_domain
STR-0C77A21AB4DE90C1EA09,qed,qed_desirability,0.6127021115346363,0.15,True,0.09190531673019543,observed_or_in_domain
STR-0C77A21AB4DE90C1EA09,property,property_desirability,1.0,0.15,True,0.15,observed_or_in_domain
STR-0C77A21AB4DE90C1EA09,evidence,evidence_desirability,0.7777777777777777,0.1,True,0.07777777777777778,observed_or_in_domain
STR-0C77A21AB4DE90C1EA09,herg,herg_desirability,0.1362178951360239,0.25,True,0.03405447378400597,observed_or_in_domain
STR-0E18A32C09E2471DF027,potency,potency_desirability,0.1478991664109041,0.35,True,0.051764708243816425,observed_or_in_domain
