series_id,scaffold_key,scaffold_method,series_size,median_p_activity,best_p_activity,minimum_p_activity,median_qed,median_mol_wt,median_logp,source_count,representative_structure_id,activity_span_log10,meets_series_minimum
SER-06A12C1AB182B12E,O=C(CCc1c[nH]c2ccccc12)NCC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)N1CCCC1,bemis_murcko,4,6.304603074922165,7.943095148663527,5.131355561605174,0.02067272102310163,1125.8649999999998,-2.2152250000000047,1,STR-15B6710D6EF043E829A9,2.8117395870583533,True
SER-E5621C7084AB064E,C1=NC(N2CCC3(CNC3)C2)C(Oc2ccccc2)N=N1,bemis_murcko,4,7.012054431799104,7.481486060122112,6.920818753952375,0.37579669538616156,567.9680000000002,4.559000000000003,1,STR-3ACD95779D752A7D6CB7,0.5606673061697371,True
SER-726F16AD19A1FFEA,c1ccc(OCCCN2CCC(C(c3ccccc3)c3ccccn3)CC2)cc1,bemis_murcko,4,6.73877788324684,7.045757490560675,5.853871964321762,0.5168964840362318,445.5380000000001,4.509380000000004,1,STR-14DBFF17DA73564FE5B6,1.191885526238913,True
SER-A5B5BDC855290F06,c1ccc(OCCCN2CCC(C3(C4CCCCN4)CNCc4ccccc43)CC2)cc1,bemis_murcko,4,4.849203889292246,5.6777807052660805,4.458420756053419,0.4004201985301726,542.7680000000004,5.531730000000007,2,STR-1820741093C58A025EB7,1.2193599492126612,True
SER-B212B95A94D293C5,O=C(C=CCN1CCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(C(CN5CCC5)(c5ccccc5)C5CCCC5)CC4)C3)cc2)C1,bemis_murcko,3,8.698970004336019,9.0,8.698970004336019,0.27945874485137534,809.0369999999997,4.388700000000005,1,STR-34DA364C524542BAF54B,0.30102999566398125,True
SER-2C608B76E00A996A,O=C(C=CCN1CCCCC1)N1CC(S(=O)(=O)c2ccc(N3CC(CN4CCC(C(CN5CCC5)(c5ccccc5)C5CCCC5)CC4)C3)cc2)C1,bemis_murcko,3,8.585026652029182,8.698970004336019,8.397940008672037,0.25896895236508305,837.0909999999996,5.168900000000005,1,STR-22ABADFB64D91C6FE7F1,0.30102999566398125,True
SER-AEAE080E536FEC3F,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)N1CC2CC1CN2,bemis_murcko,3,8.3767507096021,8.568636235841012,8.337242168318426,0.30027716437586754,793.0190000000001,4.071100000000005,1,STR-704625FB7455957A2AA3,0.2313940675225865,True
SER-E8FAB356E73C31D0,O=C1COC(Cn2ccc3cc(CN4CCC(Nc5ncnc6sccc56)CC4)ccc32)CN1,bemis_murcko,3,8.1249387366083,8.443697499232712,6.910094888560602,0.3225900364299884,597.6670000000001,4.522400000000004,1,STR-BAFF2FF7D3D8F1D2F783,1.5336026106721103,True
SER-C9BE969E62A1CF7D,O=S(=O)(c1ccccc1)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1,bemis_murcko,3,8.045757490560675,8.096910013008056,8.045757490560675,0.2926000544160096,641.8779999999999,6.3295000000000075,2,STR-9CCCDEEF5E324E6E33B4,0.05115252244738144,True
SER-D837B57CD0E0B2C6,c1ccc(OCCCN2CCC(C(c3ccccn3)C3CCCC3)CC2)cc1,bemis_murcko,3,6.709965388637482,6.943095148663527,6.51999305704285,0.637614033426709,419.56900000000024,4.512180000000004,1,STR-ADD6623F7AD60FDD956E,0.42310209162067736,True
SER-898A383C2585D819,c1ccc(-c2cn(C3CCN(CC4CN(c5ccccc5)C4)CC3)c3ncncc23)cc1,bemis_murcko,3,6.346787486224656,6.42021640338319,6.136677139879544,0.39943246938804766,534.6610000000003,4.386500000000003,1,STR-9F2105675ED616901558,0.2835392635036458,True
SER-60DE72E68A5873A2,c1ccc(CC2CCN(CCCOc3ccccc3)CC2)cc1,bemis_murcko,3,4.815308569182402,5.3872161432802645,4.123205023799299,0.5566951651605349,406.57000000000016,4.5829800000000045,2,STR-54F1327250956FC1E73B,1.2640111194809656,True
SER-6130AFF64594955F,c1ccc2c(c1)CCNC2(C1CCCC1)C1CCNCC1,bemis_murcko,3,3.846490010699162,5.004364805402449,3.214812579970638,0.8711536163588373,298.47400000000005,3.5596000000000023,2,STR-63AC2E75E76C1C641161,1.7895522254318115,True
SER-583E6F43269B3DBD,O=S(=O)(c1ccc(N2CC(CN3CCC(C(CN4CCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1)C1CCCNC1,bemis_murcko,2,8.477338510606671,8.522878745280337,8.431798275933005,0.28531438453446495,780.02,4.8620000000000045,1,STR-1626E26FA9CDEFB597A0,0.09108046934733238,False
SER-BD7F2116D422990C,O=C(C1NC2CCC1CC2CC1CC1)N1CCC2(CC1)CN(c1ncncc1Oc1ccccc1)C2,bemis_murcko,2,8.212232890840069,8.275724130399212,8.148741651280925,0.3820963130278435,632.825,5.652600000000006,1,STR-B5D946FAC7CA35C5B953,0.1269824791182863,False
SER-301D4A6F7EE2973B,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)CNCc5ccccc54)CC3)C2)cc1)c1cc[nH]c1,bemis_murcko,2,7.979303657420887,8.0,7.958607314841775,0.32813466732723806,636.9064999999998,5.423550000000006,2,STR-1A02A52BF860C4D25F9A,0.04139268515822536,False
SER-0174A77D6587226B,O=S(=O)(c1ccccc1)c1ccc(N2CC(CN3CCC(C(Cn4cccc4)(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,2,7.288213240133632,7.920818753952375,6.655607726314889,0.1915753745236033,680.9150000000001,6.632000000000008,2,STR-55608317294F39D42FCE,1.265211027637486,False
SER-67C225F56454DB64,O=C(OC1CCCC1C(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)C1CC1,bemis_murcko,2,6.906889231864585,7.744727494896693,6.069050968832477,0.26284779415769494,638.834,5.646080000000006,2,STR-94C191645BE5B0A1978A,1.6756765260642155,False
SER-88BF110C8AC128BC,O=S(=O)(c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,2,7.292513326014591,7.602059991327963,6.982966660701219,0.5311221550993066,542.7770000000003,5.048350000000005,2,STR-33ECA7BC02C166AF1729,0.6190933306267441,False
SER-71F2CDD537A67AE5,O=C(NCC(c1ccccc1)(C1CCCC1)C1CCN(CC2CN(c3ccccc3)C2)CC1)c1cocn1,bemis_murcko,2,6.457533212531642,7.494850021680094,5.42021640338319,0.31517301523519187,609.775,4.160180000000003,2,STR-86DE9B893F458A7FEC98,2.074633618296904,False
SER-C460737DCACEC827,O=S(=O)(c1ccccc1)c1ccc(N2CCC(N3CCC(C(c4ccccc4)C4CCCC4)CC3)CC2)cc1,bemis_murcko,2,6.2543191530828635,7.301029995663981,5.207608310501746,0.3134823830020253,640.8500000000001,6.1864800000000075,2,STR-24BA8A5718C0F3749245,2.0934216851622356,False
SER-A1DEE028F1D5BB4A,O=S(=O)(c1ccccc1)c1ccc(N2CC(CN3CCC(C(CN4CCCC4)(c4ccccc4)C4CCCC4)CC3)C2)cc1,bemis_murcko,2,6.52726570743409,7.200659450546418,5.853871964321762,0.25677796539015296,684.947,6.226100000000008,2,STR-288DA5D629242E618088,1.346787486224656,False
SER-55C30A42270C6AFB,O=C1NCOCN1C1CCCC1C(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1,bemis_murcko,2,6.520479303839453,7.187086643357144,5.853871964321762,0.31387446714727807,668.8640000000001,4.991880000000005,2,STR-4963BC6466091AE476AA,1.3332146790353825,False
SER-4FDAE11105633273,O=C(OC1CCCC1C(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)N1CCC1,bemis_murcko,2,6.411954370472159,7.1249387366083,5.698970004336019,0.29673860712485006,653.8489999999998,5.535180000000006,2,STR-6F0B243CDCAB8EEB6068,1.4259687322722812,False
SER-E3EDE43B771018A5,O=C(OC1CCCC1C(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccncc4)cc3)C2)CC1)C1CCC1,bemis_murcko,2,6.658093882129353,6.954677021213342,6.361510743045363,0.24458791190657947,652.8609999999999,6.036180000000007,2,STR-5A59AFF93EE296D36BC6,0.5931662781679794,False
SER-234F328ED82F6C63,C(#Cc1ccccc1)CCN1CCC(C(c2ccccc2)C2CCCC2)CC1,bemis_murcko,2,6.716557445394325,6.7594507517174005,6.673664139071249,0.49851709614613393,548.1650000000003,5.209070000000006,2,STR-02403E375D780F15C68E,0.08578661264615128,False
SER-0D1053D7501BF049,c1ccc(OCCCN2CCC(C3(C4CCCCC4)NCCc4ccccc43)CC2)cc1,bemis_murcko,2,6.122062572163754,6.522878745280337,5.721246399047171,0.5202212266272427,484.2030000000003,5.426590000000006,2,STR-2A720D6641F50CDDC420,0.8016323462331663,False
SER-1D8F6F9617EE8400,O=C(CN1CCC(C2(C3CCCC3)NCCc3ccccc32)CC1)N1CCc2ccccc2C1,bemis_murcko,2,5.579151368642789,6.072116589669293,5.086186147616283,0.7180034897281866,470.1670000000003,4.450540000000004,2,STR-3A4916332CE912BE72A0,0.98593044205301,False
SER-67AB74DD685AD15D,c1ccc2c(c1)CCNC2(C1CCCC1)C1CCN(CCc2ccc3[nH]ccc3c2)CC1,bemis_murcko,2,5.755724641749778,5.958607314841775,5.552841968657781,0.4200402266684829,489.2135000000003,6.2812900000000065,2,STR-7AD026FDCE816FE46C2A,0.40576534618399407,False
SER-ADCC0EE5F503DFED,c1ccc(CN2CCC(Nc3ncnc4sccc34)CC2)cc1,bemis_murcko,2,5.473268697537272,5.886056647693163,5.060480747381382,0.7490592117568724,352.50700000000006,4.357420000000003,1,STR-6C29AB696561B060F66D,0.8255759003117813,False
SER-6DED64CF66CCE113,c1ccc(OCCCN2CCC(C(c3ccccc3)C3CCCCC3)CC2)cc1,bemis_murcko,2,5.362114049917534,5.769551078621726,4.954677021213342,0.5124640255657112,437.1135000000003,5.7941700000000065,2,STR-26DE89331A7438286FB0,0.8148740574083835,False
SER-022396F9DA354781,O=C(NC1CCC(C2(C3CCCC3)NCCc3ccccc32)CC1)c1ccc2cc[nH]c2c1,bemis_murcko,2,5.721246399047171,5.721246399047171,5.721246399047171,0.47087756304913225,466.62900000000025,5.559580000000005,2,STR-3C59D20673A9FF87E080,0.0,False
SER-F2B42B46349F2ECB,O=C(C1CN(c2ccccc2)C1)N1CCC(C2(C3CCCC3)NCCc3ccccc32)CC1,bemis_murcko,2,5.284737134936404,5.3872161432802645,5.182258126592544,0.6446197084779581,511.1945000000003,4.494990000000003,2,STR-282D943879193C965050,0.20495801668772096,False
SER-B2500259778B6233,c1ccc(CN2CCC(CNc3ncnc4sccc34)CC2)cc1,bemis_murcko,2,4.877243666092925,5.356547323513812,4.3979400086720375,0.664493781354812,382.5425000000001,4.801560000000004,1,STR-751B5DB988139837BDDA,0.9586073148417746,False
SER-20D80D54BBFFFEB3,O=S(=O)(c1ccc(OC2CC(N3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1)C1CC1,bemis_murcko,2,5.066993717830275,5.251258731316314,4.882728704344236,0.5101396682305036,534.7660000000003,5.4759000000000055,2,STR-562B91EA5B528B52D63B,0.3685300269720786,False
SER-B8F02B8021A8E099,c1nc(N2CCCN(C3=NCCS3)CC2)c2ccsc2n1,bemis_murcko,2,4.847754736113256,5.200659450546418,4.494850021680094,0.7857303912682914,382.5805000000001,3.927700000000003,1,STR-3BF33E326381C0E9FE99,0.7058094288663241,False
SER-75DEF56A62770693,c1ccc(OCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,bemis_murcko,2,4.9296831374325905,4.966576244513051,4.892790030352131,0.5345513520988672,434.5595000000001,4.4606800000000035,1,STR-8C455D8899B5E9DDDDFA,0.07378621416091935,False
