structure_id,endpoint,assay_family,n_measurements,n_source_rows,n_cross_source_mirror_rows_collapsed,n_sources,n_exact_measurements,n_censored_measurements,n_approximate_measurements,p_activity_median,p_activity_best,p_activity_min,value_nm_median,value_nm_best,endpoints,n_endpoints,endpoint_families,n_endpoint_families,assay_families,n_assay_families,sources,compound_ids,target_names,document_years,relations,smiles,original_smiles,canonical_smiles,standardized_smiles,inchi_key,standard_inchi_key,structure_standardization_status,activity_range_log10,is_activity_heterogeneous,heterogeneity_log_spread_threshold,censoring_policy,aggregation_value_semantics,potency_class,active_100nM,active_1uM
STR-0EB8573BEAC1C0A492BB,IC50,biochemical_binding,1,2,1,2,1,0,0,5.585026652029182,5.585026652029182,5.585026652029182,2600.0,2600.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5932458,Menin,2021,=,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,SDSJQZYQLKUFBE-KCUXUGRMSA-N,SDSJQZYQLKUFBE-KCUXUGRMSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-0EB8573BEAC1C0A492BB,IC50,biochemical_inhibition,1,1,0,1,1,0,0,5.585026652029182,5.585026652029182,5.585026652029182,2600.0,2600.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,480124,Menin,,=,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(C)(=O)=O)CC1)c1ccccc1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,CC(=O)O[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(C)(=O)=O)cc3)C2)CC1,SDSJQZYQLKUFBE-KCUXUGRMSA-N,SDSJQZYQLKUFBE-KCUXUGRMSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-79F48E1A5DF36F1BBEBF,IC50,biochemical_binding,1,1,0,1,1,0,0,5.585026652029182,5.585026652029182,5.585026652029182,2600.0,2600.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,156532044,Menin,2026,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCC(C)(C)NC)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@@H](CCC(C)(C)NC)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCC(C)(C)NC)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCC(C)(C)NC)C(C)C)C2)C(C)C,DWGJLXQABXXXMP-VWLOTQADSA-N,DWGJLXQABXXXMP-VWLOTQADSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-07789DBC28765C00F226,IC50,biochemical_inhibition,1,1,0,1,1,0,0,5.568636235841012,5.568636235841012,5.568636235841012,2700.0,2700.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,PubChem,155520780,,2021,=,FC(F)(F)Cc1cc2c(NC3CCN(Cc4ccncc4)CC3)ncnc2s1,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)CC(F)(F)F)CC4=CC=NC=C4,FC(F)(F)Cc1cc2c(NC3CCN(Cc4ccncc4)CC3)ncnc2s1,FC(F)(F)Cc1cc2c(NC3CCN(Cc4ccncc4)CC3)ncnc2s1,DZMGBGPNEGYEAC-UHFFFAOYSA-N,DZMGBGPNEGYEAC-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-9125B3088394B1E7CAA4,IC50,biochemical_binding,1,2,1,2,1,0,0,5.568636235841012,5.568636235841012,5.568636235841012,2700.0,2700.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5820302,Menin,2021,=,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)C(=O)N(Cc5ccccc5)Cc5ccccc54)CC3)C2)cc1,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)C(=O)N(Cc5ccccc5)Cc5ccccc54)CC3)C2)cc1,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)C(=O)N(Cc5ccccc5)Cc5ccccc54)CC3)C2)cc1,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)C(=O)N(Cc5ccccc5)Cc5ccccc54)CC3)C2)cc1,GELPSPAMNVFMSM-UHFFFAOYSA-N,GELPSPAMNVFMSM-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-9125B3088394B1E7CAA4,IC50,biochemical_inhibition,1,1,0,1,1,0,0,5.568636235841012,5.568636235841012,5.568636235841012,2700.0,2700.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,479980,Menin,,=,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)C(=O)N(Cc5ccccc5)Cc5ccccc54)CC3)C2)cc1,CS(=O)(=O)c1ccc(cc1)N1CC(CN2CCC(CC2)C2(C3CCCC3)C(=O)N(Cc3ccccc3)Cc3ccccc23)C1,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)C(=O)N(Cc5ccccc5)Cc5ccccc54)CC3)C2)cc1,CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)C(=O)N(Cc5ccccc5)Cc5ccccc54)CC3)C2)cc1,GELPSPAMNVFMSM-UHFFFAOYSA-N,GELPSPAMNVFMSM-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-9D5FA8EC64504ACC3524,IC50,biochemical_binding,1,2,1,2,1,0,0,5.568636235841012,5.568636235841012,5.568636235841012,2700.0,2700.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5819596,Menin,2021,=,CO[C@@H]1CCC[C@H]1C1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)CN(C)Cc2ccccc21,CO[C@@H]1CCC[C@H]1C1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)CN(C)Cc2ccccc21,CO[C@@H]1CCC[C@H]1C1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)CN(C)Cc2ccccc21,CO[C@@H]1CCC[C@H]1C1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)CN(C)Cc2ccccc21,MWEDWZMQICDMIU-KCUXUGRMSA-N,MWEDWZMQICDMIU-KCUXUGRMSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-9D5FA8EC64504ACC3524,IC50,biochemical_inhibition,1,1,0,1,1,0,0,5.568636235841012,5.568636235841012,5.568636235841012,2700.0,2700.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,480265,Menin,,=,CO[C@@H]1CCC[C@H]1C1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)CN(C)Cc2ccccc21,CO[C@@H]1CCC[C@H]1C1(CN(C)Cc2ccccc12)C1CCN(CCCOc2ccc(cc2)C#N)CC1,CO[C@@H]1CCC[C@H]1C1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)CN(C)Cc2ccccc21,CO[C@@H]1CCC[C@H]1C1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)CN(C)Cc2ccccc21,MWEDWZMQICDMIU-KCUXUGRMSA-N,MWEDWZMQICDMIU-KCUXUGRMSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-BF401908AD838E3D878A,IC50,biochemical_binding,1,2,1,2,1,0,0,5.568636235841012,5.568636235841012,5.568636235841012,2700.0,2700.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5779827,Menin,2021,=,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,YYRTZOYRPFJVQM-CKTNNRQRSA-N,YYRTZOYRPFJVQM-CKTNNRQRSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-BF401908AD838E3D878A,IC50,biochemical_inhibition,1,1,0,1,1,0,0,5.568636235841012,5.568636235841012,5.568636235841012,2700.0,2700.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,480290,Menin,,=,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(C1CCN(CC2CN(C2)c2ccc(cc2)S(=O)(=O)c2ccc(cc2)C(O)=O)CC1)c1ccccc1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,COC(=O)N[C@@H]1CCC[C@H]1C(C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(S(=O)(=O)c4ccc(C(=O)O)cc4)cc3)C2)CC1,YYRTZOYRPFJVQM-CKTNNRQRSA-N,YYRTZOYRPFJVQM-CKTNNRQRSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-876F949BC6A8C1B80B12,IC50,biochemical_binding,1,1,0,1,1,0,0,5.560667306169737,5.560667306169737,5.560667306169737,2750.0,2750.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,PubChem,156531894,Menin,2026,=,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=C(N=CN=N2)N3CCC4(C3)CN(C4)[C@@H](CCCN(C)CCOC)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,CCN(C(=O)c1cc(F)ccc1Oc1nncnc1N1CCC2(C1)CN([C@@H](CCCN(C)CCOC)C(C)C)C2)C(C)C,PDUGAXSIWNMIBQ-MHZLTWQESA-N,PDUGAXSIWNMIBQ-MHZLTWQESA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-2AFD93E7E8064B3E49E2,IC50,biochemical_binding,1,2,1,2,1,0,0,5.552841968657781,5.552841968657781,5.552841968657781,2800.0,2800.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5934264,Menin,2021,=,C=CCC1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)NCCc2ccccc21,C=CCC1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)NCCc2ccccc21,C=CCC1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)NCCc2ccccc21,C=CCC1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)NCCc2ccccc21,SQFCVBDBQOSYCW-UHFFFAOYSA-N,SQFCVBDBQOSYCW-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-2AFD93E7E8064B3E49E2,IC50,biochemical_inhibition,1,1,0,1,1,0,0,5.552841968657781,5.552841968657781,5.552841968657781,2800.0,2800.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,480232,Menin,,=,C=CCC1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)NCCc2ccccc21,C=CCC1(NCCc2ccccc12)C1CCN(CCCOc2ccc(cc2)C#N)CC1,C=CCC1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)NCCc2ccccc21,C=CCC1(C2CCN(CCCOc3ccc(C#N)cc3)CC2)NCCc2ccccc21,SQFCVBDBQOSYCW-UHFFFAOYSA-N,SQFCVBDBQOSYCW-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-CC05FA7F39995CB495AE,IC50,biochemical_binding,1,2,1,2,1,0,0,5.552841968657781,5.552841968657781,5.552841968657781,2800.0,2800.0,IC50,1,inhibitory_potency,1,biochemical_binding,1,ChEMBL;PubChem,CHEMBL5961379,Menin,2021,=,CCCCC(=O)c1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2n1C,CCCCC(=O)c1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2n1C,CCCCC(=O)c1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2n1C,CCCCC(=O)c1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2n1C,FQXIHTFGGJAHCW-UHFFFAOYSA-N,FQXIHTFGGJAHCW-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
STR-CC05FA7F39995CB495AE,IC50,biochemical_inhibition,1,1,0,1,1,0,0,5.552841968657781,5.552841968657781,5.552841968657781,2800.0,2800.0,IC50,1,inhibitory_potency,1,biochemical_inhibition,1,BindingDB,480015,Menin,,=,CCCCC(=O)c1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2n1C,CCCCC(=O)c1cc2cc(CCN3CCC(CC3)C3(NCCc4ccccc34)C3CCCC3)ccc2n1C,CCCCC(=O)c1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2n1C,CCCCC(=O)c1cc2cc(CCN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)ccc2n1C,FQXIHTFGGJAHCW-UHFFFAOYSA-N,FQXIHTFGGJAHCW-UHFFFAOYSA-N,standardized,0.0,False,2.0,strict_exact,exact_point_estimate,weak_1uM_to_10uM,False,False
