source,activity_id,molecule_chembl_id,structure_id,smiles,original_smiles,inchi_key,standard_type,standard_relation,standard_value,relation,value_raw,value_numeric,standard_units,admet_category,admet_endpoint,admet_directionality,admet_inclusion_rule,species,matrix,administration_route,experimental_context,assay_description,assay_type,target_chembl_id,target_pref_name,document_chembl_id,document_year,is_admet_analysis_ready,admet_quality_flags,structure_standardization_status
ChEMBL,18503202,CHEMBL4208216,STR-818BBE16B70D045AF1C8,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CNC(=O)CO1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCC1CNC(=O)CO1,UDGCLXDIPBUBOQ-UHFFFAOYSA-N,T1/2,=,0.5167,=,0.5167,0.5167,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503203,CHEMBL4218724,STR-FB32B5E0FE59CE4699E6,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CC1CNC(=O)CO1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CC1CNC(=O)CO1,JTUOGOXWKQAKOR-UHFFFAOYSA-N,T1/2,>,1.0,>,1.0,1.0,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503204,CHEMBL4207527,STR-CFD47A4A9C12D7F7E3C6,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C)CC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C)CC1,OSDOKPSDDMWTPM-UHFFFAOYSA-N,T1/2,=,0.1533,=,0.1533,0.1533,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503205,CHEMBL4204941,STR-2BCFE9B3B04BB17781E9,CCCN1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,CCCN1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,KRWFJLSPGIGFEG-UHFFFAOYSA-N,T1/2,=,0.2,=,0.2,0.2,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503206,CHEMBL4204254,STR-990002F6D026479B6DCF,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C=O)CC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C=O)CC1,QIXLMPUFBHHRPK-UHFFFAOYSA-N,T1/2,=,0.35,=,0.35,0.35,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503207,CHEMBL4203028,STR-9AEB913932F7D1386949,CC(=O)N1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,CC(=O)N1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,DRZKTLWCGNUXSJ-UHFFFAOYSA-N,T1/2,=,0.2167,=,0.2167,0.2167,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503208,CHEMBL4210021,STR-9C168192E4C52880D0E5,CCC(=O)N1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,CCC(=O)N1CCN(CCn2c(C#N)cc3c(C)c(CN4CCC(Nc5ncnc6sc(CC(F)(F)F)cc56)CC4)ccc32)CC1,CUUAMNOCGMUEBO-UHFFFAOYSA-N,T1/2,=,0.2167,=,0.2167,0.2167,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503209,CHEMBL4211318,STR-6BDEB3BA85482F5765AF,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)CF)CC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)CF)CC1,LEXHBKLOMBAPDX-UHFFFAOYSA-N,T1/2,=,0.095,=,0.095,0.095,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503210,CHEMBL4210798,STR-4ED81823DA53AF1D70A0,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)C(F)F)CC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)C(F)F)CC1,YZEOJOCEOBAYSM-UHFFFAOYSA-N,T1/2,=,0.08167,=,0.08167,0.08167,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
ChEMBL,18503211,CHEMBL4218982,STR-A19437D5A9F1DA8A27A8,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)C(F)(F)F)CC1,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCN(C(=O)C(F)(F)F)CC1,WHYHGNIYAKPLLC-UHFFFAOYSA-N,T1/2,=,0.2333,=,0.2333,0.2333,hr,metabolic_stability,in_vitro_half_life,higher_is_more_stable,type+description:stability_half_life,mouse,liver microsomes,,in_vitro,Half life in CD-1 mouse liver microsomes at 1 uM after 3 to 60 mins by LC-MS/MS method,A,CHEMBL612558,ADMET,CHEMBL4184328,2018.0,True,,standardized
