dimension,value,count,fraction_of_observations
document_id,CHEMBL3433997,2376,0.0006032949655339821
document_id,CHEMBL1240340,2352,0.0005972010769932348
document_id,CHEMBL5725546,2250,0.0005713020506950588
document_id,CHEMBL4420062,2179,0.0005532742970953481
document_id,CHEMBL5729533,2167,0.0005502273528249743
document_id,CHEMBL5725961,2116,0.0005372778396758864
document_id,CHEMBL5726094,2116,0.0005372778396758864
document_id,CHEMBL5727344,2116,0.0005372778396758864
document_id,CHEMBL5728193,2116,0.0005372778396758864
document_id,CHEMBL5729701,2116,0.0005372778396758864
document_id,CHEMBL5728996,2002,0.0005083318691073368
document_id,CHEMBL5726330,1982,0.000503253628656714
document_id,CHEMBL5728706,1973,0.0005009684204539338
document_id,CHEMBL5725615,1941,0.0004928432357329374
document_id,CHEMBL5726748,1941,0.0004928432357329374
document_id,CHEMBL5725597,1933,0.0004908119395526882
document_id,CHEMBL5727212,1932,0.0004905580275301572
document_id,CHEMBL4739717,1919,0.00048725717123725235
